id,desc,title
1,Anmelden,Tägliches\nAnmelden
2,Monatspaket,Monatspakete
3,Wochenpakete,Wochenpakete
4,Neuer Server Bonus,Bonus für\nneuen Server
5,Aufladen,Aufladen
6,Monatskarte,Monatskarte
7,Mini Monatskarte,Mini\nMonatskarte
8,Level Paket,Level Paket
9,4-Sterne Trainings Paket,4-Sterne\nPaket
10,5-Sterne Trainings Paket,5-Sterne\nPaket
11,Erstaufladepaket,Erstauflade-\npaket
12,Superpakete,Superpakete
13,Kapsel Event,Kapselevent
14,Kapselmünzen-Paket,Kapselmünzen-\nPaket
15,Superpakete,Superpakete
16,Einschreiben-Aufgaben,Einschreiben-\nAufgaben
17,Mädchen-Versammlung,Mädchen-\nVersammlung
18,Fan-Preise,Fan-Preise
19,Auflade Bonus,Auflade\nBonus
20,Lottoevent,Lottoevent
21,Jobaufgaben,Job\nAufgaben
22,Arena Kampf,Arena\nKampf
23,Mädchen-Spezialmissionen,Spezial-\nmissionen
24,Wochenkarte,Wochenkarte
25,Absolvieren&Erwecken,Absolvieren&\nErwecken
26,Mädchen-Limittausch,Mädchen-\nLimittausch
27,Entdecker-Pakete,Entdecker-\nPakete
28,Charmante Hütte,Charmante Hütte
29,Anmelde Belohnungen,Anmelde\nBelohnungen
30,Stimme der Liebe,Stimme\nder Liebe
31,5 Sterne Limitangebot,5 Sterne\nLimitangebot
32,Praktische Arbeit,Praktische\nArbeit
33,Feneks Alchimie Labor,Feneks\nAlchimie Labor
34,Dienererziehung,Dienererziehung
35,Abo,Abo
36,Grußkarte zum 3. Jubiläum,Grußkarte zum\n3. Jubiläum
37,Puzzle,Puzzle
38,Abonnieren,Abonnieren
39,Monatspakete,Monatspakete
40,Wochenpakete,Wochenpakete
41,Sternensegen,Sternensegen
42,Schulstart,Sommertheater
43,Schnee- und Eisfest,Schnee- und Eisfest
44,Kostümpakete,Kostümpakete
45,Kostümpakete,Kostümpakete
46,Erstes Date,Erstes Date
47,Login zum Mondfest,Login zum\nMondfest
48,10-Sterne Austausch,10-Sterne\nAustausch
49,Stufen Paket,Stufen Paket
50,Sakuras Versprechen,Sakuras\nVersprechen
51,Ehering,Ehering
52,Wahre Liebe,Wahre Liebe
53,Der Test,Der Test
54,Kommentar,Kommentar
55,Wohnheim Deko,Wohnheim Deko
56,Schultüte,Schultüte
57,Wachstumspaket,Wachstumspaket
58,Kapsel-Boni im neuen Server,Kapsel-Boni im\nneuen Server
59,Yume Akademie,Yume Akademie
60,Versorgungsrüstungen,Versorgungs\nRüstungen
61,Strand Spiel,Strand Spiel
62,Deluxe Bonus,Deluxe Bonus
63,Yumes Teestunde,Yumes\nTeestunde
64,Jubiläums-Spielautomat,Jubiläums-Spielautomat
65,Punkte des Jubiläums-Spielautomaten,Punkte des Jubiläums-Spielautomaten
66,Weihnachtspakete,Weihnachts-\npakete
67,Live Show,Live Show
68,Musikfest,Musikfest
69,Studiumplan,Studiumplan
70,Bibliotheken Aufseherin,Bibliotheken\nAufseherin
71,Bibliotheken Aufseherin,Bibliotheken Aufseherin
72,Eid-Paket,Eid-Paket
73,Süßigkeiten Jagd,Frohes\nLaternenfest
74,Die Farbe vom Chaos,Die Farbe\nvom Chaos
75,Monatsthema,Monatsthema
76,EXP Booster,EXP Booster
77,Münzen Booster,Münzen Booster
78,Rundenpaket,Rundenpaket
79,Test Paket,Test Paket
80,Level Paket,Level Paket
81,4-Sterne Paket,4-Sterne\nPaket
82,5-Sterne Paket,5-Sterne\nPaket
84,Wahre Liebe,Wahre Liebe
85,Bonuspaket zum Neujahr,Bonuspaket\nzum Neujahr
86,Festtagsvorbereitungen,Festtags-\nvorbereitungen
87,Geschenk zum Dank,Geschenk\nzum Dank
88,Rubbellos,Rubbellos
89,Superpakete,Superpakete
90,Glückspakete,Glückspakete
91,Auflade Bonus,Auflade\nBonus
92,Kapsel Bonuspaket,Kapsel\nBonuspaket
93,Café Lab,Café Lab
95,Bete zu den Sternen,Bete zu\nden Sternen
999,特邀考核,特邀考核
97,Elite Vereinigung,Elite\nVereinigung
98,Chaos Expedition,Chaos\nExpedition
99,Überraschungskapsel,Überraschungs-\nkapsel
100,Dessert Bäckerei,Dessert\nBäckerei
101,Bunte Ballons,Bunte Ballons
103,Einschulungspaket,Einschulungs-\npaket
104,Tagespakete,Tagespakete
105,Tagespakete,Tagespakete
106,,
107,7-Sterne Paket,7-Sterne\nPaket
108,Die Farbe vom Chaos,Die Farbe\nvom Chaos
102,Yume Sportfest,Yume\nSportfest
109,Erkunde das Buchheiligtum,Erkunde das\nBuchheiligtum
110,9 Sterne Paket II,9-Sterne\nPaket 2
111,9-Sterne Paket I,9-Sterne\nPaket 1
112,Account verbinden,Konto verbinden
113,Online Belohnungen,Online\nBelohnungen
114,Anleitung,Anleitung
115,Ausrüstungs-Auflevelparty,Ausrüstungs-\nAuflevelparty
116,7 Tage Wohlstand,7 Tage\nWohlstand
117,Urlaubsfreuden,Urlaubs-\nfreuden
118,Doppelte Kampfbeute,Doppelte\nKampfbeute
119,Doppelte Quiz-Beute,Doppelte\nQuiz-Beute
