id,name,enter_dialog,click_dialog1,click_dialog2,click_dialog3,click_dialog4,click_dialog5,click_dialog6,chosen_dialog1
1,Laden,"Bezahl mich. Und ich überlege es mir, dir zu helfen~","Es gibt nichts auf dieser Welt, was man nicht kaufen kann.",Wie kann ich dir helfen? Gerade auf der Suche...? Dann geh weiter,"Es gibt nichts auf dieser Welt, was man nicht kaufen kann.",Wie kann ich dir helfen? Gerade auf der Suche...? Dann geh weiter.,Ich werde kämpfen... wenn der Preis stimmt!,,Ich werde kämpfen... wenn der Preis stimmt!
2,Lotterieladen,Was möchtest du gerne?,"Ich habe mehr Waren, als du handhaben könntest!","Gutscheine? Ich kann mich nicht erinnern, sie ausgegeben zu haben. Die müssen wohl abgelaufen sein.","Ich habe mehr Waren, als du handhaben könntest!","Gutscheine? Ich kann mich nicht erinnern, sie ausgegeben zu haben. Die müssen wohl abgelaufen sein.","Ich habe mehr Waren, als du handhaben könntest!",,"Wo es den Gewinn gibt, da bin ich anwesend~"
3,Glücksautomat,Glück ist doch das Wichtigste~,"Fass meine Hasenohren nicht übermäßig an, du handstoßender Idiot!",Glück ist doch das Wichtigste~,"Fass meine Hasenohren nicht übermäßig an, du handstoßender Idiot!",It's show time~,Glück ist doch das Wichtigste~,,It's show time~
4,Super Glücksautomat,"Ich habe auch ein Geschenk für dich. Senpai, tauschen wir!","Vergiss aber nicht, deine Socke ans Bett zu hängen, bevor du schlafen gehst! Ich werde heimlich ein Geschenk reinsetzen~",Böse Kinder bekommen keine Geschenke~,"Ich habe auch ein Geschenk für dich. Senpai, tauschen wir!","Vergiss aber nicht, deine Socke ans Bett zu hängen, bevor du schlafen gehst! Ich werde heimlich ein Geschenk reinsetzen~",Böse Kinder bekommen keine Geschenke~,,Wünsche dir was~
5,Einschreiben,Wissen ist Leben!,Ruhe! Du sollst während des Unterrichts nicht quatschen!,"Bald werden wir wissen ob du deine Prüfung bestanden hast. Wenn nicht, wirst du bestraft!","Kein Schmerz, kein Gewinn.","Bald werden wir wissen ob du deine Prüfung bestanden hast. Wenn nicht, wirst du bestraft!","Kein Schmerz, kein Gewinn.",,Im entscheidenen Moment verlässt du dich auf deine eigene Weisheit.
6,Markt,Willkommen~ Was kann ich für dich tun?,Das ist deine Einkaufsliste. Schau doch mal nach~,Lass mich dir helfen~,Das ist deine Einkaufsliste. Schau doch mal nach~,Lass mich dir helfen~,Willkommen~ Was kann ich für dich tun?,,Das ist deine Einkaufsliste. Schau doch mal nach~
7,遠足商店,Was möchtest du gerne?,"Willst du mit mir handeln? Ich habe mehr Waren, du kaufen könntest!","Gutscheine? Ich kann mich nicht erinnern, sie ausgegeben zu haben. Die müssen wohl abgelaufen sein.","Willst du mit mir handeln? Ich habe mehr Waren, du kaufen könntest!","Gutscheine? Ich kann mich nicht erinnern, sie ausgegeben zu haben. Die müssen wohl abgelaufen sein.","Willst du mit mir handeln? Ich habe mehr Waren, du kaufen könntest!",,"Wo es den Gewinn gibt, da bin ich anwesend~"
8,新遠足入口,Was für ein Heiligtum haben wir diesmal?,"Ich habe mir nie gedacht, dass es in der Ulbros Bibliothek so ein mystisches Gebiet gibt!",Zurzeit kann nur 10%ige Fähigkeit von der Buchseele verwendet werden~,"Buchseeles Kraft ist nicht stabil genug. Nachdem sie einmal verwendet wurde, muss sie sich für eine Weile erholen!","Buchseeles Kraft ist nicht stabil genug. Nachdem sie einmal verwendet wurde, muss sie sich für eine Weile erholen!",Zurzeit kann nur 10%ige Fähigkeit von der Buchseele verwendet werden~,,"Ich habe mir nie gedacht, dass es in der Ulbros Bibliothek so ein mystisches Gebiet gibt!"
9,社團商店（袁術）,"Ich bin zu reich... Ich brauche Hilfe, um mein ganzes Vermögen auszugeben.","Ich bin zu reich... Ich brauche Hilfe, um mein ganzes Vermögen auszugeben.","Ich bin zu reich... Ich brauche Hilfe, um mein ganzes Vermögen auszugeben.",Taifun des Geldes!,Taifun des Geldes!,Taifun des Geldes!,,Taifun des Geldes!
10,競技場商店（司馬昭）,Willkommen~ Was kann ich für dich tun?,Das ist deine Einkaufsliste. Schau doch mal nach~,Lass mich dir helfen~,Das ist deine Einkaufsliste. Schau doch mal nach~,Lass mich dir helfen~,Willkommen~ Was kann ich für dich tun?,,Das ist deine Einkaufsliste. Schau doch mal nach~
31,兑换商店用张郃,"Wow, du hast anscheinend viele Coupons gewonnen. Was möchtest du tauschen?",Huh... Historia wirft mit den Hundertern nur so um sich... Ohne mich wird unsere Organisation wohl verschwinden... Was für eine Organisation? Das ist ein Geheimnis~,"Warum starrst du mich an? Kartenspiel? Na klar, der Gewinn gewährt dir einen Rabatt bei mir. Ahaha Spaß. Rabatt ist unmöglich bei mir.","Ich bin neidisch, dass so ein normaler Glücksautomat dich erfreuen kann. Ich? Ich kriege jedesmal den Jackpot. Langweilig.","Als eine Belohnung im Automaten regt mich eine Kriegsbeute durch einen Kampf mehr an. Senpai, möchtest du was wetten?",Eigentlich habe ich einmal verloren... Aber wer weiß ob diese Niederlage auch auf ein Glück deutet?,,Gute Auswahl. Jetzt bin ich dem Ziel einen Schritt näher gekommen...
32,兑换商店用郭嬛,Ah Senpai~ Viele Schätze wurden auf meiner Reise entdeckt. Tauschen wir was~,Eine Pause nach der Reise ist ein Muss! Und danach machen wir uns auf eine neue Reise!,"Ich genieße die Aufregung auf der Reise, aber die Seelenruhe bei der Rückkehr in die Schule ist auch äußerst glücklich!",Was macht Knospe jetzt? Sie muss sich wieder mit ihrem Garten beschäftigen. Ich soll sie besuchen sobald ich fertig mit der Arbeit bin~,"Reise und Rückkehr sind gleich wichtig! Eine perfekte Reise soll mit einem herzlichen Gruß ""Willkommen zurück"" beendet werden! Senpai, es gibt bestimmt auch jemanden, der auch dich wartet!","KongMing hat Recht. Meine Sammlungen sind sehr beliebt! Ich freue mich darüber, dass ich allen helfen kann!",,"Ach! Das ist doch mein Liebling... Schätz es gut, Senpai!"
40,兑换商店用高顺,"Ah! Willkommen! Darf ich fragen, was du kaufen möchtest?",Das ist meine erste Aufgabe seit ich im Disziplinarkomitee bin…ich werde euch sicher nicht enttäuschen!,"Ich bin noch nicht lange im Disziplinarkomitee. Wenn es irgendwo etwas gibt, was ich besser machen soll, dann sagt es mir ruhig!",Ihr scheint etwas Wichtiges zu tun zu haben. Überlasst die Arbeit im Laden ruhig mir... Ah? Ihr sitzt im Café und quatscht? Ihr habt anscheinend etwas wichtiges zu besprechen...,"In dieser Prüfung hast du echt brilliant abgeschnitten! Ich weiß nicht, ob ich auch eine Chance bekomme daran teilzunehmen…oder der Prüfer zu sein…","Ah…! Bericht. Nichts ungewöhnliches hier! Ah, du bist gar nicht Michaela…hast du mich erschreckt. Nicht auszudenken, wenn sie micht entdeckt hätte…",,"Hier sind die Sachen, die du haben wolltest. Bitte unterstütze uns auch in der Zukunft!"
44,兑换商店用诸葛亮,"Willkommen~ Hier ist alles, was das Studentenwerk zu bieten hat~","Warum muss ich den Laden überwachen, wenn ich Präsident des Studentenwerks bin? Ich denke ich bin überarbeitet...",Eigentlich unterstützt das Studentenwerk die Schüler Läden auf der Einkaufsstraße zu eröffnen. Aber in letzter Zeit wirken einige Läden etwas fragwürdig…,"Gibt es etwas was dir gefällt? Du kannst auch langsam auswählen. Am Wichtigsten ist es, dass der Kunde zufrieden ist.","Alle Gewinne, die durch die Läden erzielt werden, sind für den Aufbau des Campus. Wenn es soweit ist, musst auch helfen. Ah, jetzt ist es zu spät, um zu gehen. Ich hab dich bereits aufgeschrieben.","Ja…so sollte für dieses Treffen gut passen. Und auch für das nächste…Ah! Tut mir leid, Senpai. Bist du fertig mit auswählen?",Danke für deine Zeit. Das Gespräch mit dir war sehr angenehm~,"Hier, ich habe das was du willst schon eingepackt. Natürlich habe ich schon errraten, dass du dieses wählen würdest."
45,兑换商店用曹操,"Willkommen, lass mich sehen, was du für deine Kämpfe bekommen hast.","Sieg ist eine Freude, aber wichtiger als der Sieg ist was danach kommt.",Deine bisherigen Wettkämpfe waren nur Spiele. Ein richtiger Krieg ist nicht so einfach.,Worauf wartest du noch? In einem richtigen Notfall hast du nicht so viel Zeit zu überlegen.,"Soll ich dir helfen etwas auszuwählen? Ahh… ich weiß, dass das die Aufgabe eines Verkäufers ist, aber es macht echt keinen Spaß von anderen herum kommandiert zu werden.","Verdammt… Wenn ich das Geld nicht bräuchte, würde ich nicht meine Zeit mit Arbeiten verschwenden…",,Nimm es dir. Die Früchte des Sieges zu genießen ist auch die Pflicht eines Siegers.
47,战姬商店用曹洪,Willkommen zurück. Master~ Willst du einen Becher Kaffee haben?,"Ich habe gehört, dass es an der Yume Akademie eine legedäre Kämpferin gibt, die als Dienstmädchen verkleidet ist… Ob ich sie eines Tages sehen kann?","Das ist ein Café, wo Leute zum Ausruhen hinkommen. Vergesst hier also alles was mit Kämpfen zu tun hat~","Master, willst du nicht endlich bestellen? Oder willst du etwa, dass ich bestelle… Ja das geht nicht. Zumindest jetzt nicht!","Es gibt viele Schülerinnen, die in der Pause gern hier ausruhen. Du kannst auch mit ihnen quatschen.","Sollen wir ein Event im Café stattfinden lassen? Zum Beispiel, dass alle sich als Dienstmädchen verkleiden müssen… Ah, alle außer dir Master~ natürlich nur wenn du willst, Master…",Was du haben willst kannst du mehrmals kaufen. Neues Mädchen wird auch das Cafe besuchen~,Vielen Dank~ Bitte ruh dich gut aus~
62,魂器商店用司马昭,Willkommen. Hier werden viele Antiquitäten angeboten. Welche möchtest du haben?,"Ich habe durch Zufall diesen Laden übernommen. Frag bitte nicht mehr, Senpai.",Was möchstest du kaufen? Alle Antiquitäten sind so stark dass sie dich schwer verwunden kann wenn du sie falsch verwendest~,"Ich habe durch Zufall diesen Laden übernommen. Frag bitte nicht mehr, Senpai.",Was möchstest du kaufen? Alle Antiquitäten sind so stark dass sie dich schwer verwunden kann wenn du sie falsch verwendest~,"Ich habe durch Zufall diesen Laden übernommen. Frag bitte nicht mehr, Senpai.",,"Senpai, du hast doch einen Kennerblick. Das passt dir gut~"
