id,name,from,content
1,Tägliche Arena-Belohnungen,Arena-Mail,"Herzlichen Glückwunsch, du hast Rang {2} in der Arena am {1} erreicht. Deine Belohnungen werden dir per Mail gesendet."
2,Belohnungen zum Saisonende,Arena-Mail,"Als Direktor der Yume Akademie möchte ich dir gratulieren, dass du den Rang {1} in der Arena erreicht hast. Deine hervorragenden Fähigkeiten und dein Mut haben dir folgende Belohnungen eingebracht."
3,Neuer Server Bonus,Systembenachrichtigung,"Melde dich jeden Tag während des Events an und erhalte 50 x Dias, 2 x normale Lottoscheine, 2x Arena Tickets. Hier sind deine Belohnungen."
4,Monatskarte,Monatskarte,Herzliche Glückwünsche! Von {1} an erhältst du täglich um 00:00 Uhr (UTC/GMT 0) 370 Dias. Die Dias vom ersten Tag werden sofort nach dem Kauf der Monatskarte verschickt.
5,Monatskarten Belohnungen,Monatskarte,"Sehr geehrter Vip{1}-Spieler, bitte sammle die folgenden Belohnungen rechtzeitig ein. Deine Monatskarte läuft in {2} Tagen ab."
6,Monatskarte abgelaufen,Monatskarte,"Sehr geehrter Senpai, deine Monatskarte ist abgelaufen. Unter Aufladen kannst du deine Monatskarte verlängern. Zur Erinnerung: Die Monatskarte ist 13-mal billiger als der Einzelkauf der Dias!"
7,Mini Monatskarte,Mini Monatskarte,Herzliche Glückwünsche! Von {1} an erhältst du täglich um 00:00 Uhr (UTC/GMT 0) 85 Dias. Die Dias vom ersten Tag werden sofort nach dem Kauf der Mini Monatskarte verschickt.
8,Mini Monatskarten Belohnung,Mini Monatskarte,"Lieber Senpai, bitte sammle die folgenden Belohnungen rechtzeitig. Deine Mini-Monatskarte läuft in {1} Tag(en) ab."
9,Mini Monatskarte abgelaufen,Mini Monatskarte,"Sehr geehrter Senpai, deine Mini-Monatskarte ist abgelaufen. Unter Aufladen kannst du deine Mini-Monatskarte verlängern. Zur Erinnerung: Die Mini-Monatskarte ist zehnmal billiger als der Einzelkauf der Dias!"
10,Belohnungen - Mädchen beschwören,Beschwörungs-Belohnungen,Herzlichen Glückwunsch zur Beschwörung des Mädchens {1} während des Events. Hier sind deine Belohnungen!
11,Tägliche Belohnungen,Systembenachrichtigung,"Melde dich während der Events an, um täglich Super Kapselmünze *3 zu erhalten. Hier sind deine Belohnungen."
12,Ziehungsbelohnungen,Systembenachrichtigung,"Gratuliere, du hast im Event Willkommenskapseln insgesamt {1} Super Kapseln gezogen und erhältst die folgenden Belohnungen!"
13,Tägliche Belohnungen,Systembenachrichtigung,"Melde dich während der Events an, um täglich Stempel*1 zu erhalten. Hier sind deine Belohnungen."
14,Einschreiben-Aufgaben,Systembenachrichtigung,Herzlichen Glückwunsch zum Erreichen von {1} Punkten während des Einschreibeevents. Hier sind deine Belohnungen!
15,Tötungsbelohnungen,Systembenachrichtigung,Herzlichen Glückwunsch! Freundes Boss wurde von dir getötet. Herzlichen Glückwunsch zu den folgenden Belohnungen!
16,Freundes Boss-Belohnungen,Systembenachrichtigung,Der Freund BOSS wurde erfolgreich besiegt. Herzlichen Glückwunsch zu den folgenden Belohnungen!
17,Freundeshilfe Ranglistenbelohnung,Systembenachrichtigung,Herzliche Glückwünsche! Du hast deinen Freunden erfolgreich dabei geholfen Bosse zu besiegen. Du hast Rang {1} in der Rangliste belegt. Hier sind deine Belohnungen!
18,Belohnungen - Mädchenversammlung,Systembenachrichtigung,Herzliche Glückwünsche! Du hast beim Mädchen-Versammlungsevent ein bestimmtes Ziel erreicht. Hier sind die entsprechenden Belohnungen!
19,Beta-Aufladungsrabatt,Systembenachrichtigung,"Vielen Dank, dass du während der Testphase {1} gekauft hast. Hier ist deine Bonusbelohnung für die Unterstützung!"
20,Lottobelohnungen,Systembenachrichtigung,Herzliche Glückwünsche! Du hast {1} Punkte beim Lottoevent erreicht! Hier sind deine Belohnungen!
21,Tägliche Belohnungen,Systembenachrichtigung,"Melde dich während der Events an, um täglich Super Lottoschein *1, Elementarkugel *100 und Rassel *1 zu erhalten. Hier sind deine Belohnungen."
22,Belohnungen - Jobaufgaben,Systembenachrichtigung,Herzlichen Glückwünsche! Du hast während des Jobaufgaben-Events die {1}-Sterne Jobaufgaben abgeschlossen! Hier sind deine Belohnungen!
