id,name,text
1,Akademie,Standard
2,Akademie (in der Nacht),Standard
3,Hinter dem Schulgebäude,Erreiche Lv.30
34,Akademie,Standard
4,Yukis Fraktion Leitfaden,Standard
5,Historia,Standard
6,Klassenraum,Standard
7,Lucifer,Standard
8,Aquaris,Standard
9,Michaela,Standard
10,Schulbesuch,Standard
11,Sommer Fest,Standard
12,Schulfest,Standard
13,Saphira,Standard
14,Seaside Holiday,Keine Anforderung
15,Kirche,Mit 1 Mädchen einen Eid leisten
16,Sportplatz,Gewinne 50 Kämpfe in der Arena
17,Draculas Schloss,Erhalte eine 6-Sterne Dracula
18,Haus der Geister,Schließe Kapitel 3 im Abenteuer ab
19,Geister Hintergrund,Erhalte 5 Mädchen aus der Geister Fraktion
20,Mensch,Erhalte 5 Mädchen aus der Menschen Fraktion
21,Monster,Erhalte 5 Mädchen aus der Monster Fraktion
22,Feen Hintergrund,Erhalte 5 Mädchen aus der Feen Fraktion
23,Dämonen,Erhalte 5 Mädchen aus der Dämonen Fraktion
24,Engel,Erhalte 5 Mädchen aus der Engels Fraktion
25,Schwarze Flügel umkreisen das Haus der Geister,Schließe Kapitel 3 im Abenteuer ab
26,Gruppen Foto,Schließe Kapitel 4 im Abenteuer ab
27,Wiedergeburt,Schließe die Mädchen-Aufgabe von Phönix ab
28,Ewiger Eid,"Lege einen Eid ab mit: Michaela, Lucifer, Minos, KongMing, Iron Fist, Fencer, Historia und Dracula"
29,Jubiläumsparty,Keine Anforderung
30,Ferien am Meer,Keine Anforderung
31,Heilig Abend,Keine Anforderung
32,Licht der Offenbarung,Keine Anforderung
33,Frohes Neues!,Keine Anforderung
35,Genialer Star,Keine Anforderung
36,Mit vereinten Kräften,Keine Anforderung
37,Reise zur heißen Quelle,Keine Anforderung
38,Schicksalsschwestern,Schließe die Mädchen-Aufgabe von Esau & Jacob ab
39,Weihnacht am Kamin,Keine Anforderung
40,Kiras Neujahrsgruß,Keine Anforderung
41,Erinnerung an Sportfest,Keine Anforderung
42,Feiertagskuchen zum 2ten Jubiläum,Limitiertes Event - Puzzle im Fest
43,Süße Erinnerung,Keine Anforderung
44,Haus der Geister,Entsperre 45 Mädchen der Geister Fraktion auf der Galerie
45,Haus der Menschen,Entsperre 45 Mädchen der Menschen Fraktion auf der Galerie
46,Haus der Monster,Entsperre 45 Mädchen der Monster Fraktion auf der Galerie
47,Haus der Feen,Entsperre 45 Mädchen der Feen Fraktion auf der Galerie
48,Haus der Dämonen,Entsperre 18 Mädchen der Dämonen Fraktion auf der Galerie
49,Haus der Engel,Entsperre 18 Mädchen der Engel Fraktion auf der Galerie
50,Wald (in der Nacht),Keine Anforderung
51,Wald,Keine Anforderung
52,Sternenhimmel,Schließe Kapitel 11 im Abenteuer ab
53,Ulbricht-Bibliothek,Schließe Kapitel 12 im Abenteuer ab
54,Dojo,Gewinne 100 Kämpfe in der Arena\nFortschritt: {1}/100
55,Sommerfest,Schließe Kapitel 4 im Abenteuer ab
56,Strandferien,Keine Anforderung
57,Nacht voller Gefahr,Keine Anforderung
58,Weihnachtsparty,Keine Anforderung
59,Jahr des Karpfens,Keine Anforderung
60,Wohnzimmer,Schließe die Mädchen-Aufgabe von Iron Fist ab
61,Stahlbrücke,Schließe die Mädchen-Aufgabe von Esau & Jacob ab
62,Im Wohnheimgebäude,Schließel Kapitel 2 im Abenteuer ab
63,Labor,Schließe die Mädchen-Aufgabe von KongMing ab
64,Trainingsplatz,Schließe die Mädchen-Aufgabe von Phönix ab
65,Eröffnungsfeier (im Freien),Schließe Kapitel 13 im Abenteuer ab
66,Clown-Party,Keine Anforderung
