id,name,brief,desc
1,Münze,Währung,Standardwährung
2,Dias,Währung,Die wertvollste Währung
3,EXP,EXP,Hiermit wird dein Level erhöht.
4,Gildenmünze,Gildenmünze,"Wird verwendet, um Items im Gildenladen zu kaufen."
5,Gilden EXP,Gilden EXP,"Wird verwendet, um das Gildenlevel zu erhöhen."
6,Coupon,Coupon,"Nutze es in der Coupon-Einlösestelle (Tauschbörse), um Objekte zu erwerben"
7,Klassenliste,Kann gegen Mädchen getauscht werden,Tausche sie im Mädchenladen gegen Mädchen ein.
8,VIP EXP,VIP EXP,
9,EXP Saft,EXP für deine Mädchen,"Kann in der Mädchen-Übersicht verwendet werden, um die Mädchen aufzuleveln"
10,Brotdose,Zum Erhöhen der Stufe deiner Mädchen,"Kann in der Mädchen-Übersicht verwendet werden, um die Stufe eines Mädchens zu erhöhen."
11,Herz,Währung für BFF Kapseln,"Wird unter Freunden verschickt. Kann verwendet werden, um Mädchen zu beschwören."
12,Punkte der goldenen Ei Kapsel,Punkte der goldenen Ei Kapsel,
13,Pass,"Pass, mit dem man am Test teilnimmt","Mit diesem Pass kann man Kämpfen unter ""Test"" bestreiten"
14,Kristallmeißel,Material,"Kann in der Mädchen-Übersicht verwendet werden, um Kristalle aufzuleveln"
15,Heiliges Buch,Währung für den Heiligtümerladen,Tausche sie im Heiligtümerladen gegen Items aus
16,Arena-Medaille,Währung für den Arenaladen,Tausche sie im Arenaladen gegen Items aus
17,Arena-Truhe,Die Truhe öffnet sich automatisch,"Enthält zufällig Münzen, EXP Saft, Brotdosen, legendäre Ausrüstung, Mädchen-Fragmente oder andere seltene Items"
18,Brot,Ausdauer-Item,"Verwende es, um einen Raid in der Gilde zu starten"
19,Ordner,Material zum Austausch von Mädchen,"Verwende sie beim Einschreiben, um Mädchen auszutauschen"
20,Stempel,Objekt zum Beschwören,Kann im Zulassungsbüro (unter Einschreiben) ein 4-Sterne Mädchen oder höher oder Mädchen-Fragmente beschwören
22,1-Stern Rote Antiquitätentruhe,Antiquitätentruhe,Erhalte nach dem Kauf eine zufällige rote 1-Sterne Antiquität
23,1-Stern grüne Antiquitätentruhe,Antiquititätentruhe,Erhalte nach dem Kauf eine zufällige grüne 1-Sterne Antiquität
24,Normales Job-Pargament,Job-Pargament,"Verwende es auf der Jobseite, um eine beliebige Aufgabe hinzuzufügen (1-4 Sterne). Wenn die Aufgabe nicht erledigt wird, verschwindet sie nach dem Zurücksetzen."
25,Super Job-Pargament,Job-Pargament,"Verwende es auf der Jobseite, um eine beliebige Aufgabe hinzuzufügen (4-7 Sterne). Wenn die Aufgabe nicht erledigt wird, verschwindet sie nach dem Zurücksetzen."
26,Diener-Keks,Diener-Material,"Verwende ihn, um Diener zu zähmen, zu trainieren und zu entwickeln."
27,Spirit-Keks,Diener-Material,"Verwende sie, um die Aura der Diener aufzuleveln."
28,Sanduhr,Pass für die praktische Arbeit,"Wird verwendet, um an ""Praktischer Arbeit"" teilzunehmen."
29,Super Lottoschein,Lottoschein für Super Glücksautomat,Jeder Zug am Super Glücksautomaten kostet 1 Super Lottoschein
30,頭像（無用）,Spezieller Avatar,填充
31,Baumaterial,Baumaterial,Wird für den Bau benötigt
32,戰姬置換材料（無用）,Mädchen Austauschmaterial,"Verwende es, um ein 10-Sterne Mädchen auszutauschen"
33,Normale Kapselmünze,Beschwörungsitem,"Verwende es, um Mädchen aus der normalen Kapsel zu beschwören"
