id,name,desc,skill_desc1,skill_desc2,skill_desc3,skill_desc4
851001,Saphira,"1. Ein Schadensverteiler der Priesterklasse im Geister Haus; \n2. Ihre aktive Fähigkeit hat die Chance, Feinde in der Backline zu versteinern und gleichzeitig die Präzision für ihre Teamkollegen zu erhöhen. Ihre Basisangriffe verringern die Blockrate ihrer Ziele und bietet dem Team gute Möglichkeiten, Schaden auszuteilen. \n3. Ihre Grundgeschwindigkeit ist relativ niedrig. Es wird empfolen, ihre Geschwindigkeit zu erhöhen, damit sie zuerst zuschlägt und in Tests oder Pvp-Situationen sehr gut abschneiden kann.","Die aktive Fertigkeit von Saphire fügt den Gegnern in der Backline Schaden zu und hat die Chance, sie zu versteinern. \nSaphira verfügt über einen hohen Grundangriff. Diese Fertigkeit kann eine sehr gute Leistung erbringen, wenn sie früher ausgelöst werden kann.","Buff Skill. Ermöglicht es, mit der Basic Attacke alle Feinde an der Front zu treffen. Dadurch werden die Mädchen mit hoher Blockrate (wie Guan Yin, Javelin und Nobunaga) stark geschwächt.",Buff Skill. Erhöht die Präzision und den Angriff.,"Buff Skill: Erhöht den Angriff für 3 Runden (einmal pro Kampf) erheblich, wenn ihre HP unter einem bestimmten Wert liegt."
851002,Bunny,"1. Ein tödlicher Attentäter im Geister Haus mit der Fähigkeit, sich selbst zu heilen, teilt erhöhten Schaden gegen blutende Feinde aus; \n2. Sie kann in PVE-Situationen am Anfang sehr helfen; \n3. Aufgrund ihrer schlechten Überlebensfähigkeit braucht sie Buffs, die ihre Überlebensfähigkeit verbessern können.","Die aktive Fertigkeit fügt 2 zufälligen Gegnern Schaden zu und lässt sie bluten. Der Blutungsschaden wird erhöht, wenn das Ziel ein Ranger ist.\nBei 6 Sternen erhöht sich die Anzahl der Gegner auf 3.\nBei 10 Sternen, kann sie HP aus der Fähigkeit gewinnen.","Buff Skill, jeder Angriff von Bunny erhöht ihren Rüstungsdurchdringung und lässt ihre Ziele bluten.",Buff Skill. Erhöht Präzision und Schadensverteilung.,"Heilungsskill. Ermöglicht es, HP zu erhalten, sobald ein Feind stirbt. Die Heilungsmenge basiert auf ihrem Angriffsschaden."
851003,Succubus,"1. Ein Mädchen der Kriegerklasse im Geister Haus. Erscheint normalerweise in der Front; \n2. Das Attribut des Mädchens ist am Anfang niedriger als bei anderen, aber bei 10 Sternen wird es gestärkt und erhält Kontrolleffekte","Die aktive Fertigkeit fügt Gegnern in der Backline Schaden zu und heilt Succubus. \nNachdem Succuba 10 Sterne erreicht hat, hat die Fertigkeit auch die Möglichkeit, die Ziele einzufrieren. \nDie Heilungsmenge der Fertigkeit basiert auf dem Angriffsschaden. Die Heilungsrate wird stark erhöht, nachdem sie 10 Sterne erreicht hat.","Buff Skill, erhöht Präzision und Überlebensfähigkeiten.","Heilungsskill. Ermöglicht es Succubus, sich selbst zu heilen, wenn ein Feind einen Angriff blockiert.","Heilungsskill, ermöglicht es Succubus, sich von jedem ihrer Angriffe zu heilen. Die Heilungsrate wird erhöht, sobald sie 10 Sterne erreicht hat."
851004,Dracula,"
1. Ein Schadensverteiler im Geister Haus; 
2. Draculas aktive Fähigkeit kontert Gegner der Magierklasse, sodass sie als Gegenmaßnahme gegen Teams mit vielen Magiern eingesetzt werden kann; 
3. Dracula zielt auf den Feind mit der niedrigsten HP, sodass der Gegner schnell Einheiten verliert. 
4. Die passive Fertigkeit hat gewisse Heilungseffekte. Bei 6 bis 10 Sternen kann sie in der Front eingesetzt werden.",Draculas aktive Fertigkeit fügt 3 zufälligen Gegnern Schaden zu. Bei Magiern fügt die Fertigkeit extra Schaden zu und betäubt sie. \nBei 6 Sternen erhöht sich die Anzahl der zufälligen Gegner auf 4.,Buff Skill. Erhöht Schadensverteilung und Überlebensfähigkeiten.,"Buff Skill. Verbessert den Basisangriff von Dracula und ermöglicht es ihr, immer den Feind mit der niedrigsten HP anzugreifen.","Buff Skill. Erhöht Draculas Rüstungsdurchdringung erheblich und heilt sie kontinuierlich, wenn ihre HP unter einem bestimmten Wert liegt."
851005,Wu Kong,"1. Ein Schadensverteiler im Geister Haus; \n2. Wu Kongs aktive Fertigkeit ist sehr stark gegen Assasinen, weil sie Assasinen betäubt und gegen betäubte Ziele erhöhten Schaden verursacht. Sie kann sehr gut gegen Teams mit vielen Assassinen eingesetzt werden. \n3. Ihre Grundgeschwindigkeit ist relativ niedrig. Es wird empfolen, ihre Geschwindigkeit zu erhöhen, damit sie zuerst zuschlägt und in Tests oder PVP-Situationen sehr gut abschneiden kann.","
Die aktive Fertigkeit fügt 3 zufälligen Gegnern Schaden zu. Bei Assasinen fügt die Fertigkeit extra Schaden zu und betäubt sie. 
Bei 6 Sternen erhöht sich die Anzahl der betroffenen Gegner auf 4. 
Nachdem Wu Kong 10 Sterne erreicht hat, vergiftet die Fertigkeit auch Assassinen. 
Die Fertigkeit hat einen hohen Schadensoutput und kontert Assassinen stark.",Kontrollfähigkeit: Betäubt das Ziel mit hoher Wahrscheinlichkeit.,"Buff Skill. Ermöglicht es Wu Kong, betäubten Zielen zusätzlichen Schaden zuzufügen. Stark in Kombination mit der 1. passiven Fähigkeit oder anderen Mädchen mit betäubenden Kontrolleffekten.",Buff Skill. Verringert die Rüstung des Gegners und erhöht den Schadensoutput.
851006,Fencer,"
1. Ein Krieger des Geister Hauses mit Kontrollfähigkeiten, die den Gegner einfriert. 
2. Die aktive Fähigkeit fügt den Feinden in der Front Schaden zu und hat eine hohe Chance, sie einzufrieren. 
3. Hat die Chance, den Angreifer einzufrieren, wenn sie angegriffen wird. Sie verfügt auch über Fähigkeiten, die ihre HP und Rüstung verbessern können. Somit hat sie relativ hohe Kontrolleffekte und Überlebensfähigkeiten 
4. Sie ist in jedem Level herausragend und sollte gefördert werden.","Die aktive Fertigkeit fügt Gegnern in der Front Schaden zu und hat eine hohe Chance, sie einzufrieren. Die Fertigkeit heilt Fencer außerdem.","Kontrollskill. Fencer hat die Chance, ihren Feind einzufrieren, wenn sie Schaden von ihm erleidet. Die Chance wird erhöht, wenn der Feind ein Krieger ist.","Buff Skill. Erhöht Fencers Angriffskraft und Überlebensfähigkeiten, macht sie immun gegen Einfrieren.","Heilungsskill. Ermöglicht es Fencer, sich in einem großen Umfang zu heilen, wenn ihre HP unter einem bestimmten Wert liegt."
851007,Diana,"1. Ein Schadensverteiler im Geister Haus \n2., Diana hat von Haus aus gute Angriffswerte. Nach 10 Sternen senkt ihre aktive Fertigkeit die Angriffskraft des Gegners um 30% und hat eine hohe Chance, den Gegner bluten zu lassen, was dem Team gute Möglichkeiten bietet, Schaden auszuteilen.","Die aktive Fertigkeit zielt auf den Feind mit der niedrigsten HP und reduziert seine Angriffskraft. \nNachdem Diana10 Sterne erreicht hat, kann das Auslösen der Fertigkeit extra hohen Schaden verursachen.",Buff Skill. Erhöht Schadensverteilung und Überlebensfähigkeiten.,Buff Skill. Erhöht die Angriffskraft bei jedem Angriff,"Buff Skill. Erhöht die Angriffskraft erheblich, wenn ihre HP unter einem bestimmten Wert liegt."
851008,Sakura,"
1. Als Mädchen mit Kontrolleffekte kann Sakura Gegner versteinern und fügt versteinerte Gegner mehr Schaden zu. 
2. Ihre Kontrollskills sind herausragend und bieten ihr eine hohe Chance, ihre Feinde zu versteinern, während sie ihre Rüstung senkt, was sie in PVP-Situationen zu einer guten Wahl macht. 
3. Sakura hat eine hohe Schadensreduzierung und ist immun gegen Versteinerung, was bedeutet, dass sie eine große Überlebensfähigkeit hat. 
4. Es wird empfolen, sie zu fördern, wenn Mädchen mit Kontrolleffekten fehlen.","Sakuras aktive Fertigkeit fügt Gegnern in der Backline Schaden zu und hat die Chance, sie zu versteinern. Außerdem wird die Rüstung der Ziele verringert.","Buff Skill. Erhöht Sakuras Angriffskraft, Überlebensfähigkeiten und macht sie immun gegen Versteinerung.","Buff Skill. Ändert Sakuras Grundangriff gegen Feinde in der Backline und ermöglicht es, sie zu versteinern. Erhöht außerdem ihren Schaden gegen versteinerte Feinde.",Buff Skill. Erhöht die Schadensreduktion von Sakura nachdem ihre HP auf einen bestimmten Wert gesenkt wurde.
851009,Giana,"1. Ein Schadensverteiler im Geister Haus; \n2. Gianas Schadensverteilung ist nicht hoch, solange sie lebt. Wenn sie stirbt, teilt sie sehr hohen Schaden aus. \n3. Sie kann gut in Kombination mit anderen Mädchen verwendet werden, die von ihrem Tod profitieren (wie Historia, Esau & Jakob).","Gianas aktive Fertigkeit fügt allen Feinden Schaden zu und hat die Chance, Krieger zum Schweigen zu bringen. \nNachdem Giana 10 Sterne erreicht hat, erhöht sich ihre Angriffskraft kontinuierlich.",Buff Skill. Erhöht Chance auf Kritische Treffer und Angriffskraft erheblich beim Tod eigener Mädchen.,Buff Skill. Erhöht Schadensverteilung und Überlebensfähigkeiten.,"Die Kernfertigkeit von Giana. Fügt allen Gegnern großen Schaden zu, wenn sie stirbt."
851010,Minos,"
1. Ein Assassine im Geister Haus; 
2. Mit Standard Angriff greift sie einen zufälligen Gegner der Backline an.
3. Durch relativ hohe Angriffskraft, Geschwindigkeit, Giftschaden und Betäubung ist sie ein Mädchen mit hohem Schadensoutput. 
4. Nachdem ""Verwirrungsangriff"" Level 3 erreicht hat, hat ihr Basisangriff eine 100%ige Chance, das Ziel zu betäuben. Dadurch ist sie in einer 1:1-Situation sehr stark. Die zusätzliche Schadensvermeidung durch ihre aktive Fähigkeit sichert außerdem ihre eigene Überlebensfähigkeit.","
Minos aktive Fertigkeit fügt einem zufälligen Feind in der Backline Schaden zu und vergiftet ihn. Außerdem besteht die Möglichkeit, das Ziel zu betäuben. 
Nachdem Minos 6 Sterne erreicht hat, wird die Anzahl der Gegner, die von der aktiven Fähigkeit betroffen werden, auf 2 erhöht. 
Nachdem Minos 10 Sterne erricht hat, erhöht die Fertigkeit ihre Schadenreduktion und Überlebensfähigkeiten. 
Weil Minos ihre Feinde vergiften kann, kann sie in Kombination mit Mädchen, die Fähigkeiten im Zusammenhang mit Gift haben, herausragende Leistungen vollbringen.",Buff Skill. Erhöht Minos Schadensverteilung und Überlebensfähigkeiten. Erhöht außderdem ihr Schaden gegenüber vergifteten Zielen.,"Buff Skill. Ermöglicht Basisangriffe eine gewisse Chance, das Ziel zu betäuben.",Buff Skill. Vergiftet 2 zufällige Feinde in der Backline (wenn Ennmayas HP unter einem bestimmten Wert liegt. \nNach dem Erreichen von 10 Sternen werden alle Feinde in der Backline vergiftet.
