id,name,charge,currency,show_name
1,Monatskarte,16.99,€,Monatskarte
2,Mini Monatskarte,5.49,€,Mini Monatskarte
3,Wochenkarte,1.09,€,Wochenkarte
4,250 Dias Paket,5.49,€,Dias Paket
5,500 Dias Paket,10.99,€,Dias Paket
6,1000 Dias Paket,21.99,€,Dias Paket
7,2500 Dias Paket,54.99,€,Dias Paket
8,5000 Dias Paket,109.99,€,Dias Paket
9,Lv.24 Paket,2.29,€,Lv.24 Paket
10,Lv.32 Paket,5.49,€,Lv.32 Paket
11,Lv.48 Paket,10.99,€,Lv.48 Paket
12,Lv.58 Paket,32.99,€,Lv.58 Paket
13,Lv.78 Paket,54.99,€,Lv.78 Paket
14,4-Sterne-Mädchen-Trainingspaket,5.49,€,4-Sterne-Mädchen-Trainingspaket
15,5-Sterne-Mädchen-Trainingspaket,10.99,€,5-Sterne-Mädchen-Trainingspaket
16,Monatspaket 1,5.49,€,Monatspaket
17,Monatspaket 2,10.99,€,Monatspaket
18,Monatspaket 3,32.99,€,Monatspaket
19,Monatspaket 4,54.99,€,Monatspaket
20,Monatspaket 5,74.99,€,Monatspaket
89,Monatspaket 7,109.99,€,Monatspaket
22,Wochenpaket 1,10.99,€,Wochenpaket
23,Wochenpaket 2,21.99,€,Wochenpaket
24,Wochenpaket 3,54.99,€,Wochenpaket
25,Wochenpaket 4,74.99,€,Wochenpaket
26,Superpaket 1,109.99,€,Superpaket
27,Superpaket 2,74.99,€,Superpaket
28,Superpaket 3,32.99,€,Superpaket
29,Superpaket 4,10.99,€,Superpaket
30,Superpaket 5,5.49,€,Superpaket
31,Superpaket 1,109.99,€,Superpaket
32,Superpaket 2,74.99,€,Superpaket
33,Superpaket 3,32.99,€,Superpaket
34,Superpaket 4,21.99,€,Superpaket
36,Superpaket 5,5.49,€,Superpaket
69,Superpaket 6,5.49,€,Superpaket
35,Gratis Auflade Paket,2.29,€,Gratis Auflade Paket
37,5-Sterne Paket,1.09,€,5-Sterne Paket
38,Abonnieren,0.99,€,Abonnement
39,Black Friday-Karte,10.99,€,Grußkarte zum 3. Jubiläum
40,Wöchentliches Abonnement,0.99,€,Wöchentliches Abonnement
41,Monatliches Abonnement,4.49,€,Monatliches Abonnement
42,Vierteljähriges Abonnement,10.49,€,Vierteljähriges Abonnement
43,Monatspaket 1,5.49,€,Monatspaket
44,Monatspaket 2,10.99,€,Monatspaket
45,Monatspaket 3,32.99,€,Monatspaket
46,Monatspaket 4,54.99,€,Monatspaket
47,Monatspaket 5,74.99,€,Monatspaket
48,Monatspaket 6,89.99,€,Monatspaket
49,Wochenpaket 1,10.99,€,Wochenpaket
50,Wochenpaket 2,21.99,€,Wochenpaket
51,Wochenpaket 3,54.99,€,Wochenpaket
52,Wochenpaket 4,74.99,€,Wochenpaket
53,Wöchentliches Abonnement,0.99,€,Wöchentliches Abonnement
54,Monatliches Abonnement,4.49,€,Monatliches Abonnement
55,Vierteljähriges Abonnement,10.49,€,Vierteljähriges Abonnement
56,Kostümpaket 1,5.49,€,Glückspaket
57,Glückspaket 1,5.49,€,Glückspaket
65,Glückspaket 2,54.99,€,Glückspaket
58,7-tägige kostenlose Testversion,0,€,7-tägige kostenlose Testversion
59,7-tägige kostenlose Testversion,0,€,7-tägige kostenlose Testversion
60,7-tägige kostenlose Testversion,0,€,7-tägige kostenlose Testversion
61,7-tägige kostenlose Testversion,0,€,7-tägige kostenlose Testversion
62,7-tägige kostenlose Testversion,0,€,7-tägige kostenlose Testversion
63,7-tägige kostenlose Testversion,0,€,7-tägige kostenlose Testversion
64,Rundenpaket,10.99,€,Rundenpaket
66,Ehering,21.99,€,Ehering
67,Wachstumspaket,10.99,€,Wachstumspaket
68,Superpaket 6,5.49,€,Superpaket
70,Entsperre Deluxe Bonus,21.99,€,Deluxe Bonus
71,Kostümpaket 2,54.99,€,Glückspaket
72,Grußkarte zum 3. Jubiläum,21.99,€,Grußkarte zum 3. Jubiläum
73,Weihnachtspaket,54.99,€,Weihnachtspaket
74,Studiumplan,10.99,€,Studiumplan
75,Eid Paket,32.99,€,Eid Paket
76,Premium Inhalte,10.99,€,Premium Inhalte
1010101,Lv.24 Paket,2.29,€,Lv.24 Paket
1010201,Lv.32 Paket,5.49,€,Lv.32 Paket
1010301,Lv.48 Paket,10.99,€,Lv.48 Paket
1010401,Lv.58 Paket,10.99,€,Lv.58 Paket
1010402,Lv.58 Paket,32.99,€,Lv.58 Paket
1010403,Lv.58 Paket,54.99,€,Lv.58 Paket
1010404,Lv.58 Paket,74.99,€,Lv.58 Paket
