Boss,HP,Attack,Armor
1,2700,400,100
2,12924,1915,479
3,19782,2931,733
4,26640,3947,987
5,33498,4963,1241
6,40356,5979,1495
7,47214,6995,1749
8,54063,8010,2003
9,60921,9026,2257
10,84708,12550,3138
11,93456,13845,3461
12,102321,15158,3790
13,111222,16478,4120
14,120141,17799,4450
15,129087,19123,4781
16,138060,20453,5113
17,147051,21784,5446
18,156051,23120,5780
19,165105,24459,6115
20,174159,25801,6450
21,183231,27147,6787
22,192366,28497,7124
23,201483,29850,7463
24,210645,31205,7801
25,219834,32568,8142
26,230985,34222,8556
27,242487,35924,8981
28,254178,37658,9415
29,265950,39400,9850
30,276894,41020,10255
31,302382,44797,11199
32,329157,48763,12191
33,356094,52755,13189
34,383220,56774,14194
35,410481,60813,15203
36,437895,64874,16219
37,465480,68959,17240
38,493263,73075,18269
39,521163,77209,19302
40,549216,81365,20341
41,577431,85545,21386
42,605862,89757,22439
43,634401,93985,23496
44,663093,98236,24559
45,691947,102511,25628
46,721026,106819,26705
47,750213,111141,27785
48,779544,115487,28872
49,809037,119857,29964
50,838773,124261,31065
51,845568,125269,31317
52,853785,126485,31621
53,862038,127709,31927
54,870327,128937,32234
55,878661,130171,32543
56,887031,131412,32853
57,895446,132658,33165
58,903897,133911,33478
59,912393,135168,33792
60,924939,137028,34257
61,931194,137953,34488
62,936639,138761,34690
63,942102,139569,34892
64,947484,140367,35092
65,952956,141179,35295
66,958356,141979,35495
67,963855,142793,35698
68,969354,143609,35902
69,974781,144413,36103
70,980307,145229,36307
71,985833,146049,36512
72,991287,146858,36715
73,996831,147680,36920
74,1002384,148502,37126
75,1007865,149313,37328
76,1013427,150138,37535
77,1018926,150952,37738
78,1024515,151780,37945
79,1030113,152608,38152
80,1035621,153426,38357
81,1041237,154258,38565
82,1046853,155090,38773
83,1052397,155912,38978
84,1058040,156746,39187
85,1063683,157584,39396
86,1069254,158408,39602
87,1074915,159248,39812
88,1080594,160088,40022
89,1086183,160916,40229
90,1091871,161759,40440
91,1097469,162590,40648
92,1103184,163435,40859
93,1108899,164282,41071
94,1114533,165116,41279
95,1120257,165966,41492
96,1126008,166816,41704
97,1131660,167654,41914
98,1137420,168507,42127
99,1143180,169362,42341
100,1148868,170203,42551
101,1154655,171060,42765
102,1160343,171904,42976
103,1166148,172763,43191
104,1171971,173624,43406
105,1177686,174472,43618
106,1183518,175335,43834
107,1189350,176199,44050
108,1195092,177051,44263
109,1200942,177918,44480
110,1206810,178786,44697
111,1212588,179641,44910
112,1218456,180512,45128
113,1224252,181369,45342
114,1230138,182243,45561
115,1236051,183117,45779
116,1241856,183978,45995
117,1247778,184855,46214
118,1253700,185734,46434
119,1259541,186599,46650
120,1265490,187479,46870
121,1271448,188361,47090
122,1277307,189229,47307
123,1283274,190115,47529
124,1289151,190985,47746
125,1295145,191873,47968
126,1301139,192761,48190
127,1307043,193635,48409
128,1313055,194527,48632
129,1319076,195419,48855
130,1325007,196297,49074
131,1331046,197191,49298
132,1337094,198088,49522
133,1343052,198969,49742
134,1349109,199869,49967
135,1355184,200769,50192
136,1361169,201654,50414
137,1367253,202558,50640
138,1373256,203444,50861
139,1379358,204350,51088
140,1385478,205256,51314
141,1391490,206148,51537
142,1397628,207056,51764
143,1403766,207966,51992
144,1409805,208862,52216
145,1415970,209774,52444
146,1422144,210688,52672
147,1428201,211586,52897
148,1434393,212503,53126
149,1440468,213404,53351
150,1446669,214322,53581
151,1452888,215243,53811
152,1458990,216148,54037
153,1465218,217070,54268
154,1471455,217994,54499
155,1477584,218902,54726
156,1483848,219829,54957
157,1490112,220757,55189
158,1496259,221669,55417
159,1502541,222599,55650
160,1508715,223513,55878
161,1515006,224446,56112
162,1521315,225381,56345
163,1527507,226298,56575
164,1533834,227235,56809
165,1540170,228173,57043
166,1546380,229094,57274
167,1552734,230035,57509
168,1559106,230977,57744
169,1565343,231902,57976
170,1571715,232847,58212
171,1577979,233774,58444
172,1584378,234721,58680
173,1590777,235669,58917
174,1597059,236600,59150
175,1603467,237551,59388
176,1609902,238503,59626
177,1616211,239437,59859
178,1622655,240392,60098
179,1629108,241348,60337
180,1635435,242287,60572
181,1641906,243245,60811
182,1648386,244205,61051
183,1654740,245147,61287
184,1661238,246109,61527
185,1667610,247053,61763
186,1674126,248017,62004
187,1680642,248983,62246
188,1687041,249931,62483
189,1693575,250900,62725
190,1700127,251869,62967
191,1706553,252821,63205
192,1713114,253793,63448
193,1719684,254767,63692
194,1726128,255723,63931
195,1732716,256699,64175
196,1739178,257657,64414
197,1745784,258635,64659
198,1752399,259615,64904
199,1758888,260576,65144
200,1765530,261560,65390
