id,res,length,loops,is_play_self,delay,type,desc,volume,destroy,pause_bg,is_ogg
1,bg_mp3,,10.0,,0.0,2.0,,100.0,1.0,,
1001,battle_sound_web/sound_ty_bingbao,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1002,battle_sound_web/sound_ty_daojian,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1003,battle_sound_web/sound_ty_dici,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1004,battle_sound_web/sound_ty_fangxue,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1005,battle_sound_web/sound_ty_heal,2.0,1.0,,0.0,1.0,,30.0,1.0,,
1006,battle_sound_web/sound_ty_quantou,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1007,battle_sound_web/sound_ailier_attack,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1008,battle_sound_web/sound_caozhi_attack,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1009,battle_sound_web/sound_caozhi_skill,2.0,1.0,,0.0,1.0,,30.0,1.0,,
1010,local_sound/sound_daqiao_attack,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1011,battle_sound_web/sound_degula_attack,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1012,battle_sound_web/sound_degula_skill,2.0,1.0,,0.0,1.0,,30.0,1.0,,
1013,battle_sound_web/sound_diaochan_skill,2.0,1.0,,0.0,1.0,,30.0,1.0,,
1014,local_sound/sound_dongzhuo_attack,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1015,battle_sound_web/sound_dongzhuo_skill,2.0,1.0,,0.0,1.0,,30.0,1.0,,
1016,local_sound/sound_fangtianhuaji_skill,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1017,local_sound/sound_guojia_attack,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1018,battle_sound_web/sound_guojia_skill,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1019,battle_sound_web/sound_hanlingdi_skill,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1020,local_sound/sound_huangzhong_attack,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1021,battle_sound_web/sound_huangzhong_skill,2.0,1.0,,0.0,1.0,,30.0,1.0,,
1022,battle_sound_web/sound_jiabailie_skill,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1023,battle_sound_web/sound_lvmeng_attack,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1024,battle_sound_web/sound_lvmeng_skill,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1025,battle_sound_web/sound_simayi_attack,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1026,battle_sound_web/sound_simazhao_skill,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1027,local_sound/sound_sunshangxiang_attack,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1028,battle_sound_web/sound_xunyu_skill,2.0,1.0,,0.0,1.0,,30.0,1.0,,
1029,battle_sound_web/sound_yanyue_skill,2.0,1.0,,0.0,1.0,,30.0,1.0,,
1030,local_sound/sound_zhangchunhua_attack,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1031,battle_sound_web/sound_zhanghe_attack,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1032,local_sound/sound_zhouyu_attack,1.0,1.0,,0.0,1.0,,30.0,1.0,,
