id,partner_link,skin,name,lv,grade,hp,atk,hpP,atkP,armP,spdP,energy_ex,miss,hit,crit,critTime,sklP,decDmg,free,brk,trueAtk,is_boss,lv_show,scale,is_player_use,skill,equip_6,exskill
1,14003,,-1,30,1,119.0,11.0,0.148,0.096,1.04,1.0,,0,0,0,0,0.0,0,0,0,0,,1,,,,,
2,12002,,-1,30,1,116.0,11.0,0.17,0.09,1.0,1.0,,0,0,0,0,0.0,0,0,0,0,,1,,,,,
3,13002,,-1,30,1,196.0,13.0,0.36,0.07,1.02,1.11,,0,0,0,0,0.0,0,0,0,0,,2,,,,,
4,43007,,-1,30,1,260.0,21.0,0.1584,0.0557,0.8929,0.9005,,0,0,0,0,0.0,0,0,0,0,,2,,,,,
5,24001,,-1,30,1,338.0,25.0,0.45,0.13,1.02,0.87,,0,0,0,0,0.0,0,0,0,0,,3,,,,,
6,54002,,-1,30,1,308.0,28.0,0.0533,0.0783,0.8223,0.6696,,0,0,0,0,0.0,0,0,0,0,,3,,,,,
7,52004,7030.0,-1,40,1,1456.0,90.0,0.3393,0.122,0.8475,0.724,,0,0,0,0,0.0,0,800,0,0,1.0,3,0.2,,,,
8,53005,7032.0,-1,40,1,474.0,25.0,0.0983,0.0359,0.8621,0.7,,0,0,0,0,0.0,0,0,0,0,,4,,,,,
9,23001,,-1,30,1,406.0,37.0,0.5015,0.2247,0.9091,1.0529,,0,0,0,0,0.0,0,0,0,0,,4,,,,,
10,56003,7029.0,-1,40,1,536.0,27.0,0.0977,0.0401,0.8966,0.6752,,0,0,0,0,0.0,0,0,0,0,,5,,,,,
11,46001,,-1,30,1,333.0,42.0,0.2047,0.1029,0.8889,1.0264,,0,0,0,0,0.0,0,0,0,0,,5,,,,,
12,46002,,-1,40,2,391.0,46.0,0.1066,0.1354,0.8448,0.7287,,0,0,0,0,0.0,0,0,0,0,,5,,,,,
13,54008,7042.0,-1,40,1,558.0,26.0,0.1309,0.04,0.8028,0.7496,,0,0,0,0,0.0,0,0,0,0,,5,,,,,
14,44004,,-1,40,2,254.0,45.0,0.1141,0.1009,0.8393,0.6166,,0,0,0,0,0.0,0,0,0,0,,5,,,,,
15,55005,7035.0,-1,40,1,662.0,39.0,0.1516,0.0485,0.9828,0.6527,,0,0,0,0,0.0,0,0,0,0,,6,,,,,
16,35001,,-1,40,2,528.0,45.0,0.3541,0.1237,0.9038,0.8707,,0,0,0,0,0.0,0,0,0,0,,6,,,,,
17,45003,,-1,40,2,460.0,50.0,0.1783,0.1088,0.9074,0.8155,,0,0,0,0,0.0,0,0,0,0,,6,,,,,
18,31001,,-1,40,1,792.0,32.0,0.4442,0.1306,0.9185,0.7521,,0,0,0,0,0.0,0,0,0,0,,8,,,,,
19,51004,7045.0,-1,50,1,1889.0,139.0,0.3478,0.1511,0.8909,0.7564,,0,0,0,0,0.0,0,800,0,0,1.0,8,0.2,,,,
20,42007,,-1,40,1,700.0,45.0,0.2227,0.156,0.9355,0.8421,,0,0,0,0,0.0,0,0,0,0,,9,,,,,
21,22001,,-1,40,2,662.0,68.0,0.83,0.22,1.0,1.16,,0,0,0,0,0.0,0,0,0,0,,9,,,,,
22,24001,,-1,40,2,699.0,53.0,0.74,0.22,1.0,1.16,,0,0,0,0,0.0,0,0,0,0,,9,,,,,
23,45001,,-1,40,2,1080.0,56.0,0.4038,0.1252,0.9821,0.9106,,0,0,0,0,0.0,0,0,0,0,,12,,,,,
