id,partner,unknown_3,name,desc,is_exskill,sub_skill,trigger,is_pass,is_unseal,is_cost_energy,is_add_energy,target1,rand1,effect1,effect1_add,no_crit1,no_miss1,no_act1,fx1,fx_hurt1,fx_hurt1_add,target2,rand2,effect2,no_crit2,not_miss2,fx_hurt2,target3,rand3,effect3,no_crit3,not_miss3,fx_hurt3,attr_pas,jump,jump_pos_xy,icon_id,level,sound,shake_screen,hero_pos_type,hero_pos_type_xy,shake_screen_time,black_screen,animation,skill_effect,target_no_effect
201,-1,-1.0,-1,-1,,0,1.0,0,,,,14.0,,1019121,,,,,200,201,,,,,,,,,,,,,,,,,skill_icon_0,,1017,,,,,,,,
202,-1,-1.0,-1,-1,,0,1.0,0,,,,14.0,,1019121|1033008,,,,,154#569,152#568,,,,,,,,,,,,,,,,,skill_icon_0,,1017,,,,,,,,
203,-1,-1.0,-1,-1,,0,1.0,0,,,,18.0,1.0,1019121,,,,,,215|216#763#1403,,,,,,,,,,,,,,,1,,skill_icon_0,,1044,,,,,,,,
204,-1,-1.0,-1,-1,,0,1.0,0,,,,17.0,,1019115,,,,,,38,,,,,,,,,,,,,,,0,,skill_icon_0,,1025,,,,,,,,
208,-1,-1.0,-1,-1,,0,1.0,0,,,,18.0,2.0,1019122,,,,,136,,,,,,,,,,,,,,,,,,skill_icon_0,,1010,,,,,,,,
209,-1,-1.0,-1,-1,,0,1.0,0,,,,16.0,,1019118,,,,,,215|216#763#1403,,,,,,,,,,,,,,,,,skill_icon_0,,1044,,,,,,,,
212,-1,-1.0,-1,-1,,0,1.0,0,,,,14.0,,1019123|1033029,,,,,154#569,152#568,,,,,,,,,,,,,,,,,skill_icon_0,,1020,,,,,,,,
213,-1,-1.0,-1,-1,,0,1.0,0,,,,16.0,,1019120|1026077|1025065,,,,,,215|216#763#1403,,,,,,,,,,,,,,,,,skill_icon_0,,1044,,,,,,,,
216,-1,-1.0,-1,-1,,0,1.0,0,,,,20.0,1.0,1019121,,,,,182,183,,,,,,,,,,,,,,,,,skill_icon_0,,1027,,,,,,,,
217,-1,-1.0,-1,-1,,0,1.0,0,,,,18.0,2.0,1019124,,,,,260#389#523#792,261#390#524#793,,,,,,,,,,,,,,,,,skill_icon_0,,1040,,,,,,,,
218,-1,-1.0,-1,-1,,0,1.0,0,,,,18.0,3.0,1019124,,,,,260#389#523#792,261#390#524#793,,,,,,,,,,,,,,,,,skill_icon_0,,1040,,,,,,,,
219,-1,-1.0,-1,-1,,0,1.0,0,,,,18.0,3.0,1019117,,,,,260#389#523#792,261#390#524#793,,,,,,,,,,,,,,,,,skill_icon_0,,1040,,,,,,,,
220,-1,-1.0,-1,-1,,0,1.0,0,,,,20.0,1.0,1019125,,,,,185,183,,,,,,,,,,,,,,,,,skill_icon_0,,1033,,,,,,,,
221,-1,-1.0,-1,-1,,0,1.0,0,,,,20.0,1.0,1019123,,,,,185,183,,,,,,,,,,,,,,,,,skill_icon_0,,1025,,,,,,,,
235,-1,-1.0,-1,-1,,0,1.0,0,,,,14.0,,1019126|1028082,,,,,256#1523,257#1521,,,,,,,,,,,,,,,,,skill_icon_0,,1007,,,,,,,,
236,-1,-1.0,-1,-1,,0,1.0,0,,,,14.0,,1019125|1034016,,,,,,162#485#498#531,,,,,,,,,,,,,,,1#1#1#0,,skill_icon_0,,1041###1075,,,,,,,,
237,-1,-1.0,-1,-1,,0,1.0,0,,,,14.0,,1019123|1028429,,,,,256#1523,257#1521,,,,,,,,,,,,,,,,,skill_icon_0,,1007,,,,,,,,
238,-1,-1.0,-1,-1,,0,1.0,0,,,,14.0,,1019127|1034002,,,,,,162#485#498#531,,,,,,,,,,,,,,,1#1#1#0,,skill_icon_0,,1041###1075,,,,,,,,
240,-1,-1.0,-1,-1,,0,1.0,0,,,,14.0,,1019126|1030050,,,1.0,,65#346#418#513#885,66#347#415#510#884,,,,,,,,,,,,,,,,,skill_icon_0,,1011,,,,,,,,
241,-1,-1.0,-1,-1,,0,1.0,0,,,,14.0,,1019125|1030051,,,1.0,,65#346#418#513#885,66#347#415#510#884,,,,,,,,,,,,,,,,,skill_icon_0,,1011,,,,,,,,
242,-1,-1.0,-1,-1,,0,1.0,0,,,,14.0,,1019127|1030052,,,1.0,,65#346#418#513#885,66#347#415#510#884,,,,,,,,,,,,,,,,,skill_icon_0,,1011,,,,,,,,
243,-1,-1.0,-1,-1,,0,1.0,0,,,,16.0,,1019118|1007012,,,1.0,,236#436#783#1505,237#434#779#1503,,,,,,,,,,,,,,,,,skill_icon_0,,1032,,,,,,,,
244,-1,-1.0,-1,-1,,0,1.0,0,,,,16.0,,1019120|1007013,,,1.0,,236#436#783#1505,237#434#779#1503,,,,,,,,,,,,,,,,,skill_icon_0,,1032,,,,,,,,
245,-1,-1.0,-1,-1,,0,1.0,0,,,,16.0,,1019126|1007014,,,1.0,,236#436#783#1505,237#434#779#1503,,,,,,,,,,,,,,,,,skill_icon_0,,1032,,,,,,,,
247,-1,-1.0,-1,-1,,0,1.0,0,,,,14.0,,1019121|1028047,,,,,256#1523,257#1521,,,,,,,,,,,,,,,,,skill_icon_0,,1007,,,,,,,,
