id,title_1,unknown_3,contents_1,contents_4,contents_5,contents_2
1,“Limit Event”Unlock!,"Senpai, new events are begun, hurry up to finish them!","Senpai, new events are begun, hurry up to finish them!",學長大大，新的活動開始了，抓緊時間完成吧！,先輩、新しいイベントが始まりました、さっそく参加しましょう！,"Senpai, des nouveaux événements ont commencés, dépêche-toi de les finir !"
2,You have unfinished daily quizzes!,"Senpai, don’t miss your daily mission~","Senpai, don’t miss your daily mission~",日常測驗還未完成，學長大大不要錯過啊！,日常テストはまだクリアしてませんよ、クリアを忘れずに！,Senpai! N'oublie pas tes missions quotidiennes~
3,This world needs you!,"Senpai, come to see new change in campus!","Senpai, come to see new change in campus!",學長大大，校園世界有了新的變化，快回來看看吧！,先輩、学園にいろんな変化が起こりましたよ！早速確認しましょう！,"Senpai, viens voir les changements sur le campus !"
4,This world needs you!,"Senpai, your girls are miss you badly, hurry back!","Senpai, your girls are miss you badly, hurry back!",學長大大，您的戰姬十分想念您，快回來看看吧！,先輩、戦姫が待っていますよ！早く戻ってきてくださいね！,"Senpai! Tu manques terriblement à tes Filles, reviens vite !"
5,This world needs you!,"Senpai, your girls cannot fight without you, hurry back~","Senpai, your girls cannot fight without you, hurry back~",學長大大，戰姬們沒有您的指揮實力大降，快回來和她們共同戰鬥吧！,先輩がいなければ、戦姫たちの戦闘力が大幅に下がってしまいます。早く戻って共に戦いましょう！,"Senpai, vos Filles ne peuvent pas se battre sans toi, reviens~"
6,This world needs you!,"Senpai, campus will be full of devils if you don’t come back!","Senpai, campus will be full of devils if you don’t come back!",學長大大，您再不回來，學園就要被惡魔學園佔領了！,先輩、早く戻らないと、学園は悪魔に占領されてしまいますよ！,"Senpai, le campus va être rempli de démon si tu ne reviens pas !"
7,This world needs you!,"Senpai, you truly want to abandon your battle girls?","Senpai, you truly want to abandon your battle girls?",學長大大，您不回來了嗎？您真的不要您的戰姬了嗎？,先輩は戻ってこないのですか？戦姫たちはいつでも先輩を待っています。,"Senpai, veux-tu vraiment abandonner tes Filles?"
8,You have unfinished internship!,"Senpai, you have uninitiated internship task, hurry to finish!","Senpai, you have uninitiated internship task, hurry to finish!",學長大大，您還有未進行的打工任務，快派出戰姬去完成吧！,先輩、開始していないバイトミッションがありますよ、早く戦姫たちを派遣しましょう！,"Senpai, tu n'as pas commencé de tâche de stage, dépêche toi d'y aller"
9,Arena Rank Decline,Senpai! Your team was defeated in campus league! Revenge now!,"Senpai, your rank in Campus League is declined, time to check out!",學長大大，您在校園聯賽中的隊伍被擊敗了，快回來復仇吧！,先輩、学園リーグのチームが敗北しました、早くリベンジしましょう！,Senpai ! Your team was defeated in campus league! Revenge now!
10,Guild Notice Revise,Guild Notice changed: {1},Guild Notice changed: {1},公會公告修改為：{1},サークルお知らせは次のように変更されました：{1},Guild Notice changed: {1}
11,A message to guild leader,Leader! We need your help of building guild! Come back!,Leader! We need your help of building guild! Come back!,社長大大，公會的發展出了一些問題，快回來解決吧！,部長、サークルにちょっと問題があったようです、早く戻って解決しましょう！,Leader! We need your help of building guild! Reviens !
12,A message to guild leader,Leader! Our guild can't move on without you! Please come back!,Leader! Our guild can't move on without you! Please come back!,社長大大，公會的發展離不開您的領導，快回來吧！,部長、サークルには部長の指導が必要です！早く戻ってください！,Leader! Our guild can't move on without you! Please come back!
13,A message to guild leader,Leader! Where are you? We have something serous happened in guild!,Leader! Where are you? We have something serous happened in guild!,社長大大，在您離開的這段時間，幫會的發展大不如前，快回來主持大局吧！,部長がいない間、サークルの発展は上手くできませんでした。早く戻ってください！,Leader! Where are you? We have something serous happened in guild!
14,A message to guild leader,Leader! Do you really want to leave your guild? Please come back!,Leader! Do you really want to leave your guild? Please come back!,社長大大，您真的不要您的工會和您的同學了嗎？,部長、サークルの皆とクラスメイト達があなたを待っていますよ。,Leader! Do you really want to leave your guild? Please come back!
15,Regarding to battle girls!,Senpai! How was your first day in campus? Was it great?,Senpai! How was your first day in campus? Was it great?,學長大大，校園生活第一天感覺如何呀？是不是很輕鬆愜意呢！,先輩、学園生活はどうですか？のんびりしているでしょう！,Senpai! How was your first day in campus? Was it great?
16,Regarding to battle girls!,Senpai! Girls were all talking about you these days!,Senpai! Girls were all talking about you these days!,學長大大，經過兩天的相處，您的戰姬都夸您是位很好的學長呢！,先輩、この二日間の付き合いで、戦姫にいい先輩だと褒められました！,Senpai! Girls were all talking about you these days!
17,Regarding to battle girls!,Senpai! You and your girls are working better and better! Fight!,Senpai! You and your girls are working better and better! Fight!,學長大大，您和戰姬們的配合越來越熟練了呢，繼續加油吧！,先輩、戦姫達との相性がよくなりましたね！引き続き頑張りましょう！,Senpai! You and your girls are working better and better! Fight!
18,Regarding to battle girls!,Senpai! You are the chosen one to help us defeat demons!,Senpai! You are the chosen one to help us defeat demons!,學長大大，在您的幫助下，惡魔學園節節敗退，真不愧為被選召之人！,先輩のお陰で、悪魔学園を倒すことができました。さすが選ばれた人は違いますね！,Senpai! You are the chosen one to help us defeat demons!
19,Regarding to battle girls!,Senpai! Many girls are sending your letters! Come and see!,Senpai! Many girls are sending your letters! Come and see!,學長大大，有許多戰姬在私下對您表露芳心了呢，以後和她們好好相處吧！,先輩、あなたのことが好きな戦姫がたくさんいますよ！仲良くしましょう！,Senpai! Many girls are sending your letters! Come and see!
20,Available Canteen Order!,Senpai! Please select your orders in Canteen!,Senpai! Please select your orders in Canteen!,學長大大，您好像忘記今天的食堂訂單了呦，快去完成訂單吧！,先輩、今日の食堂の注文を忘れたようですね。早く作りましょう！,Senpai! Please select your orders in Canteen!
21,Go to challenge Guild Boss!,Senpai! You still have boss fight in guild! Come join the fight!,Senpai! You still have boss fight in guild! Come join the fight!,學長大大，您今天還未挑戰公會副本呢，快來參加戰鬥吧！,先輩、今日はまだサークルクエストに挑戦していないようですね。早く参戦しましょう！,Senpai! You still have boss fight in guild! Come join the fight!
23,Congratulations!,You have advanced to the next phase in Ultimate League! Don't forget to set up your Defense Lineup!,You have advanced to the next phase in Ultimate League! Don't forget to set up your Defense Lineup!,恭喜學長大大終極聯賽成功晉級，快來設置防守陣容把！,おめでとうございます！インフィニティリーグの予選を突破しました！今すぐ防衛設定を行いましょう！,"La phase Ruée de Points dans l'Arène Ultime va bientôt prendre fin ! C'est votre dernière chance pour y participer, Senpai !"
24,Points Race Ending!,Points Race of Ultimate League will end soon! Now is the last chance to participate!,Points Race of Ultimate League will end soon! Now is the last chance to participate!,學長大大，終極聯賽積分賽即將結束，快來參加戰鬥吧！,先輩！インフィニティリーグポイント戦が間もなく終了します！今すぐ参加しましょう！,"Vous êtes arrivé(e) à la phase suivante dans l'Arène Ultime ! N'oubliez pas former votre équipe défensive, Senpai~"
