id,desc,answer_desc,result_desc
1,你一直低著頭踩自己的影子玩，卻沒發現已經走進了許褚照料的小花園。在被許褚教訓了一頓之後，從她那收到了一些植物種子。,,
2,貂蟬得知她的學生們在最近的一次考試中都及格了，很是高興，正巧看到了從教室門口路過的你，便送了你一份禮物。,,
3,張郃和曹操在比拼誰先抽到扭蛋機的新獎品，結果抽了半天誰也沒抽到。,,
4,你從以掃那收到了一份禮物，正當你很開心地想拆開看看時，以掃補充了一句話，希望你把這份禮物轉交給她妹妹雅各，千萬不要偷偷拆開。,,
5,你發現圖書館的書桌上放了一本翻開的書，應該是誰沒有讀完就留在了這裡。,把這本書交給曹植。|把這本書交給巴尼拉。,這本書並不是曹植留在圖書館的，不過她還是很高興你能第一時間想到她。|巴尼拉很開心，因為這本書正是她還沒看完的童話書，她正在努力回想自己把書放在哪去了呢~
6,你看到路邊的空地上有一塊藍色的骨頭餅乾，周圍一個人也沒有。,撿起餅乾迅速吃掉。|無視餅乾繼續前行。,一隻尾巴很大的貓從一旁的草叢中衝出來抓了你一爪，似乎是因為你搶走了牠的食物。|你剛走出幾步，回頭看時便發現那塊餅乾已經消失不見了。
7,你在浴場中沐浴完畢，發現浴場的吹風機已經壞掉，沒法吹乾頭髮了。,濕著頭回宿舍。|坐在浴場門口等頭髮自己乾。,剛一出浴場，便迎面遇到了荀彧，連忙向她借了吹風機，吹乾了頭髮。|你坐在浴場門口睡著了，濕著頭髮吹了很久的冷風，導致病得不輕。
8,校園裡的櫻花開了，清風陣陣，很多花瓣散落在地上。,將地上的花瓣全部清掃乾淨。|靜靜地欣賞此番校園美景。,剛清掃了一半，一陣狂風吹過，被你清掃在一起的花瓣又變得到處都是了。|你忘我地在櫻花樹下站了很久，結果錯過了一份很重要的打工。
9,商店街人來人往十分擁擠，你走在人群中，看到一對白色羽翅迎面而來。,伸出手摸一摸羽毛。|側身向一旁避讓。,羽翅的主人受到了驚嚇，好像下意識地動用了能力，你的手被燙傷了。|龐統已經迷路好一會了，看見你很開心，便纏著你讓你將她帶去心儀的店鋪。作為報酬，她送了你一根羽毛。
10,你的探索小隊遇到了一群神秘的敵人，是否迎戰？（戰鬥失敗會增加探索時間，避戰則無任何獎懲）,,你率領探索小隊的成員戰勝了敵人！|雖然沒能戰勝敵人，但你們安全的撤離了。
11,你的探索小隊遇到了一群神秘的敵人，是否迎戰？（戰鬥失敗會增加探索時間，避戰則無任何獎懲）,,你率領探索小隊的成員戰勝了敵人！|雖然沒能戰勝敵人，但你們安全的撤離了。
12,你的探索小隊遇到了一群神秘的敵人，是否迎戰？（戰鬥失敗會增加探索時間，避戰則無任何獎懲）,,你率領探索小隊的成員戰勝了敵人！|雖然沒能戰勝敵人，但你們安全的撤離了。
13,張飛邀請你去試吃她製作的新菜品，結果你剛吃完一口就暈倒了。醒來後你才知道，原來那道新菜品是專門為少數經常失眠的學妹研發的。,,
14,你在路上偶遇了諸葛亮，便邀請她來和你一起找丟失的物品。但諸葛亮好像還有更重要的事情要做，只是簡單地給了你一個提示後就走掉了。,,
15,你發現扭蛋機增加了新的獎品，但自己已經沒有多餘的資源去抽取扭蛋了。想到這裡，你更加努力地繼續了手裡的工作。,,
16,你想弄清冰和雪的區別，便去詢問鄧艾，結果鄧艾在向你演示的時候不小心把你給凍住了。,,
17,一場宴會上，有人提議把燈關掉，在黑暗中玩組隊搶椅子的遊戲。,加入銀月的隊伍。|加入魏延的隊伍。,大家都說銀月有特殊能力，參加這種比賽對其他人不公平，於是銀月退出了比賽，你們剩下的人最後只獲得了參與獎。|魏延在黑暗中慌亂地揮舞機械臂，把一把道具椅子砸壞了，一隊強敵因為沒有椅子可以搶而被淘汰。最終你所在的隊伍取得了好成績，但豐厚的獎品被主辦者扣除了一大半，用於椅子的修復。
18,你心血來潮想買一份報紙來瞭解一下最近學園裡都發生了些什麽事情。,購買「幽夢新聞報」|購買「絕密100%」,無論是上次幽夢運動會的賽後採訪，還是新聞社針對神威學園銀月的獨家專訪，內容都過於正式且無聊，你發現你最喜歡的版塊還是報紙中縫的「每日笑話三則」。|報紙的內容盡是一些人人皆知的老套傳聞，你只看了一眼標題就不再細看了，跑去圖書館找曹植聊天去，度過了愉快的一天。
19,新一屆的幽夢騎乘大賽向觀眾們開放了接近賽道近距離觀賽的許可。,前往賽程終點觀賽。|前往事故高發路段觀賽。,發現自己中途走錯了路，到了一處人煙稀少的地方，在路邊的石頭上發現了一個太極印記。|站在靠近賽道的地方近距離欣賞夏侯惇和她對手的較量，差點被坐騎對抗時飛濺出的石子打中，嚇出了一身冷汗。
20,受到茶道社的邀請，前去茶道社的社團活動室品茶。,喝一杯紅茶。|喝一杯綠茶。,你一飲而盡，喝完發現自己頭腦發昏，失去意識前你最後一眼看到的是一個手中托著水晶的白色身影。醒來時你發現自己已經回到了宿舍的床上，床頭還有一份包裹，寫著「謝謝試藥」。|魏延在你剛準備喝的時候不知從哪冒出來，把杯子搶走了。作為替代她給了你一杯紅茶。
21,在信箱中收到了一份調查問卷，上面只有一個問題：你喜歡下面哪張牌？,紅桃A。|黑桃K。,你發現信箱中還有一個被調查問卷蓋住的禮物盒，盒子中有一隻帶著皇冠的小熊玩偶。|第二天，你在信箱中發現了一顆插有黑色羽毛的紅蘋果。
22,你的探索小隊遇到了一群神秘的敵人，是否迎戰？（戰鬥失敗會增加探索時間，避戰則無任何獎懲）,,你率領探索小隊的成員戰勝了敵人！|雖然沒能戰勝敵人，但你們安全的撤離了。
23,你的探索小隊遇到了一群神秘的敵人，是否迎戰？（戰鬥失敗會增加探索時間，避戰則無任何獎懲）,,你率領探索小隊的成員戰勝了敵人！|雖然沒能戰勝敵人，但你們安全的撤離了。
24,你的探索小隊遇到了一群神秘的敵人，是否迎戰？（戰鬥失敗會增加探索時間，避戰則無任何獎懲）,,你率領探索小隊的成員戰勝了敵人！|雖然沒能戰勝敵人，但你們安全的撤離了。
25,大喬最近在練習一種她並不精通的樂器，你本來想和她一同練習，但在聽了兩天的噪聲後放棄了。,,
26,你接受了呂布的邀請前往她的房間。本以為她會高談闊論，結果為她讀了整整兩本故事書上的故事……,,
27,張飛邀請你去試吃她製作的新菜品，結果你剛吃完一口就暈倒了。醒來後你才知道，原來那道新菜品是專門為少數經常失眠的學妹研發的。,,
28,你在路上偶遇了諸葛亮，便邀請她來和你一起找丟失的物品。但諸葛亮好像還有更重要的事情要做，只是簡單地給了你一個提示後就走掉了。,,
