id,name
1101,戰士生命率
1201,戰士攻擊率
1301,戰士暴擊
1401,戰士格擋
1501,戰士技能傷害
1601,戰士速度
1701,戰士體質
1801,戰士堅韌
2101,法師生命率
2201,法師攻擊率
2301,法師暴擊
2401,法師精准
2501,法師技能傷害
2601,法師速度
2701,法師體質
2801,法師堅韌
3101,遊俠生命率
3201,遊俠攻擊率
3301,遊俠格擋
3401,遊俠精准
3501,遊俠技能傷害
3601,遊俠速度
3701,遊俠體質
3801,遊俠堅韌
4101,刺客生命率
4201,刺客暴擊傷害
4301,刺客暴擊
4401,刺客破甲
4501,刺客技能傷害
4601,刺客速度
4701,刺客體質
4801,刺客堅韌
5101,牧師生命率
5201,牧師格擋
5301,牧師暴擊
5401,牧師速度
5501,牧師技能傷害
5601,牧師速度
5701,牧師體質
5801,牧師堅韌
10101,對法師傷害增加
10201,對遊俠傷害增加
10301,對刺客傷害增加
10401,對牧師傷害增加
10501,受到法師傷害減少
10601,受到遊俠傷害減少
10701,受到刺客傷害減少
10801,受到牧師傷害減少
11101,對戰士傷害增加
11201,對遊俠傷害增加
11301,對刺客傷害增加
11401,對牧師傷害增加
11501,受到戰士傷害減少
11601,受到遊俠傷害減少
11701,受到刺客傷害減少
11801,受到牧師傷害減少
12101,對戰士傷害增加
12201,對法師傷害增加
12301,對刺客傷害增加
12401,對牧師傷害增加
12501,受到戰士傷害減少
12601,受到法師傷害減少
12701,受到刺客傷害減少
12801,受到牧師傷害減少
13101,對戰士傷害增加
13201,對法師傷害增加
13301,對遊俠傷害增加
13401,對牧師傷害增加
13501,受到戰士傷害減少
13601,受到法師傷害減少
13701,受到遊俠傷害減少
13801,受到牧師傷害減少
14101,對戰士傷害增加
14201,對法師傷害增加
14301,對遊俠傷害增加
14401,對刺客傷害增加
14501,受到戰士傷害減少
14601,受到法師傷害減少
14701,受到遊俠傷害減少
14801,受到刺客傷害減少
