id,name,dialog
1,魏延,亮學姐！！亮學姐早上好~
2,諸葛亮,小延~早上好呀~
3,德古拉,其他人都不在這，我就是這間宿舍的王！
4,曹操,米迦勒去哪了？你不擔心她嗎？
5,路西法,她有自己的意志，我可不需要擔心。
6,巴尼拉,龐統就在那邊，我該和她說些什麼呢？
7,龐統,巴尼拉就在那邊，我該和她說些什麼呢？
8,曹操,喔，我看你這麼無聊，不如我們來猜拳吧！
9,張合,猜拳？好主意，我可不會輸給任何人！石頭、剪子、布……
10,曹操,布！
11,張合,石頭！
12,曹植,本來想找一本書來讀，但這什麼都沒有……難道學長說喜歡讀書是騙我的嗎？
13,魏延1,你是誰？
14,魏延2,你又是誰？長得跟我一模一樣，但卻穿得這麼清涼！
15,魏延,唉，這間宿舍也太簡陋了，真希望能用上稍微暖和一點的被子……
16,魏延,水晶球？我以前還沒見過下雪啊……我可以進去看看嗎？
17,路西法,曹操，你不用來挑撥我們之間的關係！
18,諸葛亮,小延最近心情不錯，早上還向我問好了~不過……
19,華佗,不過她機械臂的運轉情況一直沒有調整到最佳，對吧？
20,華佗,這事我也發現了，你也不用過於擔心，我想問題應該不大。
21,諸葛亮,但願是我多慮了吧……
22,許褚,哼！學長真是的，宿舍裡一點綠色植物都沒有！回頭要好好教訓他一下~
23,張飛,好香的味道！難道是，我最愛吃的那家店！！
24,赤蓮,新，新年是什麼喵？
25,赤蓮,為，為什麼要穿這麼緊的衣服喵？
26,米迦勒,唔，難道，又是加百列這傢夥？早知道，上次就應該直接把她的相機沒收！
27,路西法,哦，這不是米迦勒的海報嘛！不知道是哪個傢夥放在這的，眼光很不錯呀。
28,巴妮拉,原來學長也對童話書感興趣嗎？
29,巴妮拉,好奇怪的故事……女主角和魏延同學好像啊……
30,魏延,童話書？嗯……好有趣的故事啊！
31,銀月,原來，那個傢夥也有打掃房間的習慣嗎？
32,銀月,正好，等下次行動結束，就順路來這裡幫他打掃一下吧。
33,陸遜,不知道學長在做什麼呢？什麼時候可以再抽到我呀……
34,諸葛亮,每次穿上這件衣服，都能讓我回憶起在殿堂裡和學長那一刻……
35,諸葛亮,雖然提前預料到學長所有可能的行動，可在那一刻……真是低估了學長的行動力啊。
36,魏延,今天，魏延也會為了學長努力戰鬥的！
37,千本櫻,櫻的美麗只有一瞬間。但既然能讓那位學長看到，那就不算遺憾吧……
38,方天,大家都還在為正義而戰鬥，為什麼學長要讓我留在這裡呢……
39,曹操,哼，那傢夥又出去戰鬥了嗎？看來我也不能停下腳步啊！
40,貂蟬,下一個假期，該和親愛的去哪裡玩呢？
41,鄧艾,溫暖的感覺，會讓人遲鈍。不過，就在這裡呆一會，也許也不錯……
42,米迦勒,短暫的休息一下吧。要盡快恢復精力，為學長分擔更多職責！
43,路西法,很少有人知道，光明，只不過是黑暗的側面而已。也許，那個學長，也能理解黑暗的美妙……
44,司馬懿,嗯，如果再暗一點就好。不過，既然學長喜歡這裡，我也試著去喜歡好了。
45,德古拉,呵呵，這裡的氣味讓我想起了那個人類。真是很久沒品嘗過這種質量的血液了呢。
46,諸葛亮,不過，偶爾體會一次這種驚喜的感覺，似乎也不錯呢。
47,路西法,憑什麼要讓我去教室和庸才們一起學習？我在宿舍裡一個人就可以做得更好！
