id,text
1,非常不滿意
2,比較不滿意
3,一般般
4,比較滿意
5,非常滿意
6,遊戲論壇
7,facebook
8,瀏覽app應用商店/排行榜發現
9,身邊同學/朋友推薦
10,遊戲網站/媒體
11,line等社交平臺
12,我對二次元文化沒什麼太大的感覺/我不喜歡二次元文化
13,我還算喜歡二次元文化，主要看一些大眾熱門的、經典的作品
14,我比較喜歡二次元文化，有鍾愛的作品類型，看的番也很多
15,我非常喜歡二次元文化，作品廣泛，是特別瞭解這個圈子的資深宅
16,手機遊戲
17,電腦用戶端遊戲
18,電腦網頁遊戲
19,主機遊戲（ps、xbox、switch等）
20,我幾乎不玩其他遊戲
21,放置類
22,回合制rpg（fate/go）
23,動作類（崩壞3）
24,即時策略類（皇室戰爭）
25,射擊類（pubg 手遊，堡壘之夜）
26,mmorpg
27,音樂節奏類
28,2000以下
29,2000-5000
30,5000-20000
31,20000-50000
32,50000以上
33,體驗黨：體驗有趣爽快的操作和玩法
34,收集黨：收集角色、道具、造型、填滿倉庫
35,劇情黨：體驗遊戲中的故事劇情
36,策略黨：通過思考挑戰解決一個個遊戲難題
37,競技黨：追求段位、排名和榮耀
38,養成黨：培養角色不斷成長，陪伴自己
39,休閒黨：放鬆休閒，打發時間
40,社交黨：通過遊戲結識朋友一起玩
41,不知道/隨便玩玩，沒什麼追求
42,聽音樂
43,看漫畫
44,看小說
45,看直播
46,看電視/電影
47,逛二次元相關網站
48,看動畫
49,逛遊戲論壇
50,其他（可填寫）
51,男
52,女
53,16歲以下
54,16-18歲
55,19-22歲
56,23-25歲
57,25歲以上
58,我是學生
59,我已經工作了
60,其他
61,集齊角色
62,升級水晶
63,培養使魔
64,競技上頂樓
65,其他（可填寫）
66,其他
67,不方便透露
68,一個月之內
69,1-3個月
70,3-6個月
71,6-12個月
72,一年以上
73,70-79
74,80-89
75,90-99
76,100-109
77,110-119
78,120以上
79,幾乎每天都玩
80,每週5-6天
81,每週3-4天
82,每週1-2天或更少
83,現實生活中的工作學習
84,在玩其他的遊戲
85,遊戲的可玩內容較少
86,對學妹2的興趣減弱
87,其他（可填寫）
88,很滿意
89,滿意
90,一般
91,不滿意
92,很不滿意
93,新的活動玩法新鮮有趣
94,活動的福利和獎勵豐厚
95,更新了好看的角色造型
96,增加了中意的新角色
97,其他（可填寫）
98,課金量太大
99,活動投入精力太多
100,活動獎勵不夠豐厚
101,新造型不夠精緻
102,新角色不夠吸引人
103,其他（可填寫）
104,沒看劇情，直接跳過
105,粗略地看，有時跳過
106,快速流覽，沒有跳過
107,認真地看，沒有跳過
108,是
109,否
110,對活動玩法沒什麼興趣
111,對活動獎勵沒什麼興趣
112,沒有時間體驗活動
113,活動玩法過於複雜
114,其他（可填寫）
115,是
116,否
117,更加喜歡新版立繪
118,更加喜歡舊版立繪
119,兩個版本的立繪都喜歡
120,兩個版本的立繪都不太喜歡
121,無所謂
122,對活動玩法沒什麼興趣
123,對活動獎勵沒什麼興趣
124,沒有時間體驗活動
125,活動玩法過於複雜
126,其他（可填寫）
127,是
128,否
129,對該玩法沒什麼興趣
130,對獎勵沒什麼興趣
131,玩法規則過於複雜
132,沒有時間體驗
133,其他（可填寫）
134,LINE
135,FACEBOOK
136,Twitter
137,Discord
138,巴哈姆特
139,其他（可填寫）
140,我沒有參加任何社區或群組
141,新的劇情展開
142,新的系列造型
143,多樣的遊戲角色
144,更豐富的活動玩法
145,其他（可填寫）
146,很不滿意
147,不滿意
148,一般
149,滿意
150,很滿意
151,很不同意
152,不同意
153,一般
154,同意
155,很同意
156,一個月之內
157,1-3個月
158,3-6個月
159,6-12個月
160,一年以上
161,非常滿意
162,滿意
163,一般
164,不滿意
165,非常不滿意
166,時間增加了
167,保持不變
168,時間減少了
169,學習和工作較忙
170,在玩其他遊戲
171,對學妹2的興趣減弱
172,對近期的更新內容不滿意
173,培養學妹遇到瓶頸，長時間沒有提升
174,沒有獲得心儀的學妹
175,上頂樓、守護校園等關卡遇到瓶頸，無法突破
176,競技場沒有挑戰性
177,伺服器人數減少
178,其他（可填寫）
179,宿舍
180,學院考核
181,退治小隊
182,資料站
183,商店街改版
184,月度活動
185,其他（可填寫）
186,玩法很好，希望更新更多的家具
187,規則複雜，難以理解
188,操作複雜，想要更方便的擺放
189,想要讓心愛的學妹都住進宿舍，要更多的空間
190,其他（可填寫）
191,很吸引我，正在努力通關中
192,難度過高，突破一關需要很多時間
193,操作不方便，選擇時經常點錯
194,沒有思路，希望能有更多通關攻略
195,還沒有體驗
196,找不到隊友一起組隊
197,玩法很好，沒有什麼問題
198,規則複雜，難以理解
199,總是打一個boss較無聊，可以加入更多的boss
200,還沒有體驗
201,其他（可填寫）
202,太麻煩，懶得組隊
203,好友都有隊伍了
204,要找退治等級一致的隊友太難
205,申請或邀請都沒有回復
206,什麼？還能組隊？
207,整合在一起後反而難找了
208,造型商店不知道哪些可以買
209,很好，期待加入更多的商店
210,沒有體驗過改版前的內容，但是沒什麼問題
211,沒有體驗過改版前的內容，但是不太方便
212,方便很多，不用等每週的活動更新
213,不如之前，少了期待感
214,想要更多的活動形式加入月度活動中
215,活動難度較高，難以完成
216,沒找到月度活動的入口
217,其他（可填寫）
218,很有幫助，能很好的解決我的問題
219,一般，還有改進空間
220,較差，很多內容都不準確
221,還沒有體驗
222,很滿意，我都很喜歡
223,一般，沒什麼感覺
224,不滿意，沒有之前好
225,新角色
226,新造型
227,新功能
228,新活動
229,非常期待
230,期待
231,一般
232,不期待
233,非常不期待
234,非常有趣，增加了玩法的豐富度
235,感覺一般，玩法還有待優化
236,較差，玩法很無聊，理解難度較高
237,還沒有體驗
238,其他（可填寫）
239,非常好，實用性較之前的光環有提升
240,效果一般，不如之前的光環有幫助
241,較差，新光環組合難度較高，且實用性不高
242,還沒有體驗
243,其他（可填寫）
244,非常願意，一定會報名
245,願意
246,一般，如果記得的話會報名
247,不願意，下次不會再報名了
248,感覺一般，無法理解玩法
249,感覺一般，與目前遊戲風格不相符
250,感覺一般，增加了遊戲負擔
251,男
252,女
253,保密
254,18歲以下
255,18-22歲
256,23-25歲
257,26-30歲
258,30歲以上
259,一個月以內
260,一個月以上
261,三個月以上
262,六個月以上
263,一年以上
264,1小時以內
265,介於1到3小時之間
266,介於3到6小時之間
267,6小時以上
268,非常滿意
269,滿意
270,一般
271,不滿意
272,非常不滿意
273,蒸汽祭
274,收藏功能
275,書靈秘境
276,宿舍家具
277,其他(可填寫)
278,蒸汽祭
279,收藏功能
280,書靈秘境
281,好友助戰
282,宿舍家具
283,其他(可填寫)
284,獎勵豐厚，很吸引我
