id,desc,result
1001,把油燈拿起來擦拭一下,「我終於自由啦哈哈哈哈哈哈！」燈裡出現了一個藍色的氣態生物，大笑著飛走了，你的手裡只剩下一個普通的油燈。
1002,跟那個聲音談條件,油燈裡的聲音沉默了一會兒，表示他寧願再等一段時間，之後便不再說話了
2001,試試看能不能進入洞中,很明顯，你的體型太大了，只得作罷。不過似乎把手探進去的時候似乎找到了什麼東西
2002,向洞中扔一顆石子,石子沒入洞中的黑暗，久久沒有傳來聲音，或許這個洞穴深得難以想像
3001,把豌豆種在地裡,豌豆種下後不久便發出了芽，不知道是不是錯覺，長得似乎格外地快？
3002,把豌豆吃掉,你把豌豆一口吃掉，味道很普通，或許煮一下味道會更好
4001,不去理會它,你選擇不理會那個蘋果，查看屋子的其他地方，過了一會兒，再看過去，發現蘋果已經不在了
4002,把蘋果吃掉,你感覺肚子有些難受，隨即便昏了過去……醒來時已經不知道過了多久。
5001,把火柴收起來,你將火柴收了起來，不久後，一位赤腳的少女來向你要回了火柴，並向你道了謝
5002,點燃一根火柴,你點燃了火柴，瞬間，你似乎回到了學園，但火柴熄滅後，才發現這其實只是幻覺
6001,說出食堂的菜品名字嘗試一下,嘗試到某道菜名時，大門緩緩打開，進去後發現洞穴中藏有許多財物
6002,說出醫務室的藥品名字嘗試一下,你嘗試了許多藥名，大門始終紋絲不動，你記不起更多的藥名，只得離開
7001,回頭看一看,你回頭看去沒有發現任何東西，便繼續前進。但似乎無論怎麼走，總是會一次次路過熟悉的場景……
7002,不回頭，繼續往前走,陰冷的風一直在吹，但始終沒有對你造成什麼影響
8001,鏡子鏡子，誰是這個世界上最美麗的人？,「照著鏡子問這種問題的人一定很有自信，但我不忍心打擊你。」鏡子語氣中透著無奈
8002,鏡子鏡子，該怎麼樣才能從這裡出去？,鏡子沒有任何反應，仿佛真的就是一塊普通的鏡子
9001,進去看一看,光是看到這麼多糖果就讓你感覺膩了起來，你很快便離開了小屋，鞋底被糖果弄得黏糊糊的
9002,還是算了吧，甜得有些膩,香甜的氣息在森林中彌漫，你走了很遠才得以擺脫
10001,仔細聽聽他吹的曲子,你聽得入迷，被一顆石子絆倒時才發現，自己不知不覺跟著那個人走了好一段路
10002,沒什麼興趣，還是幹正事去吧,你來到稍遠處後，發現那人領著長長的一隊人，不知道是要去做些什麼
