id,desc,skill_name
101001,上陣的隱蹤學院戰姬攻擊+2%,隱蹤
101002,上陣的隱蹤學院戰姬攻擊+4%,隱蹤
101003,上陣的隱蹤學院戰姬攻擊+7%,隱蹤
101004,上陣的隱蹤學院戰姬攻擊+10%,隱蹤
101005,上陣的隱蹤學院戰姬攻擊+15%,隱蹤
101006,上陣的神威學院戰姬攻擊+2%,神威
101007,上陣的神威學院戰姬攻擊+4%,神威
101008,上陣的神威學院戰姬攻擊+7%,神威
101009,上陣的神威學院戰姬攻擊+10%,神威
101010,上陣的神威學院戰姬攻擊+15%,神威
101011,上陣的風見學院戰姬攻擊+2%,風見
101012,上陣的風見學院戰姬攻擊+4%,風見
101013,上陣的風見學院戰姬攻擊+7%,風見
101014,上陣的風見學院戰姬攻擊+10%,風見
101015,上陣的風見學院戰姬攻擊+15%,風見
101016,上陣的曇華學院戰姬攻擊+2%,曇華
101017,上陣的曇華學院戰姬攻擊+4%,曇華
101018,上陣的曇華學院戰姬攻擊+7%,曇華
101019,上陣的曇華學院戰姬攻擊+10%,曇華
101020,上陣的曇華學院戰姬攻擊+15%,曇華
101021,上陣的修羅學院戰姬攻擊+2%,修羅
101022,上陣的修羅學院戰姬攻擊+4%,修羅
101023,上陣的修羅學院戰姬攻擊+7%,修羅
101024,上陣的修羅學院戰姬攻擊+10%,修羅
101025,上陣的修羅學院戰姬攻擊+15%,修羅
101026,上陣的辰星學院戰姬攻擊+2%,辰星
101027,上陣的辰星學院戰姬攻擊+4%,辰星
101028,上陣的辰星學院戰姬攻擊+7%,辰星
101029,上陣的辰星學院戰姬攻擊+10%,辰星
101030,上陣的辰星學院戰姬攻擊+15%,辰星
101031,上陣的所有戰姬攻擊+1%,攻擊
101032,上陣的所有戰姬攻擊+2%,攻擊
101033,上陣的所有戰姬攻擊+3%,攻擊
101034,上陣的所有戰姬攻擊+5%,攻擊
101035,上陣的所有戰姬生命+1%,生命
101036,上陣的所有戰姬生命+2%,生命
101037,上陣的所有戰姬生命+3%,生命
101038,上陣的所有戰姬生命+5%,生命
101039,上陣戰姬全傷害減免+1%,減免
101040,上陣戰姬全傷害減免+2%,減免
101041,上陣戰姬全傷害減免+3%,減免
101042,"上陣戰姬全傷害減免+4%,全傷害增加+2%",減免
101043,前排戰姬的護甲+1%,前排
101044,前排戰姬的護甲+2%,前排
101045,前排戰姬的護甲+3%,前排
101046,前排戰姬的護甲+4%，減傷率+2%,前排
101047,前排戰姬的護甲+5%，減傷率+5%,前排
101048,後排戰姬的攻擊+1%,後排
101049,後排戰姬的攻擊+2%,後排
101050,後排戰姬的攻擊+3%,後排
101051,後排戰姬的攻擊+4%，精准+2%,後排
101052,後排戰姬的攻擊+5%，精准+5%,後排
101053,上陣戰姬暴擊+1%,暴擊1
101054,上陣戰姬暴擊+2%,暴擊1
101055,上陣戰姬暴擊+3%,暴擊1
101056,上陣戰姬暴擊+5%，暴擊抗性+5%,暴擊1
101057,我方戰姬普攻傷害+1%,普攻
101058,我方戰姬普攻傷害+2%,普攻
101059,我方戰姬普攻傷害+3%,普攻
101060,我方戰姬普攻傷害+4%，並有20%機率進行一次額外普攻,普攻
101061,我方戰姬普攻傷害+5%，並有50%機率進行一次額外普攻,普攻
101062,我方戰姬技能傷害率+1%,技能
101063,我方戰姬技能傷害率+2%,技能
101064,我方戰姬技能傷害率+3%,技能
101065,我方戰姬技能傷害率+4%，並有15%機率再次釋放技能,技能
101066,我方戰姬技能傷害率+5%，並有30%機率再次釋放技能,技能
101067,上陣戰姬暴擊+1%,暴擊2
101068,上陣戰姬暴擊+2%,暴擊2
101069,上陣戰姬暴擊+3%,暴擊2
101070,上陣戰姬暴擊+5%，暴擊傷害+10%,暴擊2
101071,敵方全體護甲-1%,減防
101072,敵方全體護甲-2%,減防
101073,敵方全體護甲-3%,減防
101074,敵方全體護甲-4%，格擋-2%,減防
101075,敵方全體護甲-5%，格擋-5%,減防
101076,戰鬥開始時，所有敵人受到隨機持續傷害100000點，持續1回合,持續傷害
101077,戰鬥開始時，所有敵人受到隨機持續傷害300000點，持續2回合,持續傷害
101078,戰鬥開始時，所有敵人受到隨機持續傷害500000點，持續3回合,持續傷害
101079,戰鬥開始時，所有敵人受到隨機持續傷害700000點，持續4回合,持續傷害
101080,戰鬥開始時，所有敵人受到隨機持續傷害1000000點，持續5回合,持續傷害
101081,戰鬥開始時，隨機1個敵人有30%機率受到隨機控制效果，持續1回合,控制
101082,戰鬥開始時，隨機1個敵人有50%機率受到隨機控制效果，持續1回合,控制
101083,戰鬥開始時，隨機1個敵人有70%機率受到隨機控制效果，持續1回合,控制
101084,戰鬥開始時，隨機1個敵人有100%機率受到隨機控制效果，持續1回合,控制
101085,戰鬥開始時，隨機1個敵人有100%機率受到隨機控制效果，持續2回合,控制
101086,敵人受到的所有傷害增加1%,增傷1
101087,敵人受到的所有傷害增加3%,增傷1
101088,敵人受到的所有傷害增加5%,增傷1
101089,敵人受到持續傷害（流血、中毒、燃燒）增加10%,增傷2
101090,敵人受到持續傷害（流血、中毒、燃燒）增加20%,增傷2
101091,敵人受到持續傷害（流血、中毒、燃燒）增加30%,增傷2
101092,我方戰姬對受到控制（冰凍、石化、眩暈）的敵人傷害+10%,增傷3
101093,我方戰姬對受到控制（冰凍、石化、眩暈）的敵人傷害+20%,增傷3
101094,我方戰姬對受到控制（冰凍、石化、眩暈）的敵人傷害+30%,增傷3
101095,我方戰姬受到傷害時，單次傷害不可超過其生命上限的30%,承傷
101096,我方戰姬受到傷害時，單次傷害不可超過其生命上限的28%,承傷
101097,我方戰姬受到傷害時，單次傷害不可超過其生命上限的26%,承傷
101098,我方戰姬受到傷害時，單次傷害不可超過其生命上限的24%,承傷
101099,我方戰姬受到傷害時，單次傷害不可超過其生命上限的20%,承傷
101100,上陣戰姬初始能量+10,初始能量
101101,上陣戰姬初始能量+20,初始能量
101102,上陣戰姬初始能量+30,初始能量
101103,上陣戰姬初始能量+40,初始能量
101104,上陣戰姬初始能量+50,初始能量
101105,我方前2個受到致命傷害的戰姬，回復自身20%血量,回復
101106,我方前2個受到致命傷害的戰姬，回復自身30%血量,回復
101107,我方前2個受到致命傷害的戰姬，回復自身40%血量,回復
101108,釋放主動技能時，有10%機率增加己方全體戰姬10點能量,增加能量
101109,釋放主動技能時，有20%機率增加己方全體戰姬10點能量,增加能量
101110,釋放主動技能時，有30%機率增加己方全體戰姬10點能量,增加能量
