id,name,dialog,click_dialog1,click_dialog2,click_dialog3,click_dialog4,click_dialog5,battle_dialog,skill_dialog,cv_name,love_gift_dialog1,love_gift_dialog2,love_gift_dialog3,vow_dialog,login_dialog,lvlup_dialog,gradeup_dialog,shengxue_dialog,awake_dialog,equip_dialog1,equip_dialog2,hangteam_dialog,house_set_dialog,house_dialog,idle_dialog,dagong_dialog,daily_mission_dialog,new_stage_dialog,victory_dialog,failed_dialog,love_point_dialog1,love_point_dialog2,love_point_dialog3,love_point_dialog4
11001,廖化,直行、轉彎、加速衝刺和減速…滑雪的技巧我全部掌握呢！主人~一起來享受飛翔的樂趣吧~,滑雪真刺激啊！沒滑過雪的人生肯定是不完整的呢！,咻~咻！我可是能滑得比風還快喔~,快點滑！快點滑~要雪崩啦~我們來和雪崩賽跑吧~,我先去前面等你啦~你要趕緊追趕上來哦~,冬天真好呢~大家都可以盡情享受滑雪啊！,來點刺激的事情吧~,冰雪守護！,愛原ありさ,這種東西誰會喜歡啊，笨蛋~,給我的禮物？謝謝~放在那邊的休息區，然後來和我一起滑雪吧~,剛剛我在滑雪時就看到你手上的這個東西了。原來這是給我的禮物嗎？謝謝你~我很喜歡~,以我們身後的雪山為誓，今後我們的命運就被捆在同一塊板上了！,歡迎回來，學長！,謝謝學長！,我的滑雪板可是什麼地形都能適應的！,填充,填充,下次更新裝備的時候，能不能給我一塊新的滑雪板呢？,穿著這套裝備滑雪？也是一種全新的體驗呢！,要我教你滑雪嗎？體驗一次，一定不會後悔的！,呵，在這小房間裡呆著不如跟我去滑雪吧！,喲！快來看看我新買的滑雪板！,運動完很累了吧~好好休息,一起去打工嗎？拿了工錢就能買新的滑雪裝備了！,記得領任務獎勵呀！,滑雪的時候也別忘了關注學院裡的新動向啊！,放輕鬆！一切都會順利的！,唔，絆到自己了……,填充,填充,填充,填充
11002,阮籍,能讓我膝枕嗎？好睏啊，這裡也沒有床…這樣躺著…好舒服…啊~主人，能一直這樣嗎？,好睏喔~已經早上了？咦？已經中午了嗎？,睡吧~睡吧~快睡吧~,吃午餐的時候再叫我吧！,床和被子，還有抱枕~都是我身體的一部分唷~,睡鼠嗎…好像在哪裡有聽過，是在哪呢，呼、呼……啊，又睡著了。,要睜不開眼了唔唔…,睏死了…啦！,花澤香菜,別……別打擾我睡覺……,唔……禮物嗎……謝謝了……放在這邊吧~,哦~哦~謝謝你的禮物！有了這東西我就能更舒適的睡覺了~你也一起躺下吧，睡覺是一件很享受的事哦！,我做了個甜甜的夢，夢到主人抱著我，我穿著白紗……誒？原來不是夢嗎！,歡迎回來，主人~,別，別給我灌了~喝不下了~呼~ZZZ,突然覺得更困了……,填充,填充,啊，這裝備好硬，睡覺會磕到……,是軟軟的衣服……呼……啊，不小心枕著睡著了~,哪裡都好，讓我趴一會……,有床……,呼……呼……啊，你回來了,沒什麼事的話，我先睡一會去了……,主人你先去打工吧，我睡一會就來……,主人你快去領任務獎勵……我先睡一會……,學園裡……好吵……大概發生了什麼事吧……,啊，感覺能好好睡一覺了~,做了個噩夢……好可怕……,填充,填充,填充,填充
11003,王平,想這樣一直一直到永遠都被這樣看著，只看著我一個，只看到我一個。,礙事的人全部都要幹掉！全部，全部，全部！,這個世界上只要有你就夠了！其他全部都毀滅吧！,那傢伙已經不在囉。因為那傢伙，想要接近你呢。,吶~永遠在一起吧！！,主人~沒關係的唷，只要有我在，絕對不會讓主人受傷的！,就讓你沒有痛苦的走吧。,毀滅吧！,西川舞,我不需要~,禮物？希望你只送給過我哦~,給我這個？那個也是我的？你也是我的~,想要阻止我們在一起的傢夥，已經一個都不存在了！以後也一個都不會再增加！,你終於回來了呢~我的主人！呵呵呵~,給我，更多！,讓我拿一把更大的刀來~,填充,填充,呐，這是只有我才有的吧！只有我吧！,有了這身裝備，礙事的傢夥都能去除了！,可以獨佔主人了~呵呵呵呵~,我會在這裡等你的~,你終於回來了！我的主人！,啊！主人在我的腿上睡著了，多麼美妙的時刻，要是能永遠持續下去就好了！,主人，打工的時候可不許對別的學妹東張西望的喲~,主人的任務獎勵還沒有領。,學園裡發生多大的事都不能打擾我和主人相處的時光！,主人，要給我獎勵呀~,不，不該是這樣的結果……,填充,填充,填充,填充
12001,曹洪,主人，這裡是今日出門時的衣物。早飯也已經準備好了。牙刷和牙膏在這裡。其他還有什麼需要的嗎？,主人！才沒有……特別服務那種東西呢。,曹洪的生存意義，就是為了主人竭盡全力。,主人，要怎麼處理這個人呢……是要讓他的手再也不能用嗎？還是要讓他再也看不見東西呢？,只要是主人所期望的，本人曹洪，絕對會實現主人的願望！,我並不是沒有自己的意願，但是，主人才是最應該優先考慮的。,這是主人的命令。,給我過來！,水瀬いのり,嗯，主人……你就這麼討厭我嗎？,主人，這東西你忘記帶上了~嗯？給我的禮物？,這麼貴重的物品，我真的可以收下嗎？,主人，你這是……我明白了，既然這是您的心意，我就滿懷感激的接受吧，今後請讓我時刻相伴左右。,歡迎回來，主人！,比起我，先把經驗飲料給更需要的姐姐們吧~,希望能為主人做到更多的事情~,填充,填充,我穿女僕裝就好啦~誒？是主人想看嗎？那好，我這就去換上~,主人今天又想看我穿什麼呢？,主人要去散步嗎？請讓我同行吧。,是要打掃這件房間對嗎？我立即照辦~,我已經把房間收拾乾淨了，您還有什麼吩咐嗎？,床鋪已經準備好了，要是您覺得疲勞的話，我送您回去休息吧~,打工的時間到了哦~雖然由我代勞也是可以的，但既然主人您興致勃勃，我就不多此一舉了~,請不要忘記您的任務獎勵~,學園裡有新的事件發生，您要是打算去處理的話，請讓我一同前往。,不愧是主人，取得勝利真是輕而易舉！,主人你先撤退，敵人由我來拖住~,填充,填充,填充,填充
12002,紀靈,我會是你最強的盾牌，為你阻擋一切攻擊。但如果是你的心靈遭受到的攻擊…我是…無能為力的…,嗯？想要試試看能不能破壞這面盾牌？請吧…想怎麼試都可以的…,人心既有如玻璃一樣脆弱的時候，也有與鋼鐵一般堅硬的時候呢…真是不可思議呢~,隨著攻擊的屬性而變換防禦的特性。這都是科技的結晶。,盾……為了守護自己，可是心……要怎麼守護。,一直都是我在守護，何時能有人守護我呢？,護盾！展開！,為守護而戰！,神山裕紀,沒興趣~,禮物？謝謝~,唔~不好，我的心快被主人攻陷了…,即使是盾也不能覆蓋到所有的地方，所以我最脆弱的後背就交給你了，主人~,無事安好就最好了，主人~,……防禦力提升~,為了擋住更猛烈的攻勢，我的盾還需要更堅硬！,填充,填充,這衣服看上去不是很牢固的樣子~,請把最厚的盔甲給我~,讓我站在最前面吧，這是我生來的使命~,紀靈在此待命！,主人我什麼時候可以出陣？,像這樣靜靜地守著你，心裡就會有一絲溫暖的感覺，這是什麼情感呢，主人？,主人，你該去打工了。,任務獎勵，還沒有領取。,學園裡發生的新事件需要主人去處理，我也會祝你一臂之力的。,你們休想打倒我！,即使盾破，也會以此身守護背後的人們~,填充,填充,填充,填充
12003,韓當,主人的維生素不足了嗎？那就讓我來幫您補充營養吧！現在這個季節的荔枝是最美味的唷！要不要嘗嘗看呀？,最美味的果實不一定是長在最高的地方喔！人類不也是這樣嗎？,藍莓真的很優雅呢。要嘗一口嗎？我最喜歡的還是做成優格唷，主人呢？,蘋果在冬天是最甜的，也許只是心情的問題吧！但是看到那散發著光芒的紅色，就會感覺特別開心呢！,這個還沒有熟透呢。絕對不能偷吃喔！沒有在最美味的時候吃就太可惜了。,自己摘的東西果然特別美味呢~,去摘果實吧~,要嘗嘗榴槤的滋味嗎？,佐藤あずさ,果然，我還是更喜歡新鮮的東西啊~,謝謝你~,這件禮物真是太棒了，我很喜歡~謝謝主人~,喜歡水果的你一定也是個好人……呀，能和這樣的人在一起吃水果，那可真是雙份的喜悅呢~,歡迎回來，主人，要吃蘋果嗎？,你給我喝飲料，那我就請你吃水果~,變得厲害以後，就可以直接跳上樹梢摘水果了！,填充,填充,真是件好看的衣服呀，謝謝你！,總是給我新衣服真是謝謝你啦！作為回禮，這籃水果給你！都是我剛剛挑選過的~,你要陪我到果園去看看嗎？,主人的房間真大呀~,我洗了蘋果放在桌上，你自己拿呀~,你先睡一會會，我給你洗個水果去哦~,該去打工啦~,任務獎勵記得領呀~,啊，學園裡發生了騷動，我得去看看我的果園還好不好……主人也趕緊去把騷動處理掉吧！,就算是水果也會生氣的啦~,嗚嗚嗚……水果籃子被打翻了……,填充,填充,填充,填充
13001,凌統,滋滋！跳躍成功！時空機器人，代號C204，來自2036年，請輸入您的指令！,『按摩』？對不起，我不能理解這個命令。,『穿越時空』？對不起，你沒有那個許可權。,電力不足了，Master，請盡快充電。,『Error』！『Error』！執行命令出錯，請重新輸入命令！,『感情』未設置相關程式。操作失敗。,啟動攻擊程式。,執行程式。,茅原實里,『Error』！『禮物』難以接受！,『禮物』，感謝！,『Error』！動力源溫度過高！警告！主人，你的『禮物』，給我一種……奇怪的，以前從未有過的感覺……,有關我自己的所有系統操作都記錄在了晶片中，Master的努力我都知道的。謝謝你，今後也請多多關照了。,歡迎回來，Master！,系統升級。,數據處理速度提升。,填充,填充,新程式載入完成。,『Error』！無法搭載大型攻擊型武器。,指令接收完成，出擊。,判斷到達預計地點，開始執行『待機』命令。,你好，Master。,當前未完成指令數量：0，請輸入新指令。,嘟嘟嘟，這是預設事項提醒，事項名：打工。,嘟嘟嘟，這是預設事項提醒，事項名：領取任務獎勵。,檢測到操場能量波動劇烈，是否立即啟動學園防禦程式？,目標已被清除。,機體受損，判斷當前獲勝機率為1%。,填充,填充,填充,填充
13002,萬聖女巫,嘿嘿嘿！不給糖就搗蛋！主人，不給我糖果的話，我就要搗亂啦！,弗蘭肯和德古拉，魔女和狼人，喪屍和骸骨……啊啊！萬聖節是明天啦！不要出來亂跑啦！,大家看好我的帽子喔~想要我變出什麼呢？什麼都可以變出來唷！,害怕的話，一起躲到床下面吧！,主~人！我忘了帶禮物來了。所以，我把自己當做禮物送給你！開玩笑的啦！,你想試試魔法的掃帚嗎？要保持平衡的話有點難吧？,來吧！一起玩吧！,我來搗亂啦~！,松浦チエ,喂！不給糖就算了，你這是什麽意思啊？,謝謝禮物~,萬聖節快樂~最喜歡主人了~,雖然很喜歡萬聖節，但是要說真正的願望的話，還是希望能住進某個人的心裡呢~,不給糖，就搗蛋！,我需要更多的糖果~,雖然平時沒什麽存在感，但我也是在一直努力的喔！,填充,填充,這武器我應該用不上吧？,想要一根新的法杖……,那個，敵人們會過萬聖節嗎？,我就把收到的糖果都藏到床底下吧~,你終於來了啊~今天份的糖果，有記得帶上嗎？,雖然在這裡睡著有些奇怪，但還是祝你有個好夢吧~,我可沒辦法幫你去打工，自己的事自己做好喔！,今天的任務獎勵是，糖果！哈哈，我開玩笑的啦！,別忘了去看看我昨天說的那個詭異的教室喔~就在那棟廢棄的教學樓裡啦！,沒有人能在我的節日裡擊敗我~,今天……不是萬聖節啊……,填充,填充,填充,填充
13003,馬雲祿,你的恨意傳達給了我呢，那麼強烈的混濁的靈魂~挺有意思的呢~來吧，說說你要詛咒的人。,我所繼承的是…魔女之力和詛咒……永遠怨恨人類的詛咒。,從出生到現在…我從來就沒有感受過…溫暖...,在離開了所有人之後，我發現一切都變得如此自由、輕鬆。,我不明白，人類為什麼要聚在一起……弱小才會群聚不是嗎？,沙漠啊~這可是我的第二個家呢。,感受到怨恨了嗎？這深深的怨念之力。,詛咒你。,濱口綾乃,這個東西……會減弱詛咒之力的！,這是……給我的嗎？,用這個可以更好地發揮出力量呢~謝謝~,或許我會因此失去怨恨之力，但我不會對此感到恐懼，因為我知道，我不再是孤獨的一個人。,歡迎回來~學長~,恨意越來越強烈，我的力量在不斷提升！,我會繼續一個人活下去！,填充,填充,如你所願。,你就好好看著，這力量是如何使用的吧！,他們就是你的目標嗎？,關上門和窗戶，可不能讓風吹散了沙坑裡的沙子。,學長，你這次，是又要跟我說什麽嗎？,學長也不知道幹什麽去了，半天都沒見到人影。不過這樣也好，還是一個人比較輕鬆。,快去打工，別在這跟我廢話了~,我在想，不提醒你去領取獎勵是不是更好，這樣，沒准你也能生出些許怨恨呢？,好久沒在學園裡感受到這麼強大的怨恨了，你要去看看嗎？估計是有大事發生喔！,失敗者的恨意充斥在整個戰場！,終於，輪到我的失敗了嗎？但我的內心，似乎沒有怨恨啊……,填充,填充,填充,填充
14001,管輅,主人，貴安。我是管輅。如果遇到什麼問題的話，請不用見外，儘管來找我呢。,大吉嗎，真不錯呢~今年肯定是一帆風順的一年。,貴安，可以的話，請您也去本殿那參拜呢。,請問您是想求愛情？財運？還是健康呢？我這裡都可以求哦~,心誠則靈，來~默念您的心願~,左慈現在在哪裡、又在做些什麼呢……一個人在神社的時候，也有點想念她呢……,來吧，讓我看看你的本事吧！,讓我看看，你的未來吧！,村田遥,你……你怎麼能這樣……,這是我為你搖籤的謝禮嗎？感謝。,謝謝你的禮物~請讓我為你求一支情籤吧，很靈驗的哦~,搖籤的結果不過是展示了一種可能，而我，想成為你那隻情籤的那個可能~我想要一直陪伴在你的身邊，可以嗎？,歡迎回來，今天也是吉利的一天呢~,明天也一定會是吉運呢~,原來如此~,填充,填充,這套衣服，還挺適合我的嘛~,別忘了帶上這個護符喔~,就算是大吉，也不能過於張狂惹事喔~,要是能加一套茶具在宿舍裡就好了……,這麼急匆匆的來此，你是有事相求嗎？,嗯，靜下心來思考可是如今這聒噪的生活中很寶貴的能力！誒，只是單純的睡著了嗎？,我記得，你今天是有打工的喔，還有空來我這聊天嗎？,籤是一種可能性預示，也是一種提醒，但無論什麽，都叫不醒裝睡的人。,那邊很吵鬧喔，是左慈回來了嗎？我要去看看，你也一起來吧~,勝利是早已預料到的事情，請不要驕傲喔~,有什麽事情改變了今日的運勢，請先撤退！,填充,填充,填充,填充
