id,fort_id,name,tips_dialog
1,1,,
2,1,,
3,1,開學典禮,學長，請注意時間喔，開學典禮快開始了！
4,1,迎新,學長，你走路也小心一點啦！|是我不好……你沒有受傷吧，學長？
5,1,神威學院,學長，分院考核……是什麼呢？
6,1,風見學院,魏延同學，聽學長說他建議你去風見學院喔~|誒，是嗎，學長？風見學院的考核場地就在前面了？
7,1,辰星學院,我等你們半天了，還以為你們在風見學院那邊遇到困難了呢……
8,1,曇華學院的精靈,接下來，是去諸葛亮學姐負責的學院考核現場了嗎？
9,1,修羅學院的黑翼天使,誒，修羅學院……聽上去有些可怕啊……|哈哈，沒事的，魏延同學，其實路西法她人挺好的喔~
10,1,隱蹤學院,吸血鬼？那不就和剛剛的修羅學院沒啥區別嘛……
11,1,晚餐,學長，辛苦了一天了，我們去吃晚餐吧~
12,1,意外騷動,學長？學長？！那邊的學生，有什麼不對勁的地方嗎？
13,2,女子宿舍,校園裡似乎發生了什麼事情，學長快過去看看吧！
14,2,遲到,校園裡似乎發生了什麼事情，學長快過去看看吧！
15,2,炒麵麵包,校園裡似乎發生了什麼事情，學長快過去看看吧！
16,2,友情！努力！勝利！,校園裡似乎發生了什麼事情，學長快過去看看吧！
17,2,糟糕的文學社,校園裡似乎發生了什麼事情，學長快過去看看吧！
18,2,茶道,校園裡似乎發生了什麼事情，學長快過去看看吧！
19,2,學生會,校園裡似乎發生了什麼事情，學長快過去看看吧！
20,2,SHINING BAND,校園裡似乎發生了什麼事情，學長快過去看看吧！
21,2,異變,校園裡似乎發生了什麼事情，學長快過去看看吧！
22,2,路西法,校園裡似乎發生了什麼事情，學長快過去看看吧！
23,3,風紀委員會,校園裡似乎發生了什麼事情，學長快過去看看吧！
24,3,調查,校園裡似乎發生了什麼事情，學長快過去看看吧！
25,3,重返現場,校園裡似乎發生了什麼事情，學長快過去看看吧！
26,3,混沌體徵,校園裡似乎發生了什麼事情，學長快過去看看吧！
27,3,赤月,校園裡似乎發生了什麼事情，學長快過去看看吧！
28,3,暗夜君王,校園裡似乎發生了什麼事情，學長快過去看看吧！
29,3,危境,校園裡似乎發生了什麼事情，學長快過去看看吧！
30,3,不可抗拒,校園裡似乎發生了什麼事情，學長快過去看看吧！
31,3,墮落羽翼,校園裡似乎發生了什麼事情，學長快過去看看吧！
32,3,混沌加劇,校園裡似乎發生了什麼事情，學長快過去看看吧！
33,4,幽夢,校園裡似乎發生了什麼事情，學長快過去看看吧！
34,4,煙火少女,校園裡似乎發生了什麼事情，學長快過去看看吧！
35,4,小小的心願,校園裡似乎發生了什麼事情，學長快過去看看吧！
36,4,街區大作戰,校園裡似乎發生了什麼事情，學長快過去看看吧！
37,4,Defender,校園裡似乎發生了什麼事情，學長快過去看看吧！
38,4,絢爛的夜空,校園裡似乎發生了什麼事情，學長快過去看看吧！
39,4,畢業,校園裡似乎發生了什麼事情，學長快過去看看吧！
40,4,奇怪的照片,校園裡似乎發生了什麼事情，學長快過去看看吧！
41,4,陽光與陰影,校園裡似乎發生了什麼事情，學長快過去看看吧！
42,4,DEF戰線,校園裡似乎發生了什麼事情，學長快過去看看吧！
43,5,異能練習,校園裡似乎發生了什麼事情，學長快過去看看吧！
44,5,逃避可恥還沒有用,校園裡似乎發生了什麼事情，學長快過去看看吧！
45,5,攪局者,校園裡似乎發生了什麼事情，學長快過去看看吧！
46,5,異能考核初階,校園裡似乎發生了什麼事情，學長快過去看看吧！
47,5,挑戰者,校園裡似乎發生了什麼事情，學長快過去看看吧！
48,5,異能考核中階,校園裡似乎發生了什麼事情，學長快過去看看吧！
49,5,貓鼠遊戲,校園裡似乎發生了什麼事情，學長快過去看看吧！
50,5,怪力少女,校園裡似乎發生了什麼事情，學長快過去看看吧！
51,5,異能最終考核,校園裡似乎發生了什麼事情，學長快過去看看吧！
52,5,意外的真相,校園裡似乎發生了什麼事情，學長快過去看看吧！
53,6,開端,校園裡似乎發生了什麼事情，學長快過去看看吧！
54,6,中華料理,校園裡似乎發生了什麼事情，學長快過去看看吧！
55,6,綺麗之屋,校園裡似乎發生了什麼事情，學長快過去看看吧！
56,6,再一次的占卜,校園裡似乎發生了什麼事情，學長快過去看看吧！
57,6,黑色的霧,校園裡似乎發生了什麼事情，學長快過去看看吧！
58,6,圍困校園,校園裡似乎發生了什麼事情，學長快過去看看吧！
59,6,夜影奔襲,校園裡似乎發生了什麼事情，學長快過去看看吧！
60,6,淪陷的風紀委員會,校園裡似乎發生了什麼事情，學長快過去看看吧！
61,6,織田信長,校園裡似乎發生了什麼事情，學長快過去看看吧！
62,6,黑夜中盛開的花,校園裡似乎發生了什麼事情，學長快過去看看吧！
63,7,直接衝突,校園裡似乎發生了什麼事情，學長快過去看看吧！
64,7,黑石,校園裡似乎發生了什麼事情，學長快過去看看吧！
