id,name,react_right,react_wrong
1,陸遜,加油哦，主人一定可以答對所有題目的！,嗯，我感受到了，主人離正確答案已經很近了！
2,坂本龍馬,切……可惡！我賭的可是你會答錯啊！那可是我這個月的伙食費啊！,答錯了？哈哈哈，別灰心嘛。你問我為什麼這麼開心？別在意別在意……
3,曹植,學長知道的真多啊，相信很快就可以超過我吧。,這個問題，我記得學園裡有個地方可以找到線索……
4,貂蟬,學長真是努力啊，這麼想要得到我準備的禮物嗎？,可惜！為什麼學長還沒拿到那件……啊，不用急，學長已經夠努力了。
5,曹操,勝者才能決定是非對錯。想要改變這一切，就去奪得最終勝利吧！,不會到此為止了吧？可不要隱藏實力哦！
6,銀月,做的不錯，收下學妹們準備的獎勵吧，這是你應得的。,沮喪有什麼用？如果想超越我，就去為下次機會做準備吧。
7,阿帕忒,碰巧猜對了嗎？離超越我還早著呢！,想知道答案？來求我吧！也許我會告訴你正確答案哦~
8,以掃&雅各,[c][125db3]以掃：[-][/c]哇，學長就快超越我們啦，得想想辦法……\n[c][800d0d]雅各：[-][/c]學長加油！,[c][125db3]以掃：[-][/c]實在不明白的話，可以來求我哦。\n[c][800d0d]雅各：[-][/c]其實姐姐也不會啦。
9,伊邪那美,學長懂得真多啊，能拜託您幫我尋找一個人嗎？,看樣子，還是我自己去找她吧……
10,路西法,居然能夠答出這道題，看來學園裡出現了人才啊。,失誤？不過是在為無知找藉口吧。
11,郭嘉,學長，好耀眼啊……,學長的表情，像幽靈一樣。
12,呂布,不是所有人都有資格探索世界的真理。不過，看來你已經做好準備了。,還差一小步嗎？別灰心，為下次機會做準備吧。
13,皮皮洛,快點答完，然後帶皮皮洛出去玩吧！,咦，又答錯了？好為難呀……乾脆讓皮皮洛幫你把題目改掉吧！
14,魏延,這題好難啊……學長，能讓我看看你的答案嗎？,嗚……連學長也不會嗎？
15,稀風,學長這麼聰明，答對這種題目沒什麼好驕傲的啦！,學長，別為難我了，你再怎麼看我，我也沒法給你正確答案的。
16,織田信長,繼續前進吧，直到超越我，達到最巔峰的地方。,打起精神。榮辱與否，在此一搏了！
17,黃月英,哇，巴魯快看，學長又答對一題啦！,這題……要不我幫你問問巴魯？
18,圖靈,正在智慧搜尋中……耗時3秒，查詢到答案！咦，學長你已經答出來了嗎？,要請我幫忙搜尋答案嗎？我可是這套系統的設計者哦！
19,田豐,學長好棒，獎勵學長可愛的蘑菇……咦？不是說我啦！,不要心急，一起坐下來喝杯茶吧。
20,凱茜,作為獎勵，耳朵可以給你摸一下，只能一次。,暫時的休息後，還要重新振作起來。
21,呂蒙,嗚嗚嗚，學長居然答對了，我的干擾完全沒派上用場。,嘿嘿嘿，學長準備好了嗎？搔癢癢懲罰——開始！
22,槲寄生,聽到了嗎，是風的聲音，森林在為你慶賀。,我的禮物，還沒能送出去……
23,諸葛亮,看來學長不用我督促也沒有偷懶呢，收下準備好的獎勵吧。,學長需要學習的還有很多，我會為你制定更嚴格的計畫。
24,克瑞絲,偷偷變成水晶藏進禮物盒裡……被發現了！,偷偷用水晶的力量幫助學長的話，不會被抓到吧？
25,龐統,回答錯誤！……原來是我記錯答案了，嘿嘿，獎勵給你。,唉呀，好可惜。需不需要我幫你靈活性變通一下？
26,水鏡,如果獎勵是奶油布丁的話，能不能分我一口？,快加油答題，再錯下去就只剩巧克力蛋糕了。
27,后羿,很好，就這樣一口氣答完，嫦娥已經準備好團子在等我們了。,題目要自己做，我是不能給你透露答案的──求我也不行！
28,加百列,居然都答對了，我會在下一期報紙上留給你最大的那一版的！,噓~趁著米迦勒大人不在，學長你趕緊看一眼答案。
29,華佗,想要什麼獎勵呢？一個姐姐的擁抱怎麼樣~,是昨晚沒有睡好嗎，姐姐的麻沸散可以讓你做個好夢哦~
30,米迦勒,回答正確，我的筆記有派上用場嗎？,我昨晚給學長的筆記上有看到這題，快想想。
