id,fort_name,fort_name2,name,description,skill
1,龐統·重生炎姬,龐統·重生炎姬,特種後援隊，出發！,雅塔之戰後，『幽夢』依舊佔據著巨大的優勢，將陣地推向混沌軍團的最後一道防線。作為後方支援的編隊風部指揮官，派遣以龐統為首的後援特種部隊前去支援。,
2,龐統·重生炎姬,龐統·重生炎姬,恐懼形骸,龐統前往支援路上，遭遇混沌軍團襲擊。事發突然，混沌軍團利用傳送異能從特徵點湧入，後方支援陣營遭到嚴重破壞。龐統帶隊前往封鎖特徵點時，發覺同時運送過來的，還有在這次戰爭中貢獻了可怕力量的『恐懼形骸』。,
3,龐統·重生炎姬,龐統·重生炎姬,匯合,龐統等人在退回後方指揮部的路上，看到混沌軍團正在圍攻指揮部，龐統殺出一條血路趕往指揮部支援總指揮。在於基地指揮官匯合後，敵軍的黑暗騎士出現。,
4,龐統·重生炎姬,龐統·重生炎姬,黑暗騎士,黑暗騎士揮舞著手中的長劍，倡狂地宣告『結束了~』，點爆身邊的『恐懼形骸』。可怕的混沌力量籠罩了整個女武神營地，黑霧席捲，鬼氣繚繞。眨眼之間，營地已無生機。,
5,龐統·重生炎姬,龐統·重生炎姬,還沒結束！,紛亂嘈雜的戰場瞬間死寂得沒有一點聲音，這次完美的襲擊似乎給混沌軍團帶來了翻盤的可能，黑暗騎士倡狂的語調聲響起，混沌軍團開始了勝利的狂歡。,
6,龐統·重生炎姬,龐統·重生炎姬,涅槃重生,僅從語調中，就可以分辨出對方抑制不住的怒火在不斷燃燒著，一絲詫異在黑暗騎士心中轉瞬即逝。他用力向前一揮，黑色的火炎劃出一道弧光，將對面紅色的火炎生生撕開……,
7,龐統·重生炎姬,龐統·重生炎姬,質問,黑暗騎士怔怔的看著火焰揮向自己，甚至還沒有反應過來擺出防禦的姿態。當眼眸填滿火紅的劍身的一刻，他隨著他的恐懼，化為塵埃灰燼，消散於天際。,
8,龐統·重生炎姬,龐統·重生炎姬,誰是內鬼,龐統消滅黑暗騎士之後，與剛收拾完殘局的呂玲綺匯合。呂玲綺得知混沌軍團是利用傳送異能從特徵點湧入後方陣地後，擔心混沌軍團故技重施危害正面戰場，請求龐統等人，一起去陣前看看『綺』部的情況。,
9,龐統·重生炎姬,龐統·重生炎姬,全軍覆沒,當龐統與呂玲綺趕到『綺』部所在的陣前時，只看到了幾乎被炸為平地的先鋒陣地，戰場中滾滾煙霧被火光照亮，火花和火星在空中飄動，無人生還……,
10,龐統·重生炎姬,龐統·重生炎姬,使命與抉擇,受到呂玲綺的影響，龐統決定終結這場戰爭，然後找到透露特徵點的內鬼。她向著混沌最深邃的遠方，展翅飛去，廖無人煙並殘破不堪的戰場上，劃過一道赤紅的弧光。,
11,呂玲綺·狂氣毒蜂,呂玲綺·狂氣毒蜂,破壞才是本體！,風紀委員會辦公室裡，會長米迦勒耐心的詢問著眼前這位前輩的經歷，以便於學園管理。前輩很配合地開始了講述：那段塵封的故事，始於混沌的侵襲……,
12,呂玲綺·狂氣毒蜂,呂玲綺·狂氣毒蜂,聯合編隊成立！,聯合編隊『風華綺麗』開始組建，呂玲綺通過了『綺』部編隊考核試煉，但是在『綺』部成員們組合編隊的過程中，性格糟糕破壞欲強的呂玲綺被孤立排擠。,
13,呂玲綺·狂氣毒蜂,呂玲綺·狂氣毒蜂,綺部十一編隊,『她』前來邀請呂玲綺加入『綺』部十一編隊，不想被他人可憐的呂玲綺果斷拒絕；『她』帶著挑釁意味再次對呂玲綺發出編隊邀請，並成功激怒了呂玲綺……,
14,呂玲綺·狂氣毒蜂,呂玲綺·狂氣毒蜂,裂谷之戰 上,混沌侵襲第98年，『綺』部編隊接到上級指令，奇襲混沌軍團某處營地，呂玲綺率部執行；而當他們途徑裂谷之時，出現了意外情況。,
15,呂玲綺·狂氣毒蜂,呂玲綺·狂氣毒蜂,裂谷之戰 中,呂玲綺手執銀槍左突右閃，殺戮使她雙眸猩紅，而身旁隊員在與混沌軍團的交鋒中不斷減少；呂玲綺咬緊牙關，疲憊不堪的她依然不懈地揮舞銀槍，支撐她的唯一信念就是主人的那句「死守防線」。,
16,呂玲綺·狂氣毒蜂,呂玲綺·狂氣毒蜂,裂谷之戰 下,混沌軍團精英指揮的刺激，使呂玲綺終被瘋狂的殺欲支配了理智，開始了無差別的殺戮，直到『她』帶領支援編隊趕到。,
17,呂玲綺·狂氣毒蜂,呂玲綺·狂氣毒蜂,中計了！,雅塔之戰後第六天，綺部接到總指揮的指令，乘勝追擊，衝破混沌軍團的最後一道防線，結束這場百年之戰；呂玲綺跟隨『她』抵達駐紮有混沌軍團最精銳力量的戰場後，卻沒有意料之中的反撲。,
18,呂玲綺·狂氣毒蜂,呂玲綺·狂氣毒蜂,補給陣地,呂玲綺趕到補給窪地時，那裡已經遭到了混沌軍團毀滅性的打擊；她一邊清剿混沌軍團，一邊營救為數不多的倖存者，好不容易從倖存者口中得知了指揮官的所在地點。,
19,呂玲綺·狂氣毒蜂,呂玲綺·狂氣毒蜂,全軍覆沒,當龐統與呂玲綺趕到『綺』部所在的陣前時，只看到了幾乎被炸為平地的先鋒陣地，戰場中滾滾煙霧被火光照亮，火花和火星在空中飄動，無人生還……,
20,呂玲綺·狂氣毒蜂,呂玲綺·狂氣毒蜂,特殊的征程,衝擊性的事實使呂玲綺陷入了回憶，而回憶使她越發自責起來，伴隨著自責的，還有逐漸提升的對混沌軍團的仇恨……,
21,魏延·病房日記,魏延·病房日記,惡夢不醒,煙霧被火光照亮著，火星飄動，似乎是身處一處慘烈的戰場。和著飛馳箭矢的呼嘯聲、兵刃揮砍的碰撞聲，魏延的面前，出現了一個模糊的黑色身影……,
22,魏延·病房日記,魏延·病房日記,手術,白色的天花板，兩個模糊的身影站在面前，魏延淺緩無力地呼吸著，只能聽到似乎是監測設備發出的、規律的『滴——滴——』聲。魏延明白了，現在是在手術室。,
23,魏延·病房日記,魏延·病房日記,她叫，諸葛亮,魏延一直這樣一言不發地坐在黑暗裡，對於醫生和護工的照料護理也只是木然地配合，只有一個小巧的身影幾天來一直不厭煩地前來，關照幾句話便離去……,
