id,title,name,desc
510001,幽隱試煉,幽隱秘靈,己方隱蹤學院學妹造成的傷害增加30%
510002,神威試煉,浩然神威,己方神威學院學妹造成的傷害增加30%
510003,沂水試煉,沂水弦歌,己方風見學院學妹造成的傷害增加30%
510004,智華試煉,智華慧芳,己方曇華學院學妹造成的傷害增加30%
510005,深獄試煉,深獄暗影,己方修羅學院學妹造成的傷害增加30%
510006,辰輝試煉,星芒辰輝,己方辰星學院學妹造成的傷害增加30%
510007,耀光試煉,耀光熾陽,己方戰士增加20%生命值，並增加自身生命上限0.5%的攻擊
510008,魔力試煉,魔力浪潮,每上陣1個法師，己方法師造成的傷害增加6%
510009,叢林試煉,叢林啟迪,己方遊俠增加30%暴擊
510010,迷霧試煉,迷霧夜幕,己方刺客增加60%攻擊
510011,聖音試煉,聖音迴響,己方有牧師存活時，己方所有戰姬造成的傷害提升30%
520001,幽隱試煉,乘勝追擊,敵人被暴擊時，受到的傷害增加10%，持續2回合（無法疊加）
520002,神威試煉,反守為攻,己方前排戰姬受到和造成的傷害增加30%
520003,沂水試煉,火力全開,己方戰姬攻擊時，目標數越多造成的傷害越高，每多1個目標額外提升3%造成傷害
520004,智華試煉,危機四伏,所有戰姬（無論敵我）被控制時受到的傷害增加10%
520005,深獄試煉,亡靈意志,有戰姬死亡時，所有戰姬（無論敵我）增加5%攻擊力
520006,辰輝試煉,星辰守護,所有戰姬（無論敵我）增加20%全傷害減免
520007,耀光試煉,各司所長,上陣戰姬同陣營的越少，己方戰姬造成的傷害越高，最多30%
520008,魔力試煉,神妙入微,所有戰姬（無論敵我），陣營克制關係的傷害加成提升至60%
520009,叢林試煉,踏雪無痕,所有戰姬（無論敵我）對被克制陣營造成的傷害降低30%
520010,迷霧試煉,圖窮匕見,己方戰姬暴擊超出100%的部分，每1%轉化為5%暴擊傷害
520011,聖音試煉,轉攻化守,己方後排戰姬受到和造成的傷害減少30%
500000,新人試煉,新人試煉,無特殊效果
500001,新人試煉,新人試煉,無特殊效果
