id,artifact_name,artifact_desc
6206,天使之杖,增加對戰士傷害加成與攻擊，裝備該魂器後，面對戰士型學妹時具有非常優秀的輸出表現。
6207,火羽,增加對刺客傷害加成與攻擊，裝備該魂器後，面對刺客型學妹時具有非常優秀的輸出表現。
6208,妖刀赤染櫻,增加對遊俠傷害加成與攻擊，裝備該魂器後，面對遊俠型學妹時具有非常優秀的輸出表現。
6209,引雷符,增加對法師傷害加成與攻擊，裝備該魂器後，面對法師型學妹時具有非常優秀的輸出表現。
6210,呂布的勇猛,增加對牧師傷害加成與攻擊，裝備該魂器後，面對牧師型學妹時具有非常優秀的輸出表現。
6211,蕾絲襪,增加速度，保證自己優先出手；\n增加生命值，保證自身生存空間。
6212,櫻花枝,增加攻擊與精准，提升輸出效果。
6213,舞會面具,增加減傷率與血量，提升自身生存空間。
6214,撲克女王,本身增加對戰士傷害加成與攻擊，提升輸出能力；\n隱蹤學院學妹佩戴後可啟動額外屬性，增加破甲，大幅提升輸出效果。
6215,雪精靈之斧,本身增加對刺客傷害加成與攻擊，提升輸出能力；\n隱蹤學院學妹佩戴後可啟動額外屬性，增加生命值，提升生存能力。
6216,聖誕樹,本身增加對遊俠傷害加成與攻擊，提升輸出能力；\n隱蹤學院學妹佩戴後可啟動額外屬性，增加攻擊力，大幅提升輸出能力。
6217,雷神之心,本身增加對法師傷害加成與攻擊，提升輸出能力；\n神威學院學妹佩戴後可啟動額外屬性，增加生命值，大幅提升生存能力。
6218,超能藥劑,本身增加對牧師傷害加成與攻擊，提升輸出能力；\n神威學院學妹佩戴後可啟動額外屬性，增加攻擊力，大幅提升輸出能力。
6219,魂石掛墜,本身增加對牧師傷害加成與攻擊，提升輸出能力；\n神威學院學妹佩戴後可啟動額外屬性，增加技能傷害率，大幅提升輸出效果。
6220,加百列之歌,本身增加對戰士傷害加成與攻擊，提升輸出能力；\n風見學院學妹佩戴後可啟動額外屬性，增加生命值，大幅提升生存能力。
6221,惡魔之書,本身增加對刺客傷害加成與攻擊，提升輸出能力；\n風見學院學妹佩戴後可啟動額外屬性，增加攻擊力，提升輸出能力。
6222,命運十字,本身增加對遊俠傷害加成與攻擊，提升輸出能力；\n風見學院學妹佩戴後可啟動額外屬性，增加暴擊率，大幅提升輸出能力。
6223,精靈祝福頭冠,本身增加對法師傷害加成與攻擊，提升輸出能力；\n曇華學院學妹佩戴後可啟動額外屬性，增加暴擊傷害值，大幅提升輸出能力。
6224,貓兒兜帽,本身增加減傷率與血量，提升自身生存空間；\n曇華學院學妹佩戴後可啟動額外屬性，增加生命值，大幅提升生存能力。
6225,吊帶襪,本身增加速度與血量，保證自身優先出手與一定的生存空間；\n曇華學院學妹佩戴後可啟動額外屬性，增加暴擊率，大幅提升輸出能力。
6226,沙灘排球,本身增加攻擊與精准，提升輸出效果；\n修羅學院學妹佩戴後可啟動額外屬性，增加技能傷害率，大幅提升輸出效果。
6227,愛心耳環,本身增加減傷率與血量，提升自身生存空間；\n辰星學院學妹佩戴後可啟動額外屬性，增加神聖傷害，大幅提升輸出效果。
6343,大喬的祝福,大幅增加對戰士傷害加成與攻擊，裝備該魂器後，面對戰士型學妹時具有極大優勢。
6344,迷魂香爐,大幅增加對刺客傷害加成與攻擊，裝備該魂器後，面對刺客型學妹時具有極大優勢。
6345,妖刀村正,大幅增加對遊俠傷害加成與攻擊，裝備該魂器後，面對遊俠型學妹時具有極大優勢。
6346,火精靈之怒,大幅增加對法師傷害加成與攻擊，裝備該魂器後，面對法師型學妹時具有極大優勢。
6347,萬物復甦,大幅增加對牧師傷害加成與攻擊，裝備該魂器後，面對牧師型學妹時具有極大優勢。
