id,unknown_2,name
1100100,유화,기본 공격,기본 공격
1100200,완적,기본 공격,기본 공격
1100300,왕평,기본 공격,기본 공격
1200100,조홍,기본 공격,기본 공격
1200200,기령,기본 공격,기본 공격
1200300,한당,기본 공격,기본 공격
1300100,능통,기본 공격,기본 공격
1300200,마녀,기본 공격,기본 공격
1300300,마운록,기본 공격,기본 공격
1400100,관로,기본 공격,기본 공격
1400200,노식,기본 공격,기본 공격
1400300,전풍,기본 공격,기본 공격
2100100,하후현,기본 공격,기본 공격
2100200,정보,기본 공격,기본 공격
2100300,한수,기본 공격,기본 공격
2100400,조방,기본 공격,기본 공격
2200100,마량,기본 공격,기본 공격
2200200,방회,기본 공격,기본 공격
2200300,황개,기본 공격,기본 공격
2200400,메이미,기본 공격,기본 공격
2300100,장보,기본 공격,기본 공격
2300200,장량,기본 공격,기본 공격
2300300,사스케,기본 공격,기본 공격
2300400,사마가,기본 공격,기본 공격
2400100,공손찬,기본 공격,기본 공격
2400200,정봉,기본 공격,기본 공격
2400300,화웅,기본 공격,기본 공격
2400400,종요,기본 공격,기본 공격
3100100,주연,기본 공격,기본 공격
3100200,옥토,기본 공격,기본 공격
3100300,공융,기본 공격,기본 공격
3100400,왕쌍,기본 공격,기본 공격
3100500,손견,기본 공격,기본 공격
3200100,곽도,기본 공격,기본 공격
3200200,에드워드,기본 공격,기본 공격
3200300,하진,기본 공격,기본 공격
3200400,진등,기본 공격,기본 공격
3200500,노부타다,기본 공격,기본 공격
3300100,종회,기본 공격,기본 공격
3300200,장간,기본 공격,기본 공격
3300300,사마사,기본 공격,기본 공격
3300400,하후패,기본 공격,기본 공격
3300500,마리,기본 공격,기본 공격
3400100,조성,기본 공격,기본 공격
3400200,서성,기본 공격,기본 공격
3400300,장흠,기본 공격,기본 공격
3400400,고순,기본 공격,기본 공격
3400500,매영독,기본 공격,기본 공격
3500100,조예,기본 공격,기본 공격
3600100,항아,기본 공격,기본 공격
4100100,주태,기본 공격,기본 공격
4100200,적토,기본 공격,기본 공격
4100300,마초,기본 공격,기본 공격
4100400,양수,기본 공격,기본 공격
4100500,안량,기본 공격,기본 공격
4100600,예형,기본 공격,기본 공격
4100700,문추,기본 공격,기본 공격
4100800,장춘화,기본 공격,기본 공격
4200100,소교,기본 공격,기본 공격
4200200,전위,기본 공격,기본 공격
4200300,손책,기본 공격,기본 공격
4200400,견희,기본 공격,기본 공격
4200500,순유,기본 공격,기본 공격
4200600,조충,기본 공격,기본 공격
4200700,유선,기본 공격,기본 공격
4200800,서황,기본 공격,기본 공격
4300100,노숙,기본 공격,기본 공격
4300200,조휴,기본 공격,기본 공격
4300300,왕윤,기본 공격,기본 공격
4300400,보부인,기본 공격,기본 공격
4300500,문빙,기본 공격,기본 공격
4300600,장각,기본 공격,기본 공격
4300700,위연,기본 공격,기본 공격
4300800,제갈근,기본 공격,기본 공격
4400100,원술,기본 공격,기본 공격
4400200,반봉,기본 공격,기본 공격
4400300,보즐,기본 공격,기본 공격
4400400,왕원희,기본 공격,기본 공격
4400500,마속,기본 공격,기본 공격
4400600,이전,기본 공격,기본 공격
4400700,하태후,기본 공격,기본 공격
4400800,장중경,기본 공격,기본 공격
4500100,가후,기본 공격,기본 공격
4500200,왕랑,기본 공격,기본 공격
4500300,이유,기본 공격,기본 공격
4600100,정욱,기본 공격,기본 공격
4600200,장소,기본 공격,기본 공격
4600300,법정,기본 공격,기본 공격
5100100,주유,기본 공격,기본 공격
5100200,장합,기본 공격,기본 공격
5100300,동탁,기본 공격,기본 공격
5100400,드라큘라,기본 공격,기본 공격
5100500,오공,기본 공격,기본 공격
5100600,등애,기본 공격,기본 공격
5100700,맹획,기본 공격,기본 공격
5100800,천본앵,기본 공격,기본 공격
5100900,손인,기본 공격,기본 공격
5101000,사마의,기본 공격,기본 공격
5200100,초선,기본 공격,기본 공격
5200200,순욱,기본 공격,기본 공격
5200300,하후돈,기본 공격,기본 공격
5200400,조조,기본 공격,기본 공격
5200500,조운,기본 공격,기본 공격
5200600,대교,기본 공격,기본 공격
5200700,장비,기본 공격,기본 공격
5200800,하후연,기본 공격,기본 공격
5200900,관우,기본 공격,기본 공격
5201000,조식,기본 공격,기본 공격
5300100,좌자,기본 공격,기본 공격
5300200,언월,기본 공격,기본 공격
5300300,유굉,기본 공격,기본 공격
5300400,유협,기본 공격,기본 공격
5300500,노부나가,기본 공격,기본 공격
5300600,강유,기본 공격,기본 공격
5300700,튜린,기본 공격,기본 공격
5300800,토요,기본 공격,기본 공격
5300900,마사무네,기본 공격,기본 공격
5301000,방천,기본 공격,기본 공격
5301100,황월영,기본 공격,기본 공격
5400100,황충,기본 공격,기본 공격
5400200,허저,기본 공격,기본 공격
5400300,유표,기본 공격,기본 공격
5400400,채문희,기본 공격,기본 공격
5400500,축융,기본 공격,기본 공격
5400600,곽환,기본 공격,기본 공격
5400700,여몽,기본 공격,기본 공격
5400800,제갈량,기본 공격,기본 공격
5400900,손상향,기본 공격,기본 공격
5401000,여령기,기본 공격,기본 공격
5500100,와라사키,기본 공격,기본 공격
5500200,사마소,기본 공격,기본 공격
5500300,곽가,기본 공격,기본 공격
5500400,우길,기본 공격,기본 공격
5500500,루시퍼,기본 공격,기본 공격
5600100,수경,기본 공격,기본 공격
5600200,가브리엘,기본 공격,기본 공격
5600300,미카엘,기본 공격,기본 공격
5600400,방통,기본 공격,기본 공격
11100100,유화-BOSS,기본 공격,기본 공격
11200100,조홍-BOSS,기본 공격,기본 공격
11200200,기령-BOSS,기본 공격,기본 공격
11300100,능통-BOSS,기본 공격,기본 공격
12100200,정보-BOSS,기본 공격,기본 공격
12300100,장보-BOSS,기본 공격,기본 공격
12300200,장량-BOSS,기본 공격,기본 공격
12300300,사스케-BOSS,기본 공격,기본 공격
13500100,조예-BOSS,기본 공격,기본 공격
13600100,항아-BOSS,기본 공격,기본 공격
14500100,가후-BOSS,기본 공격,기본 공격
