id,name,from,content
1,학원 리그 일일 보상,경기장 메일,축하합니다! {1}토너먼트 랭킹에서 {2}위를 차지했습니다. 메일의 보상을 확인하세요!
2,시즌 결산 보상,경기장 메일,"선배님, 학원 리그에서 {1}위가 되신 것을 축하드립니다! 아래의 보상을 수령하세요!"
3,신서버 보상,시스템 메일,"이벤트 기간 중 접속 시 매일 다이아*50, 슬롯 머신 사용권*2, 토너먼트 입장권*2를 받을 수 있습니다. 메일의 보상을 확인하세요!"
4,월간 패스 유저가 되었습니다.,월간 패스,월간 패스 유저가 되었습니다. {1}부터 매일 0시(한국 시간 아침 9시)에 다이아가 370개 발송됩니다. 월간 패스를 구입한 첫 날의 다이아는 바로 발송됩니다.
5,월간 패스 보상,월간 패스,"VIP{1} 플레이어님, 아래의 보상을 시간 내에 수령하세요. 월간 패스의 유효 기간이 {2}일 남았습니다."
6,월간 패스 만기,월간 패스,월간 패스 기한이 만료되었습니다. 상점에서 월간 패스를 기한을 갱신하면 기존 가격의 약 13배의 다이아를 받게됩니다!
7,미니 월간 패스 유저가 되었습니다.,미니 월간 패스,미니 월간 패스 유저가 되었습니다. {1}부터 매일 0시(한국 시간 아침 9시)에 다이아를 85개 발송합니다. 미니 월간 패스를 구입한 날은 해당 날의 다이아가 바로 전송됩니다.
8,미니 월간 패스 보상,미니 월간 패스,오늘의 보상을 시간 내에 수령하세요. 미니 월간 패스의 유효 기간이 {1}일 남았습니다.
9,미니 월간 패스 만기,미니 월간 패스,미니 월간 패스의 기한이 만료되었습니다. 상점에서 미니 월간 패스 기한을 갱신할 경우 기존 가격의 약 10배의 다이아를 받게됩니다!
10,소녀 소환 보상,소환 보상,축하합니다! 이벤트 기간 중 소녀 {1}을(를) 획득했습니다. 메일의 보상을 확인하세요!
11,일일 보상,시스템 메일,이벤트 기간 동안 매일 로그인 시 프리미엄 캡슐 뽑기 코인*3을 수령할 수 있습니다. 메일의 보상을 확인하세요!
12,캡슐 뽑기 보상,시스템 메일,축하합니다! 신입생 캡슐 뽑기 이벤트 중 프리미엄 캡슐 뽑기 누적 {1}회로 아래의 보상을 획득했습니다!
13,일일 보상,시스템 메일,이벤트 기간 동안 매일 로그인 시 도장*1을 수령할 수 있습니다. 메일의 보상을 확인하세요!
14,입학 시험 보상,시스템 메일,입학 시험 이벤트에서 {1}포인트에 도달했습니다. 아래의 보상을 수령하세요!
15,공격 보상,시스템 메일,축하합니다! 친구 보스를 처치하였습니다. 아래의 보상을 획득하세요.
16,친구 보스,시스템 메일,친구 보스를 격파했습니다. 아래의 보상을 수령하세요.
17,친구 보스 랭킹 보상,시스템 메일,축하합니다! 이번 주 친구 협력전에서 {1}위를 차지했습니다. 메일의 보상을 확인하세요!
18,소녀 집결 보상,시스템 메일,소녀 집결 이벤트에서 목표를 달성했습니다. 메일의 보상을 확인하세요!
19,베타 테스트 보상,시스템 메일,"베타 기간 {1} 구매를 감사드립니다, 베타 테스트 보상을 수령하세요!"
20,슬롯 머신 포인트 보상,시스템 메일,축하합니다! 슬롯 머신 이벤트 기간 중 {1}포인트를 획득했습니다. 아래의 보상을 수령하세요!
21,일일 보상,시스템 메일,"이벤트 기간 동안, 매일 접속 시 프리미엄 슬롯 머신 사용권*1, 팬텀 크리스탈 공*100, 플랫봉*1을 획득할 수 있습니다. 메일의 보상을 확인하세요."
22,아르바이트 미션 보상,시스템 메일,알바 미션으로 {1}성 목표를 달성했습니다.아래의 보상을 수령하세요.
23,결제 알림,시스템 메일,"{1}을 구매해주셔서 감사합니다. 확득한 아이템은 가방에 들어있습니다, 어서 확인해보세요!"
24,일일 보상,시스템 메일,"이벤트 기간 중 접속 시 매일 배 키*5, 다이아*150, 소녀 복권*1을 받을 수 있습니다. 메일의 보상을 확인하세요!"
25,토너먼트 보상,시스템 메일,토너먼트 이벤트에서 목표를 달성했습니다. 메일의 보상을 확인하세요!
26,골드 주간 패스 구입 완료,골드 주간 패스,"골드 주간 패스를 구입을 축하합니다! 지금부터 168시간 동안, 자동 모드 골드 보수가 100% 인상됩니다. 골드 주간 패스의 효과는 VIP특권과 중복 가능합니다!"
27,골드 주간 패스 만료 임박,골드 주간 패스,"골드 주간 패스 유효기간이 오늘 만료됩니다. 상점에서 주간 카드 재구매시, 유효기간 동안 골드 생산이 100% 증가 됩니다!"
28,졸업&각성,시스템 메일,축하합니다! 이벤트 기간 동안 {1} 소녀를 5성으로 졸업시켰습니다. 메일의 보상을 확인하세요!
29,졸업&각성,시스템 메일,축하합니다! 이벤트 기간 동안 {1} 소녀를 6성으로 졸업시켰습니다. 메일의 보상을 확인하세요!
30,동아리 보스 랭킹 보상,동아리 메일,축하합니다! 동아리 보스전에서 승리하셨습니다. 메일의 보상을 확인하세요!
31,동아리 보스 공격 보상,동아리 메일,축하합니다! 동아리 보스를 처치했습니다. 아래의 보상을 수령하세요.
32,동아리 보스,동아리 메일,해당 보스는 이미 여러번 처치했습니다. 더 이상 보상을 획득할 수 없습니다.
33,동아리 회장 임명,동아리 메일,{1}님은 더 이상 동아리 회장이 아닙니다. {2}님이 동아리 {3}의 새로운 회장입니다.
34,동아리 부회장 임명,동아리 메일,동아리 {1}의 부회장으로 임명되었습니다.
35,부부장 해임,동아리 메일,동아리 {1}의 부회장에서 해임되었습니다.
36,동아리 추방,동아리 메일,동아리에서 추방 당했습니다. 더 이상 동아리 {1}의 구성원이 아닙니다.
37,동아리 해산,동아리 메일,{1} 동아리가 이미 해산되었습니다. 현재 어느 동아리에도 속해 있지 않습니다.
38,동아리 가입,동아리 메일,동아리 {1}에 오신것을 환영합니다! 잊지 말고 매일 방문해 주세요!
39,일일 보상,시스템 메일,"이벤트 기간 중 접속 시 매일 팬텀 크리스탈 공*100, 선택권*1를 받을 수 있습니다. 메일의 보상을 확인하세요!"
40,시즌 결산 보상,경기장 메일,"선배님, 학원 톱 리그에서 {1}위가 되신 것을 축하드립니다! 보상을 수령하세요!"
41,톱 리그,시스템 메일,"선배님, 토너먼트 톱 리그전이 시작되었습니다. 토너먼트 입장권*5을 보내드렸으니, 어서 출전해보세요!"
42,교외 실습 결산 보상,시스템 메일,축하합니다! 교외 실습 활동에서 {1}위를 차지했습니다. 아래의 보상을 수령하세요!
43,교외 활동 보상,시스템 메일,교외 활동 과제를 완료했습니다.아래의 보상을 수령하세요!
44,핸드메이드 보상,시스템 메일,핸드메이드 과제를 완성했습니다. 아래의 보상을 수령하세요!
45,교외 탐험 보상,시스템 메일,탐험 과제를 완료 했습니다. 아래의 보너스를 수령하세요!
46,톱 리그 종료 안내,시스템 메일,"선배님, 토너먼트 톱 리그전이 24시 내에 종료됩니다. 어서 출전해보세요!"
47,성우 이벤트 공유 보상,시스템 메일,성우 응원 이벤트에 참여해 주셔서 감사합니다.아래의 보상을 수령하세요!
48,일일 보상,시스템 메일,"이벤트 기간 동안 매일 접속 시, 프리미엄 슬롯 머신 사용권*1, 모래시계*5를 수령할 수 있습니다. 메일의 보상을 확인하세요!"
49,교외 실습,시스템 메일,"선배님, 교외 실습 이벤트가 시작되었습니다. 모래시계*4를 선물해드릴 테니, 어서 참여하세요!"
50,팀 리그 오픈,경기장 메일,"선배님, 토너먼트 팀 리그가 시작했습니다. 어서 출전해보세요!"
51,팀 리그 종료 안내,경기장 메일,"선배님, 토너먼트 톱 리그전이 24시 내에 종료됩니다. 어서 출전해보세요!"
52,시즌 결산 보상,경기장 메일,"선배님, 학원 팀 리그에서 {1}위가 되신 것을 축하드립니다! 아래의 보상을 수령하세요!"
53,신청 승인,경기장 메일,팀 리그전 참가 신청이 승인되었습니다. 경기장에서 팀 정보를 확인해 주세요!
54,팀 리더 변경,경기장 메일,팀 리그전의 리더가 되었습니다. 리더로서의 임무를 수행하세요!
55,추방 알림,경기장 메일,"팀의 리더로부터 추방당했습니다. 새로 출전팀을 만들거나, 다른 팀에 들어가세요!"
56,골드 주간 패스 구독 완료,골드 정기 구매,"골드 주간패스 정기 구매를 완료했습니다. 지금부터 일주일, 자동 모드의 골드 보수가 100% 증가합니다.  골드 주간 패스의 효과는 VIP 특권과 중복 가능합니다. 유효기간 만료시에는 자동으로 갱신됩니다. 정기 구매을 해지하고 싶은 경우는 골드 주간 패스의 구입 화면에서 방법을 확인하세요."
57,동아리전 포인트 보상,시스템 메일,축하합니다! 동아리 포인트전에서 랭킹 {1}위를 차지했습니다. 용맹한 선배님을 위해 보상을 준비했으니 아래의 보상을 수령하세요!
58,동아리전 결승전 보상,시스템 메일,축하합니다! 동아리전 결승전에서 {1}위를 차지했습니다. 아래의 보상을 수령하세요!
59,동아리전 결승전 보상,시스템 메일,축하합니다! 동아리전 결승전에서 준우승을 차지했습니다. 아래의 보상을 수령하세요!
60,동아리전 결승전 보상,시스템 메일,축하합니다! 동아리전 결승전에서 우승을 차지했습니다. 아래의 보상을 수령하세요!
61,3주년 축제 카드 보상,시스템 메일,"레벨 {1}의 플레이어님, 아래의 보상을 시간 내에 수령하세요. 3주년 축제 카드의 유효 기간이 {3}일 남았습니다."
62,월간 패스 갱신,월간 패스,월간 패스가 갱신되었습니다. 월간 패스의 유효 기간이 {1}일 남았습니다.
63,미니 월간 패스 갱신,미니 월간 패스,미니 월간 패스가 갱신되었습니다. 미니 월간 패스의 유효 기간이 {1}일 남았습니다.
64,퍼즐 이벤트,이벤트 메일,퍼즐 {1}세트를 완성했습니다. 아래의 보상을 수령하세요!
