id,name,brief,desc
1,골드,화폐,보통 화폐
2,다이아,화폐,가장 가치 있는 레어 화폐
3,EXP,플레이어 EXP,플레이어 레벨업에 사용
4,동아리 코인,동아리 코인,동아리 상점에서 아이템 구매 시 사용
5,동아리 EXP,동아리 EXP,동아리 레벨업 시 사용
6,교환권,교환권,슬롯 머신의 행운 상점에서 아이템을 구매하는 데 사용
7,교우록,소녀 구입용 화폐,전학 상점에서 구매시 사용
8,VIP EXP,VIP EXP,
9,경험치 드링크,소녀 레벨업 EXP,소녀 화면에서 소녀 레벨업에 사용
10,도시락,소녀 업그레이드 EXP,소녀 화면에서 소녀 랭크 UP에 사용
11,하트,우정 캡슐 뽑기 화폐,"친구로부터 받은 물건, 캡슐 뽑기로 우정 소환 시 사용."
12,골든 에그 에너지,골든 에그 에너지,
13,통행권,옥상 정복 참가권,옥상 정복 참가에 사용
14,크리스탈 검,재료,소녀 화면에서 크리스탈 레벨업 시 사용
15,정령의 책,책의 정령 성역 상점 화폐,책의 정령 성역 상점에서 아이템을 교환할 수 있습니다.
16,토너먼트 메달,토너먼트 상점 화폐,토너먼트 중 학원 리그 및 톱 리그 상점에서 구매시 사용
17,토너먼트 상자,보물상자는 메일을 통해 자동 오픈 됩니다.,"골드, 소녀 EXP, 소녀 업그레이드, 전설 장비, 소녀 조각 등의 레어 아이템을 랜덤으로 획득할 수 있습니다."
18,마법의 빵,체력 아이템,동아리 제분소 약탈 시 사용
19,포트폴리오,소녀 교환 재료,교무실의 신입생 모집처에서 소녀 교환 시 사용
20,도장,신입생 모집 아이템,신입생 모집 시 4성 이상의 소녀 또는 소녀의 조각 소환 가능
22,빨간색 1성 혼기,혼기 상자,구입 후 빨간색 1성 혼기 1개 랜덤으로 획득
23,초록색 1성 혼기,혼기 상자,구입 후 초록색 1성 혼기 1개 랜덤으로 획득
24,일반 아르바이트 미션 두루마리,아르바이트 미션 두루마리,아르바이트 중 사용 시 랜덤 미션 1개 추가(1~4성). 미션을 완료하지 않을 경우 아르바이트 미션 리셋 후 소멸.
