id,name,charge,currency,show_name
1,월간\n패스,19000,₩,월간\n패스
2,미니 월간\n패스,5900,₩,미니 월간\n패스
3,주간 패스,1200,₩,주간 패스
4,250 다이아 팩,5900,₩,다이아 팩
5,500 다이아 팩,12000,₩,다이아 팩
6,1000 다이아 팩,25000,₩,다이아 팩
7,2500 다이아 팩,65000,₩,다이아 팩
8,5000 다이아 팩,119000,₩,다이아 팩
9,레벨 24 팩,2500,₩,레벨 24 팩
10,레벨 32 팩,5900,₩,레벨 32 팩
11,레벨 48 팩,12000,₩,레벨 48 팩
12,레벨 58 팩,37000,₩,레벨 58 팩
13,레벨 78 팩,65000,₩,레벨 78 팩
14,4성 소녀 소환 팩,5900,₩,4성 소녀 소환 팩
15,5성 소녀 소환 팩,12000,₩,5성 소녀 소환 팩
16,월간 팩 1,5900,₩,월간 팩
17,월간 팩 2,12000,₩,월간 팩
18,월간 팩 3,37000,₩,월간 팩
19,월간 팩 4,65000,₩,월간 팩
20,월간 팩 5,89000,₩,월간 팩
89,월간 팩 7,119000,₩,월간 팩
22,주간 팩,12000,₩,주간 팩
23,주간 팩 2,25000,₩,주간 팩
24,주간 팩 3,65000,₩,주간 팩
25,주간 팩 4,89000,₩,주간 팩
26,슈퍼 팩,119000,₩,슈퍼 팩
27,슈퍼 팩 2,89000,₩,슈퍼 팩
28,슈퍼 팩 3,37000,₩,슈퍼 팩
29,슈퍼 팩 4,12000,₩,슈퍼 팩
30,슈퍼 팩 5,5900,₩,슈퍼 팩
31,슈퍼 팩 1,119000,₩,슈퍼 팩
32,슈퍼 팩 2,89000,₩,슈퍼 팩
33,슈퍼 팩 3,37000,₩,슈퍼 팩
34,슈퍼 팩 4,25000,₩,슈퍼 팩
36,슈퍼 팩 5,5900,₩,슈퍼 팩
69,슈퍼 팩 6,5900,₩,슈퍼 팩
35,무료 구입 커스텀 팩,2500,₩,무료 구입 커스텀 팩
37,기간 한정\n5성 특가 팩,1200,₩,기간 한정\n5성 특가 팩
38,구독,1200,₩,구독
39,블랙 프라이데이 카드,12000,₩,3주년 축제 카드
40,주간 구독,1200,₩,주간 구독
41,월간 구독,4900,₩,월간 구독
42,3개월 구독,12000,₩,3개월 구독
43,월간 팩 1,5900,₩,월간 팩
44,월간 팩 2,12000,₩,월간 팩
45,월간 팩 3,37000,₩,월간 팩
46,월간 팩 4,65000,₩,월간 팩
47,월간 팩 5,89000,₩,월간 팩
48,월간 팩 6,99000,₩,월간 팩
49,주간 팩 1,12000,₩,주간 팩
50,주간 팩 2,25000,₩,주간 팩
51,주간 팩 3,65000,₩,주간 팩
52,주간 팩 4,89000,₩,주간 팩
53,주간 구독,1200,₩,주간 구독
54,월간 구독,4900,₩,월간 구독
55,3개월 구독,12000,₩,3개월 구독
56,스페셜 팩 1,5900,₩,스페셜 팩
57,스페셜 팩 1,5900,₩,스페셜 팩
65,스페셜 팩 2,65000,₩,스페셜 팩
58,7일 무료,0,₩,7일 무료 구독
59,7일 무료,0,₩,7일 무료 구독
60,7일 무료,0,₩,7일 무료 구독
61,7일 무료,0,₩,7일 무료 구독
62,7일 무료,0,₩,7일 무료 구독
63,7일 무료,0,₩,7일 무료 구독
64,스테이지 팩,12000,₩,스테이지 팩
66,서약 반지,25000,₩,서약 반지
67,육성 팩,12000,₩,육성 팩
68,슈퍼 팩 6,5900,₩,슈퍼 팩
70,활성화 특별 보상,25000,₩,특별 보상 서비스
71,스페셜 스킨 팩 2,65000,₩,스페셜 팩
