id,name,desc,skill_desc1,skill_desc2,skill_desc3,skill_desc4
851001,주유,"1. 은신 학부의 특별한 딜러형 목사, 대미지가 상당하다.\n2. 액티브 스킬 사용 시, 적 뒷라인의 소녀에게 석화 효과 및 아군의 정밀을 증가할 수 있다. 또한, 일반 공격은 목표의 가드를 감소하여, 팀에 매우 우수한 딜 환경을 조성해준다.\n3. 속도는 느린 편이며, 속도를 강화하여 선수를 노리는 것을 추천합니다. 옥상 정복 혹은 PVP에서 구속형 소녀가 적은 팀과 대전할 경우 좋은 활약을 거둘 수 있다.","액티브 스킬: 상대 뒷줄 소녀들에게 대미지와 석화 효과를 줍니다.\n주유는 기초 공격력이 높기 때문에, 먼저 해당 스킬을 사용할 경우 대미지가 상당합니다.","강화 스킬: 일반 공격이 상대 앞라인의 소녀를 공격합니다. 관우, 조운, 노부나가 등 가드 효율이 좋은 소녀 상대 시 효과가 좋다.",강화 스킬: 정밀과 공격력이 증가한다.,강화 스킬: HP가 낮을 때 3라운드 동안 공격력을 대폭 증가시킨다.
851002,장합,"1. 은신 학부 소속으로 대미지가 꽤 높은 어쌔신형 소녀. 일정 회복 능력을 가지고 있고, 출혈 상태의 적에게는 대미지가 증가한다.\n2. 게임 초반에는 PVE에서 좋은 활약을 할 수 있다.\n3. HP가 낮아 구속 스킬에 약하기 때문에 구속 면역력 및 HP 증가하는 것을 추천한다.","액티브 스킬: 랜덤으로 2명의 적에게 대미지와 추가 대미지를 입힙니다. 상대가 레인저형 소녀일 경우, 대미지가 더욱 높아집니다.\n6성 이후 목표 수가 2명에서 3명으로 증가한다.\n10성 이후 회복 효과가 추가됩니다.",강화 스킬: 공격할 때마다(일반 공격 포함) 돌파력이 증가하고 적에게 출혈 지속 대미지를 입힌다.,강화 스킬: 정밀과 대미지 능력이 증가한다.,"회복 스킬: 적 소녀가 쓰러질 경우 일정 HP를 회복, 자신의 공격력이 높을수록 회복량이 증가한다."
851003,동탁,"1. 은신 학부 소속의 전사 소녀. 앞줄의 메인 위치를 담당하는 경우가 많다.\n2. 10성 전에는 생존력과 기초 공격력이 낮지만 10성이 되면 능력이 크게 변화하고, 일정한 구속 스킬을 획득한다.","액티브 스킬: 적 뒷줄에 대미지를 입히며 회복 효과가 있습니다.\n10성 이후에는 동결 효과가 추가됩니다.\n회복량은 공격력 계수와 관련 있으며, 해당 스킬은 10성 이후 대폭 강화됩니다.",강화 스킬: 정밀과 생존력을 증가시킨다.,회복 스킬: 가드 발동 시 일정 HP를 회복한다.,"회복 스킬: 공격 후 일정 HP를 회복한다, 10성 이후 스킬 효과가 크게 변화하며 뛰어난 회복 능력을 갖는다."
851004,드라큘라,"
1. 은신 학부의 딜러형 소녀.
2. 액티브 스킬은 법사 소녀에게 크게 작용되며, 옥상 정복 시 법사가 많은 팀을 상대 할 수 있다.
3. HP가 가장 낮은 적을 우선 공격하므로 HP가 낮은 적을 효과적으로 처치하여, 전투 시 인원수의 유리함을 가져갈 수 있습니다.
4. 패시브 스킬로는 일정 회복력을 가지고 있으며, 6성이나 10성 이후에는 앞줄을 담당하는 경우가 많습니다.",액티브 스킬: 랜덤으로 3명의 적 소녀에게 대미지를 입힙니다. 적이 법사일 경우 기절과 추가 대미지를 입힙니다. 대미지가 뛰어나며 법사형 소녀를 효과적으로 카운터할 수 있습니다.\n6성이 되면 목표물 수가 3명에서 4명으로 증가합니다.,강화 스킬: 대미지와 생존력을 증가시킨다.,"강화 스킬: 일반 공격 강화, HP가 가장 낮은 적을 타겟으로 한다.","강화 스킬, HP가 80%이하로 떨어지면, 대미지가 증가하고 지속적으로 HP를 회복한다."
851005,오공,"1. 은신 학부 소속의 딜러형 소녀.\n2. 액티브 스킬은 어쌔신형 소녀를 효과적으로 견제할 수 있으며, 어쌔신 소녀를 바로 기절시키고 기절한 목표에 더 많은 대미지를 입혀, 옥상 정복 시 어쌔신 팀에 강한 모습을 보입니다.\n3. 속도가 느리므로 속도를 높이는 크리스탈과 혼기를 이용해 선제 공격 기회를 잡을 것을 추천합니다.","
액티브 스킬: 랜덤으로 3명의 적에게 대미지를 입히고 어쌔신 소녀에게는 기절과 추가 대미지를 입힙니다.
6성 이후 목표물 적이 3명에서 4명으로 증가합니다.
10성 이후 어쌔신형 소녀 상대 시 추가로 독 효과를 입힌다.
스킬 대미지가 높고, 어쌔신에게 매우 강력합니다.",구속 스킬: 높은 확률로 공격한 적을 기절시킨다.,강화 스킬: 기절하는 상대에게 추가 대미지를 입힌다. 패시브1과 다른 기절 구속 스킬을 가진 소녀와 함께 사용할 것을 추천한다.,강화 스킬: 적의 방어력을 감소시키고 대미지를 증가시킨다.
851006,등애,"
1. 은신 학부의 강력한 동결 능력을 가진 전사 소녀
2. 액티브 스킬은 앞줄 소녀에게 대미지를 입히고 높은 확률로 동결 효과를 줍니다. 앞줄 적에게 강합니다.
3. 공격을 받았을 때, 일정 확률로 상대를 동결시키는 동시에 HP를 회복하고 방어력을 증가할 수 있어 강한 지속력과 생존력을 갖습니다.
4. 별 등급을 막론하고 반드시 육성해야 할 소녀입니다.","액티브 스킬은 앞줄 소녀에게 대미지를 입히고, 높은 확률로 동결 효과를 줍니다. 동시에 자신의 HP를 회복하고 생존력을 증가시킵니다.",구속 스킬: 공격을 받았을 때 일정 확률로 상대를 동결시킨다. 상대가 전사일 경우 확률이 증가한다.,강화 스킬: 공격력과 생존력을 증가시켜 동결 효과를 무효화한다.,회복 스킬: HP가 낮을 때 자신의 HP를 대폭 회복한다.
851007,맹획,1. 은신 학부의 딜러 소녀.\n2. 10성 이후 액티브 스킬을 발휘하여 적 공격력 30% 감소와 높은 확률로 출혈을 입혀 팀에게 뛰어난 전투환경을 만듭니다.,액티브 스킬은 HP가 가장 낮은 적을 공격하여 상대의 공격력을 감소시킵니다.\n10성 이후에는 효과가 발동했을 때 높은 추가 대미지를 줍니다.,강화 스킬: 대미지와 생존력을 증가시킨다.,강화 스킬: 공격할 때마다 대미지가 증가한다.,강화 스킬: HP가 낮을 때 대미지 능력이 대폭 강화된다.
851008,천본앵,"
1. 은신 학부의 구속형 소녀, 적을 석화시켜 석화 상태의 적에게 대미지를 증가시킨다.
2. 지속력과 구속력이 뛰어나, 적 뒷줄 소녀들에게 석화 효과 및 방어력 감소 효과로, PVP에서는 메인 구속 소녀로 활약할 수 있다.
3. 대미지 감소, 석화 무효로 생존력이 높다.
4. 구속형 소녀가 필요하면 육성을 추천한다.",액티브 스킬: 뒷줄 적 소녀에게 대미지를 입히고 일정 확률로 석화시킴과 동시에 상대방의 방어력을 떨어뜨립니다.,강화 스킬: 공격력과 생존력을 증가시켜 석화 효과를 무효화한다.,강화 스킬: 일반 공격은 뒷줄을 공격하고 석화 효과를 준다. 동시에 석화된 타겟에 대해서 추가 대미지를 입힌다.,강화 스킬: HP가 낮을 때 대미지 감소를 증가시켜 생존력을 강화한다.
851009,손인,"1. 은신 학부의 딜러형 소녀.\n2. 생존 시 타격 능력은 보통이지만, 쓰러진 뒤에는 큰 타격을 줄 수 있다.\n3. 죽음으로 이득 효과를 볼 수 있는 다른 소녀들과 조합 가능--조조, 이사우&야곱 등을 통해 더 많은 대미지를 가할 수 있다.",액티브 스킬: 적 전체에 대미지를 입히고 전사 소녀에게 침묵 효과를 줍니다.\n10성 이후에는 공격력을 지속적으로 증가시키고 대미지 능력을 강화합니다.,"강화 스킬: 아군 소녀가 쓰러졌을 경우, 치명타와 공격력을 증가시켜 대미지 능력을 대폭 강화시킨다.",강화 스킬: 생존력과 대미지 능력을 강화시킨다.,핵심 스킬: 자신이 쓰러진 후 적 전체에 막대한 대미지를 입힌다.
851010,사마의,"
1. 은신 학부의 집중 대미지 능력을 가진 어쌔신형 소녀.
2. 일반 공격 시 랜덤으로 뒷줄에 위치한 1명의 적을 공격한다.
3. 높은 공격력과 속도, 독 대미지 증가 및 기절 효과가 있어 우수한 딜러형 소녀이다.
4. 「속박의 일격」은 레벨 3이 되면 일반 공격시 적을 100% 기절시켜 일대일 전투에 매우 강하다. 또한 대미지 감소 스킬이 있기 때문에 약한 방어력을 커버할 수 있다.","
액티브 스킬: 랜덤으로 뒷줄 적 소녀 1명에게 대미지를 입히고 추가로 독 효과를 줍니다. 또한 일정 확률로 적을 기절시킵니다.
6성 이후, 타깃이 2명으로 증가합니다.
10성 이후에는 스킬이 강화되어 대미지 감소가 중가하며 생존력을 강화합니다.
독 효과가 있으므로 다른 독 공격 소녀와 조합하는 것을 추천합니다.",강화 스킬: 대미지와 생존력이 모두 증가하며 독 상태의 목표에게 입히는 대미지도 증가한다.,"강화 스킬: 공격할 때마다(일반 공격 포함), 일정 확률로 기절 효과를 준다.",강화 기술: HP가 낮을 경우 랜덤으로 뒷줄 적 2명에게 추가적으로 독 대미지를 부여.\n10성 이후 목표 타겟은 뒷줄 적 전체가 된다.
