ID,BOX_NAME,ITEMS
125,戰姬任選禮盒,"['50 x 5星龍胤·曹操碎片', '50 x 5星芬里爾碎片', '50 x 5星青羽蛻夢·魏延碎片', '50 x 5星銀月碎片', '50 x 5星赤蓮碎片', '50 x 5星華佗碎片', '50 x 5星以掃＆雅各碎片', '50 x 5星圖靈碎片']"
133,新戰姬自選禮盒,"['50 x 5星呂布碎片', '50 x 5星路西菲爾碎片']"
207,戰姬自選禮盒,"['50 x 5星伊邪那美碎片', '50 x 5星烏列爾碎片']"
4101001,5星戰姬自選禮盒（2週年限定）,"['50 x 5星周瑜碎片', '50 x 5星董卓碎片', '50 x 5星德古拉碎片', '50 x 5星孫悟空碎片', '50 x 5星孟獲碎片', '50 x 5星甘夫人碎片', '50 x 5星司馬懿碎片', '50 x 5星張郃碎片', '50 x 5星鄧艾碎片', '50 x 5星千本櫻碎片', '50 x 5星巴尼拉碎片', '50 x 5星芬里爾碎片', '50 x 5星荀彧碎片', '50 x 5星夏侯惇碎片', '50 x 5星趙雲碎片', '50 x 5星大喬碎片', '50 x 5星夏侯淵碎片', '50 x 5星關羽碎片', '50 x 5星曹植碎片', '50 x 5星貂蟬碎片', '50 x 5星曹操碎片', '50 x 5星張飛碎片', '50 x 5星陸遜碎片', '50 x 5星銀月碎片', '50 x 5星龍胤·曹操碎片', '50 x 5星偃月碎片', '50 x 5星漢靈帝碎片', '50 x 5星織田信長碎片', '50 x 5星姜維碎片', '50 x 5星豐臣秀吉碎片', '50 x 5星伊達政宗碎片', '50 x 5星方天碎片', '50 x 5星漢獻帝碎片', '50 x 5星左慈碎片', '50 x 5星黃月英碎片', '50 x 5星圖靈碎片', '50 x 5星青羽蛻夢·魏延碎片', '50 x 5星黃忠碎片', '50 x 5星許褚碎片', '50 x 5星劉表碎片', '50 x 5星蔡文姬碎片', '50 x 5星祝融碎片', '50 x 5星郭嬛碎片', '50 x 5星孫尚香碎片', '50 x 5星呂蒙碎片', '50 x 5星諸葛亮碎片', '50 x 5星呂玲綺碎片', '50 x 5星赤蓮碎片']"
4101002,6星娃娃自選禮盒（2週年限定）,"['50 x 6星隱蹤娃娃碎片', '50 x 6星神威娃娃碎片', '50 x 6星風見娃娃碎片', '50 x 6星曇華娃娃碎片']"
4101003,5星戰姬自選禮盒,"['50 x 5星周瑜碎片', '50 x 5星董卓碎片', '50 x 5星德古拉碎片', '50 x 5星孫悟空碎片', '50 x 5星孟獲碎片', '50 x 5星甘夫人碎片', '50 x 5星司馬懿碎片', '50 x 5星張郃碎片', '50 x 5星鄧艾碎片', '50 x 5星千本櫻碎片', '50 x 5星巴尼拉碎片', '50 x 5星芬里爾碎片', '50 x 5星荀彧碎片', '50 x 5星夏侯惇碎片', '50 x 5星趙雲碎片', '50 x 5星大喬碎片', '50 x 5星夏侯淵碎片', '50 x 5星關羽碎片', '50 x 5星曹植碎片', '50 x 5星貂蟬碎片', '50 x 5星曹操碎片', '50 x 5星張飛碎片', '50 x 5星陸遜碎片', '50 x 5星銀月碎片', '50 x 5星龍胤·曹操碎片', '50 x 5星偃月碎片', '50 x 5星漢靈帝碎片', '50 x 5星織田信長碎片', '50 x 5星姜維碎片', '50 x 5星豐臣秀吉碎片', '50 x 5星伊達政宗碎片', '50 x 5星方天碎片', '50 x 5星漢獻帝碎片', '50 x 5星左慈碎片', '50 x 5星黃月英碎片', '50 x 5星圖靈碎片', '50 x 5星青羽蛻夢·魏延碎片', '50 x 5星黃忠碎片', '50 x 5星許褚碎片', '50 x 5星劉表碎片', '50 x 5星蔡文姬碎片', '50 x 5星祝融碎片', '50 x 5星郭嬛碎片', '50 x 5星孫尚香碎片', '50 x 5星呂蒙碎片', '50 x 5星諸葛亮碎片', '50 x 5星呂玲綺碎片', '50 x 5星赤蓮碎片']"
4101004,5星戰姬自選禮盒,"['50 x 5星周瑜碎片', '50 x 5星董卓碎片', '50 x 5星德古拉碎片', '50 x 5星孫悟空碎片', '50 x 5星孟獲碎片', '50 x 5星甘夫人碎片', '50 x 5星司馬懿碎片', '50 x 5星張郃碎片', '50 x 5星鄧艾碎片', '50 x 5星千本櫻碎片', '50 x 5星巴尼拉碎片', '50 x 5星芬里爾碎片', '50 x 5星荀彧碎片', '50 x 5星夏侯惇碎片', '50 x 5星趙雲碎片', '50 x 5星大喬碎片', '50 x 5星夏侯淵碎片', '50 x 5星關羽碎片', '50 x 5星曹植碎片', '50 x 5星貂蟬碎片', '50 x 5星曹操碎片', '50 x 5星張飛碎片', '50 x 5星陸遜碎片', '50 x 5星銀月碎片', '50 x 5星龍胤·曹操碎片', '50 x 5星偃月碎片', '50 x 5星漢靈帝碎片', '50 x 5星織田信長碎片', '50 x 5星姜維碎片', '50 x 5星豐臣秀吉碎片', '50 x 5星伊達政宗碎片', '50 x 5星方天碎片', '50 x 5星漢獻帝碎片', '50 x 5星左慈碎片', '50 x 5星黃月英碎片', '50 x 5星圖靈碎片', '50 x 5星青羽蛻夢·魏延碎片', '50 x 5星王異碎片', '50 x 5星黃忠碎片', '50 x 5星許褚碎片', '50 x 5星劉表碎片', '50 x 5星蔡文姬碎片', '50 x 5星祝融碎片', '50 x 5星郭嬛碎片', '50 x 5星孫尚香碎片', '50 x 5星呂蒙碎片', '50 x 5星諸葛亮碎片', '50 x 5星呂玲綺碎片', '50 x 5星赤蓮碎片', '50 x 5星克瑞絲碎片']"
4101005,萬聖戰姬自選禮盒,"['50 x 5星德古拉碎片', '50 x 5星司馬懿碎片', '50 x 5星戰姬碎片']"
4101006,感恩節戰姬自選禮盒,"['50 x 5星鄧艾碎片', '50 x 5星千本櫻碎片', '50 x 5星甘夫人碎片', '50 x 5星司馬懿碎片', '50 x 5星巴尼拉碎片', '50 x 5星張郃碎片', '50 x 5星芬里爾碎片', '50 x 5星荀彧碎片', '50 x 5星曹操碎片', '50 x 5星趙雲碎片', '50 x 5星張飛碎片', '50 x 5星陸遜碎片', '50 x 5星貂蟬碎片', '50 x 5星銀月碎片', '50 x 5星龍胤·曹操碎片', '50 x 5星漢靈帝碎片', '50 x 5星漢獻帝碎片', '50 x 5星織田信長碎片', '50 x 5星方天碎片', '50 x 5星黃月英碎片', '50 x 5星左慈碎片', '50 x 5星圖靈碎片', '50 x 5星青羽蛻夢·魏延碎片', '50 x 5星黃忠碎片', '50 x 5星蔡文姬碎片', '50 x 5星郭嬛碎片', '50 x 5星諸葛亮碎片', '50 x 5星呂玲綺碎片', '50 x 5星赤蓮碎片']"
4101007,5星戰姬自選禮盒（拉芙麗漂流記第1期）,"['50 x 5星鄧艾碎片', '50 x 5星千本櫻碎片', '50 x 5星甘夫人碎片', '50 x 5星司馬懿碎片', '50 x 5星巴尼拉碎片', '50 x 5星張郃碎片', '50 x 5星芬里爾碎片', '50 x 5星荀彧碎片', '50 x 5星曹操碎片', '50 x 5星趙雲碎片', '50 x 5星張飛碎片', '50 x 5星陸遜碎片', '50 x 5星貂蟬碎片', '50 x 5星銀月碎片', '50 x 5星龍胤·曹操碎片', '50 x 5星漢靈帝碎片', '50 x 5星漢獻帝碎片', '50 x 5星織田信長碎片', '50 x 5星方天碎片', '50 x 5星黃月英碎片', '50 x 5星左慈碎片', '50 x 5星圖靈碎片', '50 x 5星青羽蛻夢·魏延碎片', '50 x 5星王異碎片', '50 x 5星黃忠碎片', '50 x 5星蔡文姬碎片', '50 x 5星郭嬛碎片', '50 x 5星諸葛亮碎片', '50 x 5星呂玲綺碎片', '50 x 5星赤蓮碎片', '50 x 5星克瑞絲碎片']"
