id,get_chapter,get_banner,get_cover_url,time
1,Épisode 1,https://mhome.carolgames.com/assets/img/upload/115/banner1.png?,https://mhome.carolgames.com/assets/img/upload/115/cover_001.png?width=200&height=182,0
2,Épisode 2,https://mhome.carolgames.com/assets/img/upload/115/banner_002.png?width=500&height=200,https://mhome.carolgames.com/assets/img/upload/115/cover_002.png?width=500&height=200,0
3,Épisode 3,https://mhome.carolgames.com/assets/img/upload/115/banner_003.png?width=226&height=206,https://mhome.carolgames.com/assets/img/upload/115/cover_003.png?width=200&height=182,1538697600
4,Épisode 4,https://mhome.carolgames.com/assets/img/upload/115/banner_004.png?width=226&height=206,https://mhome.carolgames.com/assets/img/upload/115/cover_004.png?width=200&height=182,0
5,Épisode 5,https://mhome.carolgames.com/assets/img/upload/115/banner_005.png?width=226&height=206,https://mhome.carolgames.com/assets/img/upload/115/cover_005.png?width=200&height=182,0
6,Épisode 6,https://mhome.carolgames.com/assets/img/upload/115/banner_006.png?width=226&height=206,https://mhome.carolgames.com/assets/img/upload/115/cover_006.png?width=200&height=182,0
7,Épisode 7,https://mhome.carolgames.com/assets/img/upload/115/banner_007.png?width=226&height=206,https://mhome.carolgames.com/assets/img/upload/115/cover_007.png?width=200&height=182,0
8,Épisode 8,https://mhome.carolgames.com/assets/img/upload/115/banner_008.png?width=226&height=206,https://mhome.carolgames.com/assets/img/upload/115/cover_008.png?width=200&height=182,0
9,Épisode 9,https://mhome.carolgames.com/assets/img/upload/115/banner_009.png?width=226&height=206,https://mhome.carolgames.com/assets/img/upload/115/cover_009.png?width=200&height=182,0
10,Épisode 10,https://mhome.carolgames.com/assets/img/upload/115/banner_010.png?width=226&height=206,https://mhome.carolgames.com/assets/img/upload/115/cover_010.png?width=200&height=182,0
11,Épisode 11,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/banner_011g.png?width=226&height=206,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/cover_011g1.png?width=200&height=182,0
12,Épisode 12,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/banner_012g1.png?width=226&height=206,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/cover_012g.png?width=200&height=182,0
13,Épisode 13,https://mhome.carolgames.com/assets/img/upload/115/banner_013.png?width=226&height=206,https://mhome.carolgames.com/assets/img/upload/115/cover_013.png?width=200&height=182,0
14,Épisode 14,https://pfres.carolgames.com/common/assets/upload/img/115/banner_014.png?width=226&height=206,https://pfres.carolgames.com/common/assets/upload/img/115/cover_014.png?width=200&height=182,0
15,Épisode 15,https://pfres.carolgames.com/common/assets/upload/img/115/banner_015.png?width=226&height=206,https://pfres.carolgames.com/common/assets/upload/img/115/cover_015.png?width=200&height=182,0
16,Épisode 16,https://pfres.carolgames.com/common/assets/upload/img/115/banner_016.png?width=226&height=206,https://pfres.carolgames.com/common/assets/upload/img/115/cover_016.png?width=200&height=182,0
17,Épisode 17,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/banner_017.png?width=226&height=206,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/cover_017.png?width=200&height=182,0
18,Épisode 18,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/banner_018.png?width=226&height=206,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/cover_018.png?width=200&height=182,0
19,Épisode 19,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/banner_019.png?width=226&height=206,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/cover_019.png?width=200&height=182,0
20,Épisode 20,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/banner_020.png?width=226&height=206,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/cover_020.png?width=200&height=182,0
21,Épisode 21,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/banner_021.png?width=226&height=206,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/cover_021.png?width=200&height=182,1549584000
22,Épisode 22,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/banner_022.png?width=226&height=206,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/cover_022.png?width=200&height=182,0
23,Épisode 23,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/banner_023.png?width=226&height=206,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/cover_023.png?width=200&height=182,0
24,Épisode 24,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/banner_024.png?width=226&height=206,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/cover_024.png?width=200&height=182,0
25,Épisode 25,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/banner_025.png?width=226&height=206,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/cover_025.png?width=200&height=182,0
26,Épisode 26,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/banner_026.png?width=226&height=206,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/cover_026.png?width=200&height=182,0
