id,mission_des
1,Utiliser l'Alchimie 1 fois pour obtenir des Pièces
2,Utiliser le Distributeur Normal 2 fois
3,Terminer 2 Jobs
4,Synthétiser 3\nÉquipements
5,Tirer 1 Capsule Normale
6,Tirer 1 Capsule Avancée\n (≠ Capsule à Souhait)
7,Combattre 3 fois dans l'Arène
8,Collecter 5 fois le butin dans la Campagne
9,Terminer 2 Quiz dans les Quiz Quotidiens
10,Envoyer 5 Cœurs
11,Terminer toutes les Quêtes Jouranlières
12,Gagner 15 fois dans\nl'Arène
13,Terminer 10 fois Graduer (ou Éveiller/Libérer)
14,Entrer 2 fois dans le Sanctuaire
15,Vaincre 1 Ami BOSS
16,Terminer 3 jobs de 5 étoiles ou plus
17,Augmenter 10 points du Confort du Dortoir
18,Finir toutes les Quêtes pendant 7 j. consécutifs
19,Obtenir 1 Fille 10\nétoiles
20,"Obtenir 3 skins différents (Les skins 6, 10 étoiles exclus)"
21,Améliorer 10 fois\nl'Antiquité
22,Finir 5 jobs 7 étoiles
23,Gagner 150 fois dans\nl'Arène
24,Utilisez 30 Sceaux
25,Synthétiser 15\nÉquipements
26,Récolter les ressources\ndu dortoir 1 fois
