id,name,charge,currency,show_name
1,Carte Mensuelle,16.99,€,Carte Mensuelle
2,Petite Carte Mensuelle,5.49,€,Petite Carte Mensuelle
3,Carte Hebdomadaire,1.09,€,Carte Hebdomadaire
4,Pack de 250 Gemmes,5.49,€,Pack de Gemmes
5,Pack de 500 Gemmes,10.99,€,Pack de Gemmes
6,Pack de 1000 Gemmes,21.99,€,Pack de Gemmes
7,Pack de 2500 Gemmes,54.99,€,Pack de Gemmes
8,Pack de 5000 Gemmes,109.99,€,Pack de Gemmes
9,Pack de Niv.24,2.29,€,Pack de Niv.24
10,Pack de Niv.32,5.49,€,Pack de Niv.32
11,Pack de Niv.48,10.99,€,Pack de Niv.48
12,Pack de Niv.58,32.99,€,Pack de Niv.58
13,Pack de Niv.78,54.99,€,Pack de Niv.78
14,Pack d'Entraînement de Filles 4 étoiles,5.49,€,Pack d'Entraînement de Filles 4 étoiles
15,Pack d'Entraînement de Filles 5 étoiles,10.99,€,Pack d'Entraînement de Filles 5 étoiles
16,Pack Mensuel 1,5.49,€,Pack\nMensuel
17,Pack Mensuel 2,10.99,€,Pack\nMensuel
18,Pack Mensuel 3,32.99,€,Pack\nMensuel
19,Pack Mensuel 4,54.99,€,Pack\nMensuel
20,Pack Mensuel 5,74.99,€,Pack\nMensuel
89,Pack Mensuel 7,109.99,€,Pack\nMensuel
22,Pack Hebdomadaire 1,10.99,€,Pack Hebdomadaire
23,Pack Hebdomadaire 2,21.99,€,Pack Hebdomadaire
24,Pack Hebdomadaire 3,54.99,€,Pack Hebdomadaire
25,Pack Hebdomadaire 4,74.99,€,Pack Hebdomadaire
26,Pack de Grande Valeur 1,109.99,€,Pack de Grande Valeur
27,Pack de Grande Valeur 2,74.99,€,Pack de Grande Valeur
28,Pack de Grande Valeur 3,32.99,€,Pack de Grande Valeur
29,Pack de Grande Valeur 4,10.99,€,Pack de Grande Valeur
30,Pack de Grande Valeur 5,5.49,€,Pack de Grande Valeur
31,Pack de Grande Valeur 1,109.99,€,Pack de Grande Valeur
32,Pack de Grande Valeur 2,74.99,€,Pack de Grande Valeur
33,Pack de Grande Valeur 3,32.99,€,Pack de Grande Valeur
34,Pack de Grande Valeur 4,21.99,€,Pack de Grande Valeur
36,Pack de Grande Valeur 5,5.49,€,Pack de Grande Valeur
69,Pack de Grande Valeur 6,5.49,€,Pack de Grande Valeur
35,Pack de Recharge Gratuit,2.29,€,Pack de Recharge Gratuit
37,Pack Limité de Filles 5 étoiles,1.09,€,Pack Limité de Filles 5 étoiles
38,Abonnement,0.99,€,Abonnement
39,Carte du Vendredi Noir,10.99,€,Carte du 3ème Anniversaire
40,Abonnement Hebdomadaire,0.99,€,Abonnement Hebdomadaire
41,Mensuel,4.49,€,Mensuel
42,Trimestriel,10.49,€,Trimestriel
43,Pack Mensuel 1,5.49,€,Pack\nMensuel
44,Pack Mensuel 2,10.99,€,Pack\nMensuel
45,Pack Mensuel 3,32.99,€,Pack\nMensuel
46,Pack Mensuel 4,54.99,€,Pack\nMensuel
47,Pack Mensuel 5,74.99,€,Pack\nMensuel
48,Pack Mensuel 6,89.99,€,Pack\nMensuel
49,Pack Hebdomadaire 1,10.99,€,Pack Hebdomadaire
50,Pack Hebdomadaire 2,21.99,€,Pack Hebdomadaire
51,Pack Hebdomadaire 3,54.99,€,Pack Hebdomadaire
52,Pack Hebdomadaire 4,74.99,€,Pack Hebdomadaire
53,Abonnement Hebdomadaire,0.99,€,Abonnement Hebdomadaire
54,Mensuel,4.49,€,Mensuel
55,Trimestriel,10.49,€,Trimestriel
56,Pack Surprise de Skin 1,5.49,€,Pack\nSurprise
57,Pack\nSurprise 1,5.49,€,Pack\nSurprise
65,Pack\nSurprise 2,54.99,€,Pack\nSurprise
58,7 jours Gratuit,0,€,7 jours Gratuit
59,7 jours Gratuit,0,€,7 jours Gratuit
60,7 jours Gratuit,0,€,7 jours Gratuit
61,7 jours Gratuit,0,€,7 jours Gratuit
62,7 jours Gratuit,0,€,7 jours Gratuit
63,7 jours Gratuit,0,€,7 jours Gratuit
64,Pack d'Etape,10.99,€,Pack d'Etape
66,Bague de Serment,21.99,€,Bague de Serment
67,Pack de Croissance,10.99,€,Pack de Croissance
68,Pack de Grande Valeur 6,5.49,€,Pack de Grande Valeur
70,Débloquer Récompenses Spéciales,21.99,€,Débloquer des Récompenses Spéciales
71,Pack Surprise de Skin 2,54.99,€,Pack\nSurprise
72,Carte du 3ème Anniversaire,21.99,€,Carte du 3ème Anniversaire
73,Pack Exclusif de Noël,54.99,€,Pack Exclusif de Noël
74,Programme de Motivation,10.99,€,Programme de Motivation
75,Pack de Serment,32.99,€,Pack de Serment
76,Pass de Luxe,10.99,€,Pass de Luxe
1010101,Pack de Niv.24,2.29,€,Pack de Niv.24
1010201,Pack de Niv.32,5.49,€,Pack de Niv.32
1010301,Pack de Niv.48,10.99,€,Pack de Niv.48
1010401,Pack de Niv.58,10.99,€,Pack de Niv.58
1010402,Pack de Niv.58,32.99,€,Pack de Niv.58
1010403,Pack de Niv.58,54.99,€,Pack de Niv.58
