id,name,from,content
1,Arène Journalière,Courrier de l'Arène,"Félicitations, vous avez atteint la {2}e place dans l'Arène du {1}, voici vos récompenses !"
2,Fin de Saison,Courrier de l'Arène,"En tant que représentant de l'Académie Yume, je voudrais vous féliciter pour avoir atteint la {1}e place dans l'Arène, voici vos récompenses !"
3,Bonus de Nouveau Serveur,Courrier du Système,"Durant l'événement, connectez-vous chaque jour pour obtenir Gemme x50, Ticket du Distributeur x2, Ticket de l'Arène x2, voici vos récompenses !"
4,Carte Mensuelle,Carte Mensuelle,"Félicitations ! Du {1}, vous obtiendrez 370 Gemmes tous les jours à 00:00 (GMT 0). Les Gemmes du premier jour vous seront envoyées directement après l'achat."
5,Carte Mensuelle,Carte Mensuelle,"Cher Senpai VIP{1}, voici vos récompenses de la journée. Votre Carte Mensuelle expirera dans {2} jours."
6,La Carte Mensuelle a expiré,Carte Mensuelle,"Cher Senpai, votre Carte Mensuelle a expiré. Allez dans la Foire pour renouveler votre abonnement. Avec l'abonnement vous obtiendrez 13 fois plus de Gemmes qu'en achetant individuellement."
7,Petite Carte Mensuelle,Petite Carte Mensuelle,"Félicitations ! Du {1}, vous obtiendrez 85 Gemmes tous les jours à 00:00 (GMT 0). Les Gemmes du premier jour vous seront envoyées directement après l'achat."
8,Petite Carte Mensuelle,Petite Carte Mensuelle,"Cher Senpai, voici vos récompenses. Votre Petite Carte Mensuelle expirera dans {1} jours."
9,Petite Carte Mensuelle a expiré,Petite Carte Mensuelle,"Dear Senpai, votre Petite Carte Mensuelle a expiré. Allez dans la Foire pour renouveler votre abonnement. Avec l'abonnement vous obtiendrez 10 fois plus de Gemmes qu'en achetant individuellement."
10,Recruter une Fille,Recrutement,Félicitations vous avez recruté {1} Filles durant l'événement. Voici vos récompenses.
11,Récompense Quotidienne,Courrier du Système,"Durant l'événement, connectez-vous chaque jour pour obtenir Capsule Avancée*3, voici vos récompenses."
12,Points de capsules,Courrier du Système,"Félicitations ! Vous avez tiré Capsules Avancées {1} fois dans l'événement Capsule de Nouvelle Fille, veuillez collecter les récompenses !"
13,Récompense Quotidienne,Courrier du Système,"Durant l'événement, connectez-vous chaque jour pour obtenir Sceau x1. Voici votre récompense."
14,Recrutement,Courrier du Système,"Félicitations vous avez obtenu {1} points pendant l'événement de recrutement, voici vos récompenses"
15,Combat de BOSS,Courrier du Système,"Félicitations pour avoir tué l'Ami BOSS, voici vos récompenses"
16,Ami BOSS,Courrier du Système,"L'Ami BOSS a été vaincu, félicitations vous avez obtenus les récompenses suivantes"
17,Classement d'Aide,Courrier du Système,Félicitations ! Vous avez atteint la {1}e place en aidant un ami. Voici vos récompenses
18,Rassemblement,Courrier du Système,Félicitations ! Vous avez atteint un objectif lors du rassemblement des Filles. Voici vos récompenses
19,Remise de Recharge de la Béta,Courrier du Système,"Merci d'avoir acheté {1}, voici vos récompenses bonus !"
20,Loterie,Courrier du Système,"Félicitations ! Vous avez obtenu {1} points durant l'Evénement de Bonus de Distributeur, voici vos récompenses ! Veuillez les récupérer !"
21,Récompense Quotidienne,Courrier du Système,"Pendant l'événement, connectez-vous quotidiennement pour recevoir Ticket Avancé du Distributeur *1, Orbe Élémentaire *100 et Baguette *1. Voici vos récompenses."
22,Récompense de Jobs,Courrier du Système,"Félicitations ! Vous avez fini un Job {1} étoiles durant l'événement, voici vos récompenses."
23,Avis de Recharge,Courrier du Système,"Merci d'avoir acheté {1}, vos récompenses ont été envoyés dans votre sac."
24,Récompense Quotidienne,Courrier du Système,"Pendant l'événement, connectez-vous quotidiennement pour recevoir Gouvernail *5, Gemme *150 et Carte à gratter *1. Voici vos récompenses."
25,Bataille dans l'Arène,Courrier du Système,Félicitations ! Vous avez atteint un objectif durant l'événement. Voici vos récompenses.
26,Abonnement,Pass de Pièces Hebdomadaire,Félicitations ! Vous avez désormais un Pass de Pièces Hebdomadaire. Votre butin de Pièces augmentera de 100% pour les prochaines 168 heures. Ce bonus peut-être combiné avec celui des bénéfices VIP
27,L'abonnement se termine,Pass de Pièces Hebdomadaire,Votre Pass de Pièces Hebdomadaire se termine aujourd'hui. Veuillez renouveler votre abonnement pour continuer à profiter des bénéfices. Les Pièces du butin sont augmentés de 100% lorsque l'abonnement est actif !
28,Graduer et Eveiller,Courrier du Système,Félicitations ! Vous avez gradué {1} Filles 5 étoiles. Voici vos récompenses.
29,Graduer et Eveiller,Courrier du Système,Félicitations ! Vous avez gradué {1} Filles 6 étoiles. Voici vos récompenses.
30,BOSS de la Guilde,Courrier de la Guilde,"Félicitations ! Votre Guilde a vaincu le BOSS. Voici vos récompenses concernant votre classement, veuillez les collecter !"
31,BOSS de la Guilde,Courrier de la Guilde,Félicitations ! Vous avez vaincu le BOSS de la Guilde. Voici vos récompenses.
32,BOSS de Guilde,Courrier de la Guilde,"Vous avez vaincu ce BOSS plusieurs fois, vous ne pouvez plus recevoir de récompenses."
33,Nomination au poste de Chef,Courrier de la Guilde,{1} n'est plus le Chef de la Guilde. {2} est le nouveau Chef de la Guilde {3}
34,Nomination au poste de Second,Courrier de la Guilde,Vous avez été nommé Second de la Guilde {1}
35,Licenciement du poste de Second,Courrier de la Guilde,Vous n'êtes plus le Second de la Guilde {1}
36,Banni de la Guilde,Courrier de la Guilde,Vous avez été banni. Vous n'êtes plus un membre de la Guilde {1}
37,Guilde Dissoute,Courrier de la Guilde,La Guilde {1} a été dissoute. Vous n'avez désormais plus de Guilde
38,Rejoindre la Guilde,Courrier de la Guilde,Félicitations ! Vous avez rejoint la Guilde {1} !
39,Récompense Quotidienne,Courrier du Système,"Pendant l'événement Labo Alchimique de Valeera, connectez-vous tous les jours pour obtenir Orbes Élémentaires *100, Ticket de jeu *1. N'oubliez pas de les récupérer Senpai !"
40,Fin de Saison,Courrier de l'Arène,"En tant que représentant de l'Académie Yume, je voudrais vous féliciter pour avoir atteint la {1}e place dans l'Arène d'Elite, voici vos récompenses !"
41,Arène d'Elite,Courrier du Système,"Cher Senpai, l'Arène d'Elite est disponible. Voici 5 Tickets. Bonne chance sur la route de la Gloire !"
42,Pratique Extra-Scolaire,Courrier du Système,Félicitations ! Vous avez atteint la {1}e place dans la Pratique Extra-Scolaire ! Voici vos récompenses !
43,Pratique Extra-Scolaire,Courrier du Système,Vous avez fini la Pratique Extra-Scolaire ! Voici vos récompenses !
44,Fabrication Artisanale,Courrier du Système,Vous avez fini votre Fabrication Artisanale dans la Pratique Extra-Scolaire. Voici vos récompenses !
45,Exploration,Courrier du Système,Vous avez exploré le monde sauvage ! Voici vos récompenses.
46,L'Arène d'Elite se termine,Courrier du Système,"Cher Senpai, l'Arène d'Elite se terminera dans 24 heures ! Allez vite dans l'Arène d'Elite pour défendre votre Gloire !"
47,Partage de Voix,Courrier du Système,Merci d'avoir participé à l'événement de Voix ! Voici vos récompenses.
48,Récompense Quotidienne,Courrier du Système,"Connectez-vous chaque jour durant l'événement pour recevoir 1*Ticket du Distributeur, 5*Sablier. Voici vos récompenses."
49,Pratique Extra-Scolaire,Courrier du Système,"Senpai ! La Pratique Extra-Scolaire commence ici, nous vous offrons 4*Sablier afin que vous puissiez prendre part à l'événement !"
50,Arène 3v3 est disponible,Courrier de l'Arène,"Senpai ! L'Arène 3v3 est désormais disponible, allez-y vite vous battre !"
51,L'Arène 3v3 se termine,Courrier de l'Arène,"Cher Senpai, l'Arène 3v3 se terminera dans 24 heures ! Allez vite dans l'Arène 3v3 pour défendre votre Gloire !"
52,Fin de Saison,Courrier de l'Arène,"En tant que représentant de l'Académie Yume, je voudrais vous féliciter pour avoir atteint la {1}e place dans l'Arène 3v3, voici vos récompenses !"
53,Demande acceptée,Courrier de l'Arène,Senpai ! Votre demande pour rejoindre l'Arène 3v3 a été accepté ! Allez-vite voir votre équipe !
54,Changer le Chef,Courrier de l'Arène,Senpai ! Vous êtes désormais le Chef de votre équipe ! Faites-voir à tous votre potentiel de Chef !
55,Alerte d'Expulsion,Courrier de l'Arène,Senpai ! Le Chef de l'équipe vous a expulsé de l'équipe. Veuillez rejoindre ou créer une nouvelle équipe
56,Abonnement réussi,Abonnement,"Félicitations ! Vous êtes désormais abonné ! Vous pourrez désormais obtenir 100% plus de pièces dans l'Auto-Bataille. Ce bénéfice s'accumule avec celui du bonus VIP ! Après 1 semaine, le coût de votre abonnement sera déduit automatiquement. Si vous annulez l'abonnement vous bénéficierez tout de même du bonus pour le reste de la semaine. L'abonnement doit-être annulé manuellement. Aller dans l'interface d'événement pour annuler."
57,Point de la Bataille de Guilde,Courrier du Système,Félicitations ! Votre Guilde s'est classée {1}e dans la Bataille de Guilde. Voici vos récompenses.
58,Final de la Bataille de Guilde,Courrier du Système,Félicitations ! Votre Guilde s'est classée {1}e dans la Finale de la Bataille de Guilde. Voici vos récompenses.
59,Final de la Bataille,Courrier du Système,Félicitations ! Votre Guilde a atteint la Deuxième Place dans la Bataille de Guilde ! Voici vos récompenses !
60,Final de la Bataille,Courrier du Système,Félicitations ! Votre Guilde est Championne de la Bataille de la Guilde. Voici vos récompenses.
61,Carte du 3ème Anniversaire,Courrier du Système,"Vous êtes un joueur au niveau {1}, voici vos récompenses d'aujourd'hui, veuillez les collecter. Votre Carte du 3ème Anniversaire expirera dans {3} jours !"
62,Carte Mensuelle Renouvelée,Carte Mensuelle,Félicitations ! Vous avez renouvelé votre carte mensuelle. Votre abonnement actuel finira dans {1} jours
63,Petite Carte Mensuelle Renouvelée,Petite Carte Mensuelle,Félicitations ! Vous avez renouvelé votre petite carte mensuelle. Votre abonnement actuel finira dans {1} jours
64,Evénement de Puzzle,Courrier du Système,Félicitations ! Vous avez complété {1} Puzzles. Voici vos récompenses.
65,Cher Senpai !,Courrier du Système,"En plus de pouvoir parler avec les membres de votre Guilde et vos amis sur le jeu, si vous avez des questions ou des stratégies dont vous voulez discutez avec d'autres Senpais vous pouvez rejoindre notre groupe FB !\n\n[url=""https://www.facebook.com/groups/1465533550276942/?source_id=107810064042302""][c][f95e6a]                    ☞Touchez ici☜[-][/c][/url]"
66,Graduer et Eveiller,Courrier du Système,Félicitations ! Vous avez éveillé {1} jusqu'à 9 étoiles durant l'événement. Voici vos récompenses.
67,Graduer et Eveiller,Courrier du Système,Félicitations ! Vous avez libéré {1} jusqu'à 10 étoiles durant l'événement. Voici vos récompenses.
68,Evénement de Faveur,Courrier du Système,Vous avez atteint 80 de Faveur avec une de vos Filles durant l'événement ! Voici vos récompenses.
69,Evénement de Faveur,Courrier du Système,Vous avez atteint 100 de Faveur avec une de vos Filles durant l'événement ! Voici vos récompenses.
70,Evénement Sous le Cerisier,Courrier du Système,Félicitations ! Vous avez atteint la fin de {1} Rendez-vous. Voici vos récompenses.
71,Gagnez les Cœurs,Courrier du Système,Félicitations ! Vous avez utilisé {1} Bulletin d'amour. Voici vos récompenses.
72,Déco. de Dortoir,Courrier du Système,"Avez votre aide, le nouveau dortoir est fini ! Voici vos récompenses."
73,Le câdeau de gratitude de Ninja,Courrier du Système,"Avec votre aide, Ninja a terminé toutes ses missions de décoration. Voici vos récompenses."
74,Gratitude d'Iron Fist,Courrier du Système,"Avec votre aide, Iron Fist a terminé toutes ses missions de décoration. Voici vos récompenses."
75,Gratitude de Pandaria,Courrier du Système,"Avec votre aide, Pandaria a terminé toutes ses missions de décoration. Voici vos récompenses."
76,Capsule de Nouveau Serveur,Courrier du Système,"Senpai, vous avez obtenus {1} points dans l'Evenement de Récompense de Capsule de Nouveau Serveur. Voici vos récompenses."
77,L'Histoire de l'Académie Yume,Courrier du Système,Félicitations ! Vous avez atteint le Chapitre {1} de la Campagne ! Voici vos récompenses.
78,Approvisionnement,Courrier du Système,Félicitations ! Vous avez obtenu {1} points dans l'événement d'Approvisionnement d'Equipement. Voici vos récompenses.
79,Point de l'Anniversaire,Courrier du Système,Félicitations ! Vous avez obtenu {1} points dans Cérémonie de Machine à sous . Voici vos récompenses.
80,Bonus de Sécurité,Courrier du Système,"Vous avez été vaincu par le BOSS du Chaos, obtenez ces provisions et réessayer !"
81,Bonus de Sécurité,Courrier du Système,"Vous avez infligé beaucoup de dégâts au BOSS du Chaos, il est en train de battre en retraite. Prenez ceci et poursuivez-le !"
82,Bonus de Sécurité,Courrier du Système,Vous avez purifié le BOSS du Chaos et êtes entré dans une zone encore plus dangereuse. Voici vos récompenses.
83,Questionnaire,Courrier du Système,Merci d'avoir rempli le questionnaire ! Voici vos récompenses.
84,Fête de la musique,Courrier du Système,Félicitations ! Vous avez fini le puzzle de la Fête de la Musique et vous avez obtenu Nani Skin Concert de Rock. Voici vos récompenses.
85,Programme de Motivation,Courrier du Système,Félicitations ! Vous avez atteint le Niv.{1}. Voici vos récompenses.
86,Show,Courrier du Système,Félicitations ! Vous avez débloqué le mode difficile du Show en direct ! Vous avez obtenu Hexa Skin Tambour.
87,Classement du Show,Courrier du Système,Félicitations ! Vous vous êtes classé {1}e dans le mode difficile du Show en direct ! Voici vos récompenses.
88,Arène Ultime Ouverte,Courrier du Système,Cher Senpai ! La nouvelle saison de l'Arène Ultime a commencé ! Vous pourrez parier après que la Phase de Qualification débute.
89,Equipe Qualifié,Courrier du Système,Félicitations ! Vous vous êtes qualifiés à l'Arène Ultime en groupe ! Préparez vite votre formation !
90,Pari raté,Courrier du Système,"Vous n'avez pas de chance, le joueur {1} que vous aviez choisi n'a pas gagné ce match de l'Arène Ultime. Bon courage pour vos paris suivants !"
91,Pari réussi,Courrier du Système,Félicitations ! Le joueur {1} a gagné cette manche ! Voici vos récompenses.
92,Chapitre Terminé,Courrier du Système,Félicitations ! Vous avez fini le Chapitre {1} dans l'Observateur de la Librairie. Voici vos récompenses.
93,Classement des Recherches,Courrier du Système,Félicitations ! Vous avez atteint la {1}e place dans la Recherche des Classiques. Voici vos récompenses.
94,Points des Recherches,Courrier du Système,Félicitations ! Vous avez obtenu {1} Points dans la Recherche des Classiques. Voici vos récompenses.
95,Questionnaire,Courrier du Système,Merci d'avoir rempli le questionnaire ! Voici vos récompenses.
96,Nouveau Skin Débloqué,Courrier du Système,Cher Senpai. Vous avez débloqué le Skin {2} de {1} !
97,"Récompense de ""Le Tyran de Volcan""",Courrier du Système,"Félicitations Senpai, vous avez réussi fini le Chapitre {1} de ""Le Tyran du Volcan"", voici votre récompense"
98,Événement Mensuel,Courrier du Système,Félicitations vous avez réussi les Jobs dans l'Événement Mensuel. Voici vos récompenses.
99,Événement Mensuel,Courrier du Système,Félicitations vous avez réussi dans l'Arène pour l'Événement Mensuel. Voici vos récompenses.
100,Evénement Mensuel,Courrier du Système,Félicitations vous avez réussi Graduer et Eveiller pour l'Événement Mensuel. Voici vos récompenses.
101,Événement Mensuel,Courrier du Système,Félicitations vous avez réussi la Pratique Extra-Scolaire pour l'Événement Mensuel. Voici vos récompenses.
102,Bonus de Luxe,Courrier du Système,Félicitations vous avez réussi le Job pour l'Événement Mensuel. Voici vos récompenses de Luxe.
103,Bonus de Luxe,Courrier du Système,Félicitations vous avez réussi dans l'Arène pour l'Événement Mensuel. Voici vos récompenses.
104,Bonus de Luxe,Courrier du Système,Félicitations vous avez réussi Graduer et Eveiller pour l'Événement Mensuel. Voici vos récompenses.
105,Bonus de Luxe,Courrier du Système,Félicitations vous avez réussi la Pratique Extra-Scolaire pour l'Événement Mensuel. Voici vos récompenses.
106,Déverouillage de l'Histoire,Courrier du Système,"Cher Senpai, vous avez débloqué l'étape {1} du Défi de Personnage d'Ithil ! Voici vos récompenses."
107,Rappel d'expulsion,Courrier du Système,"Cher senpai,\nVous avez été expulsé de la Guilde ""{1}"" par le Chef de Guilde ou un Second, allez créer ou rejoindre une autre Guilde !"
