unknown_1,1,enter_dialog,click_dialog1,click_dialog2,click_dialog3,click_dialog4,click_dialog5,click_dialog6
1,Boutique,"Si tu me paies, je pourrais envisager de t'écouter.","Rien est impossible, il suffit d'avoir de l'argent pour se le permettre.",Comment puis-je vous aider ? Tu ne veux rien prendre?... Tu peux partir alors.,"Rien n'est impossible, il suffit d'avoir de l'argent pour se le permettre.",Comment puis-je vous aider ? Vous ne voulez rien prendre?... Vous pouvez partir alors.,"J'accepte de me battre, à condition que le prix y est !",,"J'accepte de me battre, à condition que le prix y est !"
2,Boutique,Qu'est-ce que tu veux ?,J'ai plus de chose à vendre que ce que tu peux t'offrir !,Des coupons de réduction ? Je ne me souviens pas en avoir fait. Je ne les accepte pas !,J'ai plus de chose à vendre que ce que tu peux t'offrir !,Des coupons de réduction ? Je ne me souviens pas en avoir fait. Je ne les accepte pas !,J'ai plus de chose à vendre que ce que tu peux imaginer !,,"Peu importe l'endroit, il suffit qu'il y ait du profit à faire et j'y serais~"
3,Distributeur Normal,Qu'est-ce qui est plus important que la chance ?,Ne tire pas sur mes oreilles ! J'te déteste.,Qu'est-ce qui est plus important que la chance ?,Ne tire pas sur mes oreilles ! J'te déteste.,It's show time~!,Qu'est-ce qui est plus important que la chance ?,,It's show time~
4,Distributeur Avancé,"Senpai, j'ai un cadeau pour toi, si tu en as un pour moi...","N'oublie pas de laisser tes chaussettes au pied du lit, comme ça je pourrais y mettre des cadeaux pour toi !",Je ne donne que du charbon aux méchants garçons !,"Senpai, j'ai un cadeau pour toi, si tu en as un pour moi...","N'oublie pas de laisser tes chaussettes au pied du lit, comme ça je pourrais y mettre des cadeaux pour toi !",Je ne donne que du charbon aux méchants garçons !,,Fais un voeu !
5,Recruter,Le savoir c'est le plus important !,Silence ! On n'a pas le droit de parler en classe !,"Je vais regarder ton travail après ! Si tu n'as pas fait de progrès, je te punirais moi-même !","Pas de bras, pas de chocolat !","Je vais regarder ton travail dans un instant ! Si tu n'as pas fait de progrès, je te punirais moi-même !","Pas de bras, pas de chocolat !",,"Dans les moments important de la vie, il faut utiliser sa tête !"
6,Marché,"Bienvenue, que puis-je faire pour vous ?","Voici les objets en stock, en avez-vous besoin ?",Laissez-moi vous aider avec cela.,"Voici les objets en stock, en avez-vous besoin ?",Laissez-moi vous aider avec cela.,"Bienvenue, que puis-je faire pour vous ?",,"Voici les objets en stock, en avez-vous besoin ?"
7,Boutique de Souvenir,Qu'est-ce que tu veux ?,J'ai plus de chose à vendre que ce que tu peux t'offrir !,Des coupons de réduction ? Je ne me souviens pas en avoir fait. Je ne les accepte pas !,J'ai plus de chose à vendre que ce que tu peux t'offrir !,Des coupons de réduction ? Je ne me souviens pas en avoir fait. Je ne les accepte pas !,J'ai plus de choses à vendre que ce que tu peux imaginer !,,"Peu importe l'endroit, il suffit qu'il y ait du profit à faire et j'y serais~"
8,Sanctuaire,À quel genre de mystère aurons-nous droit aujourd'hui~,"J'ai découvert une zone vraiment mystérieuse à la Grande Bibliothèque d'Ulbricht, je ne l'avais jamais vu auparavant !","Actuellement, nous pouvons utiliser 10% de la puissance du Sanctuaire~","L'énergie du Sanctuaire est encore instable, c'est pour ça qu'il faut faire une pause après chaque utilisation !","L'énergie du Sanctuaire est encore instable, c'est pour ça qu'il faut faire une pause après chaque utilisation !","Actuellement, nous pouvons utiliser 10% de la puissance du Sanctuaire~",,"J'ai découvert une zone vraiment mystérieuse à la Grande Bibliothèque d'Ulbricht, je ne l'avais jamais vu auparavant !"
9,Marchand,Je suis trop riche... Il me faut de l'aide pour dépenser toute ma fortune.,Je suis trop riche... Il me faut de l'aide pour dépenser toute ma fortune.,Je suis trop riche... Il me faut de l'aide pour dépenser toute ma fortune.,Ouragan d'Argent !,Ouragan d'Argent !,Ouragan d'Argent !,,Ouragan d'Argent !
10,Boutique de l'Arène,"Bienvenue, que puis-je faire pour vous ?","Voici les objets en stock, en avez-vous besoin ?",Laissez-moi vous aider avec cela.,"Voici les objets en stock, en avez-vous besoin ?",Laissez-moi vous aider avec cela.,"Bienvenue, que puis-je faire pour vous ?",,"Voici les objets en stock, en avez-vous besoin ?"
31,Gambler,Tu as beaucoup de Coupons. Est-ce que tu veux les échanger ?,"Ah... Saint dépense l'argent trop rapidement, je ne sais vraiment pas comment elle fait pour faire marcher l'organisation... Ah ? Quelle organisation ? C'est un secret~","Pourquoi est-ce que tu me regardes comme ça ? Tu veux aussi faire une partie ? Bien sûr que tu peux, si tu arrives à gagner, je te ferai une réduction. Je rigole, tout le monde sait que personne ne peut me vaincre.","Je suis jalouse quand je vois que tu es content d'obtenir un petit prix à la machine. J'ai tellement gagné de fois le grand prix, que je ne ressens plus rien...",Je préfère gagner des choses d'une autre personne et pas d'une machine. Que dirais-tu de faire un pari contre moi ?,"J'ai perdu un pari une fois, mais c'est difficile à dire si c'était juste de la malchance...",,Bon choix ! Tu seras désormais un pas plus proche de ton objectif...
32,Susan,"Oh ! Salut, Senpai~ J'ai trouvé beaucoup de trésors exotiques durant mes voyages, est-ce que tu es interéssé ?",Se reposer après un voyage est obligatoire ! Après s'être reposé il est temps de reprendre la route !,"Je ne suis jamais fatiguée de mes voyages, mais ça fait du bien d'être de retour à l'Académie de temps en temps !","Je me demande ce qu'Elfe Bourgeon fait en ce moment... J'imagine que oui, c'est stupide de demander, elle doit être occupée avec ses plantes ! J'irai la voir une fois que j'ai fini ici~","Le départ et le retour sont aussi importants l'un que l'autre dans un voyage ! S'il n'y a personne qui t'accompagne à ton départ et qui t'accueille à ton arrivée c'est stupide de partir ! Je suis certaine que toi aussi tu as des gens qui t'attendent, Senpai !","Kong Ming a raison, les bricoles que j'ai rapporté de mon voyage sont vraiment très appréciées des élèves ! Je suis vraiment très heureuse !",,"Tu veux celui-ci ? C'est mon préféré, prends-en bien soin, ok ?"
40,Athena,Bienvenue ! Es-tu interéssé par quelque chose ?,C'est ma première mission en solo depuis que j'ai rejoint le Comité de Discipline... Je ne vous laisserai pas tomber !,"Cela ne fait pas longtemps que j'ai rejoint le Comité de Discipline, donc si je fais des erreurs, n'hésitez pas à me le dire !","Les filles sont occupées avec quelque chose d'important, elles m'ont donc demandé de m'occuper de la boutique temporairement... Quoi ? Elles sont en train de discuter dans au Café ? Je suis certaine qu'elles discutent de quelque chose d'important...",Senpai tu as été très bon lors de l'Examen des Maisons ! Je me demande si un jour moi aussi je pourrai y participer... Ou même devenir une Examinatrice...,"Ah ? Qu'est-ce que ?! Athena au rapport ! Il n'y a aucun problème ici ! ... Ah, c'est toi... Je pensais que c'était Michael... Elle m'aurait tué si elle m'avait vue la tête dans les nuages...",,Voici pour vous ! N'hésitez pas à revenir une prochaine fois !
44,Kong Ming,"Bienvenue~ Voici tout ce que l'Union Étudiante a à offrir, n'hésitez pas à choisir ce que vous désirez~","Pourquoi est-ce que je dois m'occuper de ce magasin, alors que je suis la présidente de l'Union Etudiante ? J'ai encore plein de choses à faire...","En principe, l'Union Étudiante encourage les élèves à ouvrir leurs propres boutiques dans la Rue des Boutiques, mais certaines de ces boutiques sont vraiment étranges.","Y a-t-il quelque chose qui te plaît ? Ne t'inquiètes pas, prends ton temps. La satisfaction du client est le plus important !","Le profit des boutiques sera utilisé pour l'Académie. Tu vas nous aider également, non ? Ne pense même pas à t'échapper, ton nom est déjà sur la liste.","Hmmm... Cela fonctionnera bien pour cette réunion... Quant à la prochaine fois... Oups, je suis désolée, Senpai, Est-ce que tu as choisi ?",Merci d'avoir discuté avec moi~,"Tiens, je l'ai déjà emballé. Je suis certaine que c'est ce que tu aurais pris !"
45,Saint,"Bienvenue, fais-donc moi voir ce que tu as obtenu durant tes nombreuses victoires !","La victoire est satisfaisante, mais le plus important est ce que tu fais après cette victoire.",Les compétitions entre les différents élèves n'est rien d'autre qu'un jeu. La vraie guerre ne ressemble en rien à ça.,"Pourquoi tu hésites ? Dans une situation d'urgence, tu n'auras pas le temps de réfléchir à toutes les possibilités.","Tu veux celui-là ? Euh... Je sais que ça fait partie de mes responsabilités, mais je ne supporte pas qu'on me donne des ordres...",Tsss... Je ne devrais pas perdre mon temps à faire un travail à temps partiel... Mais j'ai besoin d'argent...,,"Tiens, profiter de la victoire c'est aussi la responsabilité du vainqueur."
47,Maidam,"Bien le bonjour, Maître~ Tu veux un expresso ?",J'ai entendu parler d'une élève légendaire qui était également une femme de ménage dans le passé... Je rêve de pouvoir la rencontrer.,"Ici c'est le Café, les gens viennent ici pour se reposer et discuter~","Maître, es-tu prêt à passer ta commande ? Quoi ? Tu me veux moi ? Je suis désolée je ne peux pas accepter pendant que je travaille... !","Beaucoup d'élèves aiment venir ici pendant leurs temps libres, pourquoi ne vas-tu pas parler avec elles ?","Beaucoup d'élèves aiment venir ici pendant leurs temps libres, pourquoi ne vas-tu pas parler avec elles ?","Maître, toutes les commandes peuvent être répétées. La nouveau fille visitera également le café après son arrivée à l'académie, tu devrais venir jouer souvent!","Merci beaucoup, Maître~ Prends ton temps et relaxe toi bien~"
