id,name,title,text
1,Toy Girl,Secret,"
[c][f55090]Anniversaire：[-][/c]6 Mai
[c][f55090]Âge(en apparence)：[-][/c]14
[c][f55090]Déteste：[-][/c]Parapluie et Auréole d\'Ange
[c][f55090]Aime：[-][/c]Boisson Démoniaque et Bloc Dinosaure"
2,Toy Girl,Déguisement,"Toy Girl n'a rejoint aucun camp dans l'école. Avec son apparence très mignonne et sa voix très mimi, les gens autour d'elle ont tendance à baisser leur garde. Elle est plutôt populaire parmis les Senpais, et elles ont pour habitude de lui faire des câlins. Elle s'entend bien avec tout le monde y compris avec le Comité de Discipline ou bien avec le camp DEF."
3,Toy Girl,Souvenirs,"Depuis le début du problème du Chaos, Toy Girl devint l'une des infectés car elle aime bien être avec beaucoup de gens différents, mais elle est assez intelligente pour cacher sa mutation. Après avoir passé la période d'incubation de la maladie, elle eut beaucoup plus de souvenir dans sa tête. Même si elle ne sait pas d'où viennent tous ses souvenirs, elle se familiarisa avec toutes les tactiques et stratégies qui apparaissaient dans ses souvenirs. La première fois qu'elle essaya d'utiliser tout ce qu'elle avait appris dans ses souvenirs dans une bagarre, elle gagna."
4,Toy Girl,Alerte !,"Après avoir vu tous les bénéfices qu'elle pouvait en tirer, Toy Girl ne put s'empêcher d'appliquer toutes ces tactiques et ces stratégies afin d'obtenir encore plus de jouets avec lesquels jouer. Ces jouets ne savaient pas que la personne qu'elles aimaient et protégaient les prennaient pour des jouets. Elle ne voulait même plus finir ses études à l'académie Yume, elle ne voulait qu'avoir plus de jouets avec lesquels jouer car ce qu'elle désire le plus c'est d'avoir du contrôle sur les autres !"
5,Amazon,Secret,"
[c][f55090]Anniversaire：[-][/c]21 Août
[c][f55090]Âge(en apparence)：[-][/c]16
[c][f55090]Déteste：[-][/c]Thé Noir et Pièce d\'Échec
[c][f55090]Aime：[-][/c]Fronde et Cactus"
6,Amazon,Caractère,"Amazon est membre du Club de tir à l'arc, elle y va pratiquer le tir à l'arc tous les jours. Il semblerait qu'elle ne soit intéressée par rien d'autre dans la vie. Elle n'aime pas résoudre les problèmes par la parole, elle préfère directement envoyer un avertissement. Lorsqu'elle rencontre un adversaire qui n'est pas aussi facile à intimider, elle préfère recourir à la force."
7,Amazon,Changement de Maison,"Au début, Amazon avait suivi Saint dans DEF, mais les gens disent qu'il s'est passé quelque chose et qu'elle vit la face cachée de Saint, elle quitta donc DEF. Elle reçu rapidement une invitation de Joan et rejoignit le Comité de Discipline."
8,Amazon,Mise à l'Écart ?,"Amazon n'étant pas très bavarde de nature, elle est mise à l'écart par tout le monde, avant la bataille durant les divisions des tâches, elle se voit récupérer la tâche la moins importante. Mais elle n'accepte pas d'être sous-estimée, c'est donc pour cela qu'elle fait plus d'effort en s'entraînant au tir à l'arc. D'après Joan, si elle devient un peu plus puissante, elle se verrait accorder des missions plus importantes par le Comité de Discipline"
9,Hexa,Secret,"
[c][f55090]Anniversaire：[-][/c]Inconnu
[c][f55090]Âge(en apparence)：[-][/c]16
[c][f55090]Déteste：[-][/c]Potion Mystérieuse et Parapluie
[c][f55090]Aime：[-][/c]SF Pistolet et SF Lunettes"
10,Hexa,Justice ?,"Hexa est une jeune fille courageuse et avec le sens de la justice, elle aime faire des recherches scientifiques dans le laboratoire.\nÀ l'origine elle était membre du Comité de Discipline, mais ne se bat que pour la justice et son propre code moral. En se battant avec Saint, il est dit qu'elle fut touchée par sa présence et son charisme, et elle rejoignit DEF"
