id,skill_desc
1001,探険チームの防御力が[c][DE512B]{1}[-][/c]アップする
1002,探険チームのHPが[c][DE512B]{1}[-][/c]アップ、防御力が[c][DE512B]{2}[-][/c]アップし、異界空間内のアイテムマス位置が表示される。
1003,探険チームのHPが[c][DE512B]{1}[-][/c]アップする
1004,探険チームの攻撃力が[c][DE512B]{1}[-][/c]アップする
1005,探険チームの防御力が[c][DE512B]{1}[-][/c]アップする
1006,探険チームのHPが[c][DE512B]{1}[-][/c]アップし、防御力が[c][DE512B]{2}[-][/c]アップする。
1007,探険チームのHPが[c][DE512B]{1}[-][/c]アップし、攻撃力が[c][DE512B]{2}[-][/c]アップする。
1008,探険チームのHPが[c][DE512B]{1}[-][/c]アップ、攻撃力が[c][DE512B]{2}[-][/c]アップし、異界空間内の敵マス位置が表示される。
1009,探険チームの防御力が[c][DE512B]{1}[-][/c]アップし、攻撃力が[c][DE512B]{2}[-][/c]アップする。
1010,探険チームのHPが[c][DE512B]{1}[-][/c]アップ、攻撃力が[c][DE512B]{2}[-][/c]アップ、防御力が[c][DE512B]{3}[-][/c]アップする。
2001,1. 探険チーム攻撃力[c][DE512B]{1}[-][/c]アップ
2002,2. 探険チーム防御力[c][DE512B]{1}[-][/c]アップ
2003,3. 探険チームHP[c][DE512B]{1}[-][/c]アップ
2004,4. 異界空間内のアイテムマス位置を表示
2005,5. 異界空間内の敵マス位置を表示
3001,1. 探険チームの攻撃力がアップします
3002,2. 探険チームの防御力がアップします
3003,3. 探険チームのHPがアップします
