id,text,comment
8032,この名前はすでに使用されています！,
1101,不適切な文字があります,
9001,サーバーエラー、もう一度試してください！,
6001,,
6003,相手のフレンド数が上限に達しています,
6004,このプレイヤーは存在しません,
6005,,
6006,このプレイヤーはすでにフレンドです,
6007,このプレイヤーは現在のサーバーでキャラクターを作成していません,
6008,競技場にはまだチームがいません,
6101,このプレイヤーは他のサークルに入っています,
6102,このサークル名はすでに使用されています,
6103,このサークルは存在しません,
6010,不適切な文字があります,
9002,このアカウントは他のところでログインされました！,
9003,このアカウントはログインを禁止されました！,
6011,このチーム名は既に使用されています！,
6012,このチームは存在しません,
6013,このチームは満員です,
6014,このプレイヤーは他のチームに入っています,
6015,ボスはすでに倒されました！,
6016,マッチングできるサークルはありません,
6017,このサークルにはすでに申込み済みです,
6018,他のサークルに陣容を設定しています,
6019,サークル戦の申し込み人数が上限に達しました,
6020,コメントが禁止されています,
6021,発言が禁止されています,
6022,オートモードのチーム戦闘力が足りません,
6023,コードが存在しません、もう一度確認してください,
6024,該当コードは既に使用されました,
6025,該当アカウントは既にコードを使用しました,
6026,チームが解散されました,
6027,退治期間中、小隊から脱退できません,
6028,退治期間中は招待できません,
6029,退治期間中にメンバーを追放できません,
6030,今週のメンバー追放回数が上限に達しました、追放できません,
6031,今週のチーム加入回数が上限に達しました、加入できません,
6032,該当プレイヤーは今週のチーム加入回数上限に達しました,
6033,該当退治小隊の人数が上限に達しました,
6034,該当プレイヤーは既に小隊に所属しています,
6035,退治期間中に新しいメンバーが加入できません,
6036,このプレイヤーは暫く小隊に加入できません,
6037,不正ツールの使用が検出されました。お手数ですが、運営チームまでご連絡ください。,
6038,家具セット保存失敗,
6039,退治小隊のメンバーのため、削除できません。,
6040,サークル脱退後の24時間以内にサークルボスを挑戦できません,
6041,一定時間以内で該当プレイヤーに再度挑戦できません,
6042,ガチャエナジーカードを先にご購入してください,
6043,当プレイヤーへの申請が上限に達しているため、暫く申請できません。,
6044,当プレイヤーは既にパートナーがいる為、申請できません。,
6045,当プレイヤーはイベントに参加していない為、申請できません。,
6046,アクティブプレイヤーではない為、申請できません。,
6047,当マスのチャレンジはクリア済みです。,
6048,アカウント作成時間がコードの使用条件を満たしていません,
6049,保存できませんでした,
6050,精算期間中のため、挑戦できません！,
6051,ステージ1-11クリア後にギフトコードを使用可能,
6052,本日の挑戦回数が上限に達しました。,
6053,ボスへの挑戦回数が上限に達しました,
6054,サークルの戦力制限条件を満たしていません！,
