id,name,from,content
1,競技場毎日ボーナス,競技場メール,おめでとう！{1}の競技場ランクで{2}位になりました。ボーナスをお受け取りください。
2,シーズン決算ボーナス,競技場メール,学園リーグで{1}位になりました！先輩、おめでとうございます～以下のボーナスをお受け取りください！
3,新サーバーボーナス,運営メール,イベント期間中、毎日ログインすれば、ダイヤ*50、販売機使用券*2、競技場入場券*2がもらえます。ボーナスをお受け取りください。
4,月間パスが有効になりました,月間パス,月間パスユーザーになりました。{1}から、毎日日本時間朝9時に、ダイヤを370個を送信します。月間パスを購入した初日分のダイヤは、すぐに送信されます。
5,月間パスボーナス,月間パス,VIP{1}ユーザーです。本日分のボーナスです、お受け取りください。月間パスの有効期限はあと{2}日です。
6,月間パスの期間が過ぎました,月間パス,月間パスの期限が切れました。ショップで月間パスを購入し期限を更新すると、通常価格のおよそ13倍のダイヤを受け取れます！
7,ミニ月間パスが有効になりました,ミニ月間パス,ミニ月間パスユーザーになりました。{1}から、毎日日本時間朝9時に、ダイヤを85個送信します。ミニ月間パスを購入した日に、初日分のダイヤがすぐに送信されます。
8,ミニ月間パスボーナス,ミニ月間パス,本日分のボーナスです、お受け取りください。ミニ月間パスの有効期限はあと{1}日です。
9,ミニ月間パスの期限が切れています。,ミニ月間パス,ミニ月間パスの期限が切れました。ショップでミニ月間パスを購入し期限を更新すると、通常価格のおよそ10倍のダイヤが受け取れます！
10,戦姫召喚ボーナス,召喚ボーナス,イベント中に戦姫の{1}を獲得しました。下記ボーナスを受け取ってください。
11,毎日ボーナス,運営メール,イベント期間中、毎日ログインすると、プレミアムガチャコイン*3、クリスマスソックス*1を受け取れます。ボーナスを受け取ってください。
12,ガチャボーナス,運営メール,新戦姫ガチャでプレミアムガチャを{1}回回しました！以下のボーナスをお受け取りください。
13,毎日ボーナス,運営メール,イベント期間中は、毎日ログインで刻印*1、2022年越しボックス*5、2022高級年越しボックス*1を獲得できます。
14,募集審査ボーナス,運営メール,募集審査イベントで、{1}ポイントに到達しました。以下のボーナスが受け取れます。
15,撃破ボーナス,運営メール,フレンドボスを倒したため、以下のボーナスをお受け取りください。
16,フレンドボスボーナス,運営メール,フレンドボスを撃破しました。以下のボーナスをお受け取りください。
