id,desc,skill_name
101001,隠匿学部の出撃戦姫の攻撃力+2%,隠匿
101002,隠匿学部の出撃戦姫の攻撃力+4%,隠匿
101003,隠匿学部の出撃戦姫の攻撃力+7%,隠匿
101004,隠匿学部の出撃戦姫の攻撃力+10%,隠匿
101005,隠匿学部の出撃戦姫の攻撃力+15%,隠匿
101006,神威学部の出撃戦姫の攻撃力+2%,神威
101007,神威学部の出撃戦姫の攻撃力+4%,神威
101008,神威学部の出撃戦姫の攻撃力+7%,神威
101009,神威学部の出撃戦姫の攻撃力+10%,神威
101010,神威学部の出撃戦姫の攻撃力+15%,神威
101011,風見学部の出撃戦姫の攻撃力+2%,風見
101012,風見学部の出撃戦姫の攻撃力+4%,風見
101013,風見学部の出撃戦姫の攻撃力+7%,風見
101014,風見学部の出撃戦姫の攻撃力+10%,風見
101015,風見学部の出撃戦姫の攻撃力+15%,風見
101016,雲華学部の出撃戦姫の攻撃力+2%,雲華
101017,雲華学部の出撃戦姫の攻撃力+4%,雲華
101018,雲華学部の出撃戦姫の攻撃力+7%,雲華
101019,雲華学部の出撃戦姫の攻撃力+10%,雲華
101020,雲華学部の出撃戦姫の攻撃力+15%,雲華
101021,修羅学部の出撃戦姫の攻撃力+2%,修羅
101022,修羅学部の出撃戦姫の攻撃力+4%,修羅
101023,修羅学部の出撃戦姫の攻撃力+7%,修羅
101024,修羅学部の出撃戦姫の攻撃力+10%,修羅
101025,修羅学部の出撃戦姫の攻撃力+15%,修羅
101026,辰星学部の出撃戦姫の攻撃力+2%,辰星
101027,辰星学部の出撃戦姫の攻撃力+4%,辰星
101028,辰星学部の出撃戦姫の攻撃力+7%,辰星
101029,辰星学部の出撃戦姫の攻撃力+10%,辰星
101030,辰星学部の出撃戦姫の攻撃力+15%,辰星
101031,全出撃戦姫の攻撃力+1%,攻撃力
101032,全出撃戦姫の攻撃力+2%,攻撃力
101033,全出撃戦姫の攻撃力+3%,攻撃力
101034,全出撃戦姫の攻撃力+5%,攻撃力
101035,全出撃戦姫のHP+1%,HP
101036,全出撃戦姫のHP+2%,HP
101037,全出撃戦姫のHP+3%,HP
101038,全出撃戦姫のHP+5%,HP
