id,name,desc,memory_name,memory_desc
1,第1章,入学式,第1章,入学式
2,第2章,楽しい学園生活？,第2章,楽しい学園生活？
3,第3章,暗夜中のカオス,第3章,暗夜中のカオス
4,第4章,花火、願い、DEF,第4章,花火、願い、DEF
5,第5章,中間テスト,第5章,中間テスト
6,第6章,学園祭,第6章,学園祭
7,第7章,DEF戦線,第7章,DEF戦線
8,第8章,真っ赤な月,第8章,真っ赤な月
9,第9章,夢,第9章,夢
10,第10章,新しい始まり,第10章,新しい始まり
11,第11章,お帰り,第11章,お帰り
12,第12章,迷宮と水晶,第12章,迷宮と水晶
13,第13章,伝説のワルキューレ,第13章,伝説のワルキューレ
14,第14章,過去のこと,第14章,過去のこと
15,第15章,錬成術陣,第15章,錬成術陣
16,第16章,漆黒の真実,第16章,漆黒の真実
17,第17章, ,第17章, 
18,第18章, ,第18章, 
19,第19章, ,第19章, 
20,第20章, ,第20章, 
21,第1章,入学式,第1章,入学式
22,第2章,楽しい学園生活？,第2章,楽しい学園生活？
23,第3章,暗夜中のカオス,第3章,暗夜中のカオス
24,第4章,花火、願い、DEF,第4章,花火、願い、DEF
25,第5章,中間テスト,第5章,中間テスト
26,第6章,学園祭,第6章,学園祭
27,第7章,DEF戦線,第7章,DEF戦線
28,第8章,真っ赤な月,第8章,真っ赤な月
29,第9章,夢,第9章,夢
30,第10章,新しい始まり,第10章,新しい始まり
31,第1章,入学式,第1章,入学式
32,第2章,楽しい学園生活？,第2章,楽しい学園生活？
33,第3章,暗夜中のカオス,第3章,暗夜中のカオス
34,第4章,花火、願い、DEF,第4章,花火、願い、DEF
35,第5章,中間テスト,第5章,中間テスト
36,第6章,学園祭,第6章,学園祭
37,第7章,DEF戦線,第7章,DEF戦線
38,第8章,真っ赤な月,第8章,真っ赤な月
39,第9章,夢,第9章,夢
40,第10章,新しい始まり,第10章,新しい始まり
41,第1章,入学式,第1章,入学式
42,第2章,楽しい学園生活？,第2章,楽しい学園生活？
43,第3章,暗夜中のカオス,第3章,暗夜中のカオス
44,第4章,花火、願い、DEF,第4章,花火、願い、DEF
45,第5章,中間テスト,第5章,中間テスト
46,第6章,学園祭,第6章,学園祭
47,第7章,DEF戦線,第7章,DEF戦線
48,第8章,真っ赤な月,第8章,真っ赤な月
49,第9章,夢,第9章,夢
50,第10章,新しい始まり,第10章,新しい始まり
