id,title,desc
1,空中投下,普通資源選択箱*1を獲得
2,青空,ランダムでマスのレベルを1UP（資源マスが全て最大レベルの場合は無効）
3,追い風,次にスピンをした時、前進する歩数が倍になる。
4,ダブルハッピー,次にスピンした時、2回スピンする（アイテムは1回分のみ）。
5,強運,次に珊瑚樹を通過、または珊瑚樹に止まった時、獲得可能な珊瑚の枝が2倍になる。
6,小雨,ランダムの資源マスのレベルが1ダウンする（資源マスが全て最低レベルの場合は無効）。
7,荒波,次に進んだ時、資源マスに止まると、ボーナスが波に攫われる。
8,不安定な磁場,次にスピンした時、前進ではなく後退する（ボーナスとマスのレベルを獲得できない）。
9,陸遜の怨念,陸遜に捕まった！スタート地点に戻る。
10,資源-彫刻刀,このマスに止まると彫刻刀を獲得し、マスのレベルが1アップする（最大レベル3まで）。
11,資源-弁当,このマスに止まると弁当を獲得し、マスのレベルが1アップする（最大レベル3まで）。
12,資源-EXPドリンク,このマスに止まるとEXPドリンクを獲得し、マスのレベルが1アップする（最大レベル3まで）。
13,資源-エッセンスビスケット,このマスに止まるとエッセンスビスケットを獲得し、マスのレベルが1アップする（最大レベル3まで）。
14,資源-使い魔ビスケット,このマスに止まると使い魔ビスケットを獲得し、マスのレベルが1アップする（最大レベル3まで）。
15,資源-星3戦姫の欠片,このマスに止まると星3戦姫の欠片を獲得し、マスのレベルが1アップする（最大レベル3まで）。
16,資源-星4戦姫の欠片,このマスに止まると星4戦姫の欠片を獲得し、マスのレベルが1アップする（最大レベル3まで）。
17,資源-星5戦姫の欠片,このマスに止まると星5戦姫の欠片を獲得し、マスのレベルが1アップする（最大レベル3まで）。
18,珊瑚樹,このマスを通過、または止まると珊瑚の枝を獲得できる。止まった場合、マスのレベルが1アップする（最大レベル3）。
19,舵,このマスに止まると、舵を1個獲得する。
20,ラジコン舵,このマスに止まると、ラジコン舵を1個獲得する。
21,法螺貝の家,法螺貝の家に止まると、神秘的な効果のあるカードが3枚現れ、1枚めくることができる。
22,渦巻,渦巻に止められた。次にスピンした時、前進する歩数が半減する。
23,ブルーパール,ここに止まると、ブルーパールを獲得します。
