id,mission_des
1,1回換金する
2,販売機で2回購入する
3,アルバイトミッションを2回クリアする
4,装備を3個合成する
5,ノーマルガチャを1回引く
6,プレミアムガチャを1回引く（祈願ガチャは対象外）
7,学園リーグに3回挑戦
8,オートモードの報酬を5回回収する
9,デイリーテストに2回勝利する
10,ハートを5個送る
11,すべてのデイリーミッションをクリアする
12,学園リーグで15回勝利する
13,進学、覚醒もしくは限界突破を10回行う
14,精霊幻境に2回入場する
15,フレンドボスを1回倒す
16,星5以上のバイトミッションを3回クリアする
17,宿舎の快適度を10ptアップする
18,七日間のデイリーミッションを全部クリアする
19,星10の戦姫を1体入手する
20,衣装を入手する（覚醒衣装、星10衣装は範囲外）
21,魂器を10回レベルアップする
22,星7のバイトミッションを5個クリア
23,学園リーグで150回勝利する
24,刻印を30個使用する
25,装備を15個合成する
26,宿舎の収益を1回受け取る
