id,text,option1,option2,option3
12020001,学園の学部であるのはどれ？,神威,盤龍,星宿
12020002,学園の学部ではないのはどれ？,隠匿,修羅,威風
12020003,戦闘時、神威学部が有利に戦えるのはどの学部？,風見学部,隠匿学部,雲華学部
12020004,戦闘時、神威学部に対して有利なのはどの学部？,風見学部,隠匿学部,雲華学部
12020005,神威学部所属の戦姫は誰？,曹操,呂蒙,諸葛亮
12020006,神威学部所属の戦姫は誰？,魏延,ドラキュラ,シルバー
10010007,オートモードのドロップは最大何時間分累計される？,8時間,10時間,12時間
10010008,曹操が宿舎を改装しようとしている。家具はどこで入手できる？,オートモードでドロップを待つ,宿舎画面の家具ショップで購入,商店街の後輩カフェで買える
12020007,曹操とデートする約束ができた！何を贈れば喜ばれる？,刀傘,狐の仮面,懐中電灯
10010010,魏延が新しいサークルを開設。サークル人数の拡張方法はどれ？,毎日サークルのサインインをして、サークルの経験値を獲得する。,学園リーグで戦い、ボーナスを獲得する。,オートモードで待つ。
10010011,曹操がサークル活動でサークルコイン獲得。サークルコインは何ができる？,販売機を使用できる,サークルのラボで使用できる,デートの時にプレゼントととして贈れる
10010012,過去の記憶は未来の手がかりになる。過去のメインストーリーを見られる場所はどこ？,メインストーリーは二度と読むことができない。,メイン画面で過去のステージを選択する。,メニューの「思い出」で見られる。
10010013,学園には様々なアイコンが存在する。そのアイコンを集める方法は？,初めて戦姫を入手すると、その戦姫のアイコンを獲得する。,バイトで獲得できる。,オートモードで待てば獲得できる。
10010014,学園には様々なアイコンが存在する。そのアイコンを集める方法は？,家具ショップで購入できる。,衣装ショップで新しい衣装を買うと、その衣装の特殊アイコンを獲得できる。,フレンドを追加すると、フレンドのアイコンを獲得できる。
10010015,お弁当の入手方法は様々だが、以下の方法でお弁当を獲得できないものはどれ？,オートモードで待つ！ステージレベルが高いほど、獲得量も増えるよ！,最上階にチャレンジすれば、たくさん獲得できるよ！,チャットでフレンドから貰えるよ！
10010016,ゴールドを手に入れる方法は様々だが、以下の方法で入手できないのはどれ？,後輩カフェで戦姫をゴールドに変換できる,オートモードで待つ！ステージレベルが高いほど、獲得量も増えるよ！,毎日換金所で獲得できるよ！先輩のレベルが高いほど、貰える量が増えるよ！
10010017,本サーバーのチャットで、面白い人を見つけました。相手にフレンド申請を送れる？,相手が同じサークルに所属している時のみ、フレンド申請を送ることができる。,相手のアイコンをタップすると、ポップアップからフレンド申請を送れる。,現在申請する方法はない。
10010018,戦姫の欠片を一定数使用すると、戦姫を召喚できる。以下の方法で、戦姫の欠片を獲得できないのはどれ？,一部のバイトから入手できる。,レベル30以降、日常テストで獲得できる。,宿舎で戦姫と遊ぶと、戦姫の欠片を獲得できる。
10010019,チームを上手く組み合わせると、低い戦力でも強い相手に勝てる！以下の方法で戦姫の能力を把握できないのはどれ？,攻略画面で戦姫のステータスと特徴、他の先輩のチームを試してみる。,顔で判断する。,SNSで他の先輩の評価をチェックする。
10010020,看板娘を設定すると、華やかさが増す！看板娘はどこで設定できる？,設定画面で設定できる。,メイン画面で看板娘をタップし、「変更」をタップすると設定できる。,設定できません。
10010021,陸遜が販売機使用券を手に入れた。その使い道は？,最上階への入場券。,販売機で使用できる。,ガチャを回せる。
10010022,プレミアムガチャコインはレア戦姫を手に入れるための必須アイテム。以下の中でプレミアムガチャコインを入手できないのはどれ？,売店でプレミアムガチャコインを購入できる。,宿舎で後輩と戯れると、プレミアムガチャコインを獲得する。,一部のバイトでプレミアムガチャコインを獲得できる。
10010023,EXPドリンクは戦姫のレベルアップに必須のアイテムだ。以下の中でEXPドリンクを獲得できないのはどれ？,換金所で無料で獲得できる。,オートモードで待つ！ステージレベルが高いほど、獲得量も増えるよ！,売店で購入できる。
10010024,曹操がフレンドからハートをたくさん貰った！そのハートの使い道は？,売ってゴールドにする,フレンドガチャで使える。しかも星5率がアップする！,ハートは友情の証さ！ハートの数だけ愛があるのだ！
10010025,デート時、後輩からプレゼントボックスを貰った。その用途とは？,使用すると、ランダムで装備を獲得する。,プレゼントボックスを売却してゴールドを獲得できる。,プレゼントボックスを使用すると、ランダムでプレゼントやその欠片を獲得できる。プレゼントはデートの時、戦姫に贈ることができる。
10010026,ガチャを回しすぎて、戦姫がいっぱいになってしまった！以下の方法で、問題を解決できないのはどれ？,余った戦姫を転校させる。,ダイヤを消費、またはVIPレベルを上げて、戦姫バッグを拡張する。,しょうがない、アプデを待つしかない。
10010027,ダイヤは貴重な貨幣だ。以下の方法で、ダイヤを獲得できないのはどれ？,月間パスを購入して、毎日ダイヤを受け取る。,売店で購入する。,デイリーミッションと各種イベントをクリアすると、もれなくダイヤを獲得できる。
10010028,学園は様々なイベントを開催する。イベントに参加すれば、ボーナスを多く獲得できる。これらイベントはどこで確認できる？,メイン画面の「限定イベント」から確認できる。,メインストーリーで確認できる。,チャットで参加できる。
10010029,宿舎の快適度が高いほど、収益が高くなる。快適度をアップする方法は？,家具ショップで家具を購入。,宿舎で戦姫と戯れる。,オートモードで待つ。
10010030,戦闘時、戦姫の位置を合理的に配置すると、彼女たちの能力を最大限まで発揮できる。以下の方法で、もっとも合理的な配置はどれ？,とりあえず高レベルの戦姫を前列に置く。,防御力が弱くても攻撃力が高い戦姫を、敵に狙われやすい位置に置く。,ダメージを受けると反撃をする戦姫を、敵に狙われやすい位置に配置する。
10010031,VIPになると、様々な特権を獲得する。VIPの特権じゃないのはどれ？,オートモードのドロップが増える。,戦姫のレベルを直接アップできる。,戦姫バッグの容量を拡張できる。
10010032,VIPになると様々な特権を獲得する。以下の方法で、VIPレベルをアップできないのはどれ？,換金所でゴールドを獲得する。,限定パックで限定衣装の入った衣装パックを買う。,月間パスを買う。
10020001,学園リーグのランキングでの戦力は何を表す？,その先輩が所持する上位5体の戦姫の戦力合計,その先輩の攻撃チームの総戦力,その先輩の防衛チームの総戦力
10020002,トップリーグの戦闘で、毎回チケットを何枚消費する？,1枚,3枚,5枚
10020003,曹操がチームリーグでチームを結成。フレンドをチームに入れるにはどうすれば良い？,フレンドがチームリーグに参加し、チームに所属していない場合、チーム画面からフレンドを招待できる。,フレンド画面から直接招待できる。,チャットから招待できる。
10020004,チームリーグで他の先輩が結成したチームに参加するには、どうすればいい？,チャットで直接申請する。,防衛チームを設定し、戦力が条件をクリアしていれば、他の先輩のチームに申請できる。,防衛チームを設定した後、しばらく待てば自動でチームに参加する。
10020005,インフィニティリーグは全サーバの先輩との頂上決戦だ！インフィニティリーグに参加する条件は何？,学園リーグで上位10位を1回入賞すると、次回のインフィニティリーグに参加できる。,トップリーグで上位10位に1回入賞すると、次回のインフィニティリーグに参加できる。,チームリーグで上位10位に1回入賞すると、次回のインフィニティリーグに参加できる。
10020006,坂本龍馬がインフィニティリーグで賭け事をして、ゴールドを稼いでいるようだ。そのやり方とは？,そんな方法は存在しない,インフィニティリーグでプレイヤーのアイコンをタップして、ベットすることができる。当プレイヤーが勝利すると、ゴールドを2倍獲得できる。,インフィニティリーグのベット画面から応援するプレイヤーを選択して、そのプレイヤーが勝利するとゴールドを2倍獲得する。
10020007,曹操はチャット時、様々なスタンプを愛用している。特殊スタンプの獲得方法は以下のどれ？,体育館でサークルボスを倒すと、ボスの敗北スタンプを獲得できる。,一部の戦姫試練を最後までクリアすると、限定スタンプを獲得できる。,チャットを長く続けると、一部のスタンプを獲得できる。
10020008,使い魔を強化する使い魔ビスケットを大量入手するには？,毎月の課外活動で使い魔ビスケットを獲得できる。,売店で購入できる。,ノーマルガチャを回す。
10020009,戦姫の衣装は様々な方法で入手できる。以下の中で、衣装を入手できないのはどれ？,幽夢衣装ショップで購入。,限定パックなどで、限定衣装を購入。,オートモードでごく稀にドロップする。
12020008,坂本龍馬が会心攻撃をすると、敵全体に大ダメージを与える。以下の魂器で最も坂本龍馬に合うものはどれ？,イマジンブレイド（攻撃力、速度、拘束率アップ）,荊棘の心（攻撃力、会心率、会心ダメージアップ）,探知の懐中時計（HP、ブロックアップ）
12020009,曹操（神龍）は燃焼効果を起爆して、大ダメージを敵に与えられる。以下の戦姫で、曹操（神龍）と相性が一番いいのは？,シルバー,諸葛亮,赤蓮
12020010,ブロックが発動すると、シルバーはスキル発動時に更に追撃ができる。以下の魂器で最もシルバーに合うものはどれ？,アーミーナイフ（攻撃力、会心率アップ）,運命の指南（エネルギー、スキルダメージ率アップ）,月光の銀刃（攻撃力、突破力、ブロックアップ）
12020011,ある戦姫は自身のHPが半分になると、味方の戦闘能力を大幅アップできる。その戦姫とは？,曹操,貂蝉,シルバー
12020012,前列の戦姫は敵の攻撃を受けやすい。以下の戦姫で、前列に適した戦姫は誰？,曹操（神龍）,曹植,張飛
