id,desc,result
1001,ランプをこすってみる,「これで自由の身だぁぁぁぁぁ！」ランプから青い煙が現れたかと思うと、大笑いしながらどこかに飛んで行った。どうやらこれで、ただのランプに戻ってしまったようだ。
1002,願いをかなえるよう要求する,しばしの沈黙の後、少し時間をくれと返事があった。だがその後、二度とランプの中から声が聞こえることはなかった。
2001,巣の中に入れないか試してみる,身体が大きすぎて、やっぱり無理みたいだ。でも手を突っ込んでみると、何かに触れる感触があった。
2002,石を投げこむ,いつまで待っても底に当たった音が聞こえてこない。この巣、想像以上に深いのかもしれないな。
3001,植える,すぐに芽が出てきた。気のせいかな、育つのが早すぎる気が……
3002,食べる,味はまあまあかな。煮たらもっと美味しかったかもしれない。
4001,他の場所を調べる,リンゴは放っておいて、他の場所を調べてみることにした。しばらくしてもう一度机の上を見ると、リンゴは跡形もなく消えていた。
4002,食べてみる,き、急にお腹が痛くなってきた！ああ、意識が遠のく……どれくらい眠っていたのだろうか。目覚めると、もう日が暮れていた。
5001,拾う,拾い終えてすぐ、マッチの持ち主だという裸足の少女が現れ、お礼を言われた。いいことをすると気分がいいね！
5002,1本だけ燃やしてみる,火をつけると、目の前に幽夢学園が現れた！でも火が消えると、さっきまでの光景に逆戻り。幻覚を見ていたようだ。
6001,食堂のメニューを言ってみる,開いた！適当に言ったメニューの中に当たりがあったみたいだ！洞窟の中には、数え切れないほどのお宝が隠されていた。
6002,保健室にある薬の名前を言ってみる,色々な薬の名前を試したけど、ピクリとも動かない。これ以上薬の名前を思い出せないので、諦めることにした。
7001,振り向く,何も無かったので、そのまま歩き続けることにした。おかしいな、さっきから同じ場所を何度も通っているような……
7002,気にせず歩き続ける,冷たい風に晒されることになったが、結局何も起こらなかった。
8001,鏡よ鏡、世界一カッコいい人はだ～れ？,「そんなことを聞くなんて、よっぽど自信があるんだねぇ。私に映る自分の顔を見ても、まだそんなこと言えるのかい？」鏡は飽きれたように答えた。
8002,鏡よ鏡、ここから出る方法を教えておくれ,鏡は何も答えない。普通の鏡に戻ってしまったようだ。
9001,入ってみる,こんなにたくさんのお菓子、見ているだけで胃もたれがしてくるよ。帰ろう。すぐに外に出たものの、靴底がお菓子でベトベトになってしまった。
9002,戻ろう、見てるだけでお腹いっぱいだ,森中がお菓子の香りに包まれており、どこまで行っても同じ香りしかしなかった。
10001,曲に耳を傾ける,曲に聞き入ってしまい、石につまずくまで、その笛吹きを追って、遠くまで来たことに気がつかなかった。
10002,関わらない方がいいかな,少し歩くと、大勢の人が笛吹きの後について歩いているのを見かけた。みんな何をしているんだろう？
