id,fort_name,fort_name2,name,description,skill
1,龐統-涅槃の炎姫,龐統-涅槃の炎姫,特別支援隊、出発！,雅塔の戦いの後、「幽夢」は依然有利な状況にあった。カオス軍団の最終防衛ラインに陣地を作るため、後方支援部隊「風」の指揮官は、龐統を隊長とした特別支援隊を支援に向かわせた。,
2,龐統-涅槃の炎姫,龐統-涅槃の炎姫,恐怖形骸,龐統は支援に向かう途中で、カオス軍団の襲撃を受けた。カオス軍団は転移異能を利用し、特異点から後方の支援陣地に奇襲を仕掛けた。龐統は特異点の封印に向かう途中、今回の転移異能によって転移された恐ろしい「恐怖形骸」の存在に気づいた。,
3,龐統-涅槃の炎姫,龐統-涅槃の炎姫,合流,後方指揮部へ撤退する途中、カオス軍団の指揮部攻撃部隊を見つけたが、龐統はなんとか指揮部にたどり着くことができた。だが、合流した彼女たちの前に、敵軍の暗黒騎士が立ちはだかった。,
4,龐統-涅槃の炎姫,龐統-涅槃の炎姫,暗黒騎士,暗黒騎士は「終わりだ！」と叫びながら剣を振るうと同時に、近くにある「恐怖形骸」を爆破させ、恐ろしいカオスの力で瞬く間に一帯を覆った。黒き霧に包まれた一帯からは生き物の気配がなくなっていた。,
5,龐統-涅槃の炎姫,龐統-涅槃の炎姫,まだ終っていない！,騒がしい戦場が一瞬、静寂に包まれた。完璧ともいえる今回の奇襲は、カオス軍団に逆転の可能性を与えた。暗黒騎士とその手下のカオス軍団は既に勝利の宴を始めていた。,
6,龐統-涅槃の炎姫,龐統-涅槃の炎姫,涅槃と再生,その口調や声音に怒りをにじませていた暗黒騎士からは、一瞬迷いすら感じたが、彼は力強く剣を振り下ろし突き進んだ。黒き炎は弧を描き、目の前の赤き炎を切り裂いた。,
7,龐統-涅槃の炎姫,龐統-涅槃の炎姫,問い詰め,暗黒騎士は自身を覆う炎を感じながらも、防御の体勢を取らないまま、赤き炎を纏う剣先によって、自らの恐怖と共に塵と化した。,
8,龐統-涅槃の炎姫,龐統-涅槃の炎姫,スパイは誰？,暗黒騎士を打ち倒した後、龐統は呂玲綺と合流した。呂玲綺はカオス軍団が使用した転移異能から、正面戦場にも被害が出ることを心配し、龐統らと共に「綺」部隊の状況を確かめに行った。,
9,龐統-涅槃の炎姫,龐統-涅槃の炎姫,全滅,龐統と呂玲綺が「綺」部隊の元に着いた時、目の前にはただ破壊された陣地が残るのみだった。燃える炎と煙の中、生存者は誰一人としていなかった……,
10,龐統-涅槃の炎姫,龐統-涅槃の炎姫,使命と選択,呂玲綺から影響を受け、龐統はこの戦争を終わらせることを決意した。彼女はスパイを見つけ出すため、カオスの中心部に1人で向かっていた。まるで赤き閃光のように……,
11,呂玲綺‐狂気の毒蜂,呂玲綺‐狂気の毒蜂,破壊こそが存在その物！,風紀委員会の部屋で、会長のミカエルは、辛抱強く先輩から過去を聞き出そうとしている。学園の管理のため、先輩は彼女に協力し、カオスの襲撃から始まった物語について話し始めた……,
12,呂玲綺‐狂気の毒蜂,呂玲綺‐狂気の毒蜂,連合隊結成！,連合隊「風華綺麗」の結成と共に、呂玲綺は「綺」部隊の試験に合格したが、性格に難ありな上、破壊欲の強い彼女は、チーム内で孤立してしまっていた。,
13,呂玲綺‐狂気の毒蜂,呂玲綺‐狂気の毒蜂,「綺」部第十一編隊,「彼女」は呂玲綺に第十一編隊への加入を提案したが、他の人から情けをかけられたくない呂玲綺は、それを拒絶した。「彼女」は挑発的に再度呂玲綺を招待したが、それは呂玲綺を怒らせるだけだった……,
14,呂玲綺‐狂気の毒蜂,呂玲綺‐狂気の毒蜂,地溝帯の戦い（1）,カオスの侵略から98年、「綺」部隊は命令により、カオス軍団のとある拠点へ奇襲を仕掛けていた。呂玲綺はその奇襲部隊の隊長であったが、部隊が地溝帯に入ると、予想外のことが起きていた。,
15,呂玲綺‐狂気の毒蜂,呂玲綺‐狂気の毒蜂,地溝帯の戦い（2）,呂玲綺はひたすら戦っていたが、敵の軍勢を前に仲間の数は減る一方だった。主からの「死守」の命令を最後まで守り抜くと心に決めていた呂玲綺は、体力が限界に近づいていることも気に留めず、攻めてくる敵を倒し続けていた。,
16,呂玲綺‐狂気の毒蜂,呂玲綺‐狂気の毒蜂,地溝帯の戦い（３）,カオス軍団の指揮官の嘲笑により、呂玲綺はやがて殺戮の欲に支配され、無差別に殺戮を開始した。「彼女」の援軍が到着するまで……,
17,呂玲綺‐狂気の毒蜂,呂玲綺‐狂気の毒蜂,ハメられた！,雅塔の戦いから六日後。\n「綺」部隊は総指揮官からの命令により、百年も続く戦争を終わらせるため、カオス軍団の最終防衛ラインに攻め込んだ。\nしかし、「彼女」と共に戦場に赴いた呂玲綺は、敵軍の様子にどこか違和感を覚えていた。,
18,呂玲綺‐狂気の毒蜂,呂玲綺‐狂気の毒蜂,補給陣地,補給陣地にやっとの思いで到着した呂玲綺を待っていたのは、カオス軍団により壊滅した陣地だった。残ったカオス軍団を倒しつつ、救助した生存者から、指揮官の居場所を特定した。,
19,呂玲綺‐狂気の毒蜂,呂玲綺‐狂気の毒蜂,全滅,龐統と呂玲綺が「綺」部隊の元に着いた時、目の前にはただ破壊された陣地が残るのみだった。燃える炎と煙に包まれる中、生存者は誰一人としていなかった……,
20,呂玲綺‐狂気の毒蜂,呂玲綺‐狂気の毒蜂,唯一無二の旅,受け入れられない現実と過去の思い出が、呂玲綺を追い詰めていた。自責の念が増すと共に、カオス軍団への憎しみも、段々強くなっていた……,
21,魏延-病室日記,魏延-病室日記,悪夢は目覚めない,煙は炎に照らされ、周囲一帯はまるで苛烈な戦場のようであった。空を覆う程の矢と、兵器がぶつかり合う音と共に、魏延の目の前に黒い影が現われた……,
22,魏延-病室日記,魏延-病室日記,手術,白い天井、目の前にはぼんやりと浮かぶ二つの人影。浅く力ない呼吸をしている魏延に聞こえるのは、電子設備から発せられる「ビービー」という音だけ。ただ一つわかるのは、自分が手術室にいる、ということだった。,
23,魏延-病室日記,魏延-病室日記,彼女の名は、諸葛亮,魏延は何も言わず、ただ闇の中に座っていた。医者と看護師の看病が機械的に行われている。背が小さい誰かがよく彼女の元を訪れ、少し会話を交わしては帰っていった……,
