id,name,desc,unlock
1,観測時間Ⅰ,この回廊で観測を行う際、開始時の「遡る懐中時計」の所持数が{1}アップする。,
2,観測時間Ⅱ,この回廊で観測を行う際、開始時の「遡る懐中時計」の所持数が{1}アップする。,アンロック条件：「観測時間Ⅰ」Lv.2＋この回廊での勇気500pt到達でアンロック（回廊観測時に出撃した戦姫の臨時のステータス分は含まない）
3,観測時間Ⅲ,この回廊で観測を行う際、開始時の「遡る懐中時計」の所持数が{1}アップする。,アンロック条件：「観測時間Ⅱ」Lv.3＋この回廊での魅力1000pt到達でアンロック（回廊観測時に出撃した戦姫の臨時のステータス分は含まない）
4,観測時間Ⅳ,この回廊で観測を行う際、開始時の「遡る懐中時計」の所持数が{1}アップする。,アンロック条件：「観測時間Ⅲ」Lv.3＋この回廊での知識1500pt到達でアンロック（回廊観測時に出撃した戦姫の臨時のステータス分は含まない）
5,観測時間Ⅴ,この回廊で観測を行う際、開始時の「遡る懐中時計」の所持数が{1}アップする。,アンロック条件：この回廊での勇気、魅力、知識が各1700pt到達でアンロック（回廊観測時に出撃した戦姫の臨時のステータス分は含まない）
6,基礎補給Ⅰ,以降の回廊観測中に補給カード「基礎補給」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,
7,基礎補給Ⅱ,以降の回廊観測中に補給カード「基礎補給」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,アンロック条件：この回廊の観測総進捗10%到達でアンロック
8,基礎補給Ⅲ,以降の回廊観測中に補給カード「基礎補給」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,アンロック条件：この回廊の観測総進捗20%到達でアンロック
9,基礎補給Ⅳ,以降の回廊観測中に補給カード「基礎補給」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,アンロック条件：この回廊の観測総進捗30%到達でアンロック
10,基礎補給Ⅴ,以降の回廊観測中に補給カード「基礎補給」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,アンロック条件：この回廊の観測総進捗40%到達でアンロック
11,ボタンⅠ,以降の回廊観測中に補給カード「ボタン」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,
12,ボタンⅡ,以降の回廊観測中に補給カード「ボタン」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,アンロック条件：この回廊の観測総進捗20%到達でアンロック
13,ボタンⅢ,以降の回廊観測中に補給カード「ボタン」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,アンロック条件：この回廊の観測総進捗40%到達でアンロック
14,ボタンⅣ,以降の回廊観測中に補給カード「ボタン」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,アンロック条件：この回廊の観測総進捗60%到達でアンロック
15,ボタンⅤ,以降の回廊観測中に補給カード「ボタン」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,アンロック条件：この回廊の観測総進捗80%到達でアンロック
