id,title,desc
10111,写真館-1,あっ、ごめん……わざとじゃないんだ……
10112,写真館-1,えっ、あっ、いや……！\n君の背後にあるポ、ポスターを見ていただけさ……
10113,写真館-1,あぁ、ごめんね。\n甘夫人はいつ見ても素敵だから、\nついつい見てしまうよ。
10121,写真館-2,甘夫人の衣装と似合う小袖
10122,写真館-2,清潔感のあるスーツ
10123,写真館-2,着替えない
10131,写真館-3,現像できた一枚を甘夫人にあげる
10132,写真館-3,その場で待つ
10133,写真館-3,フィルムを貰う
10211,高級レストラン-1,モンブラン
10212,高級レストラン-1,アンコウのソテー
10213,高級レストラン-1,クルマエビの蒸し焼き
10221,高級レストラン-2,お金って、こんな味がするんだな……
10222,高級レストラン-2,まぁまぁだな。\nシェフが少しミスったのだろう。
10223,高級レストラン-2,美味しい以外の言葉が出ないな！
10231,高級レストラン-3,豪快に奢る
10232,高級レストラン-3,割り勘の相談をする
10233,高級レストラン-3,少しモジモジしながら払う
10311,和服屋-1,で、でも、本当に綺麗で……\n思わず口に出てしまったよ。
10312,和服屋-1,いや、ただのお世辞さ。気にしすぎだよ。
10313,和服屋-1,ただ、似合っているというのは本当だ。\n次も、できればその服で一緒に出掛けよう。
10321,和服屋-2,黒色
10322,和服屋-2,紺色
10323,和服屋-2,鶯色
10331,和服屋-3,あっ、新作の振袖があるよ。\n甘夫人に似合うと思うな。
10332,和服屋-3,「まだ」って言うのが、\nなんだか信頼されていない感じがするな……
10333,和服屋-3,えっ、「まだ」って！？いや、その……
10411,和菓子屋-1,黒糖羊羹
10412,和菓子屋-1,抹茶羊羹
10413,和菓子屋-1,伝統の羊羹
10421,和菓子屋-2,おお！さすが、凄く美味しいよ。
10422,和菓子屋-2,見た目は少し地味だけど、味は良いね！
10423,和菓子屋-2,えっと、ごめん。\n悪くないけど、僕は甘いのが少し苦手で……
10431,和菓子屋-3,特別と聞くと、期待しちゃうな～。
10432,和菓子屋-3,特別って、まさか僕の為に？
10433,和菓子屋-3,庭園？\n甘夫人が行きたいというのなら、行くよ。
10511,休憩所-1,と、当然さ……\n皆の先輩として、これぐらいはね……
10512,休憩所-1,か、甘夫人、ごめん、これ以上は……
10513,休憩所-1,そうだね。もちろん皆に優しいけど、\n甘夫人は特別さ。
10521,休憩所-2,カバンの中にある水を差しだす
10522,休憩所-2,近くのショップに駆け込む
10523,休憩所-2,近くにある有名な喫茶店に誘う
10531,休憩所-3,綿密に計画したスケジュールを見せる
10532,休憩所-3,彼女の為に用意したプレゼントを渡す
10533,休憩所-3,途方に暮れて、とりあえず手を繋ぐ
10611,金魚掬い-1,心配ないよ。金魚は結構飼いやすいから。\n毎日餌をやって、\n水槽を綺麗にしておけば大丈夫。
10612,金魚掬い-1,やったことがないからこそ、\nやってみる価値があるんじゃない？
10613,金魚掬い-1,じゃあ、僕が飼うよ。\nんで、いつでも見に来てね！
10621,金魚掬い-2,金色の金魚
10622,金魚掬い-2,赤い金魚
