id,fort_id,name,tips_dialog
1,1,,
2,1,,
3,1,入学式,先輩、時間を注意してね、入学式がもうすぐ始まるよ～
4,1,新入生歓迎式,先輩も気をつけてくださいね！|でも、今回は私が悪いです…怪我はありませんか？
5,1,神威学部,先輩、テストって……何ですか？
6,1,風見学部,魏延さん、先輩は風見学部がお勧めみたいですよ～|え、そうですか、先輩？風見学部のテスト会場はこの先ですか？
7,1,辰星学部,待ってたよ～風見学部で何かあったかと思ったよ…
8,1,雲華学部の精霊,次は、亮先輩が担当する学部試験会場ですか？
9,1,修羅学部の黒翼天使,え、修羅学部……ちょっと怖いですね…|大丈夫ですよ、魏延ちゃん、ルシファーさんは結構いい人だよ～
10,1,隠匿学部,吸血鬼？さっきの修羅学部と同じじゃないですか…
11,1,夕食,先輩、一日お疲れ様～一緒に夕食を食べに行きましょう～
12,1,意外な騒動,先輩？先輩？！そこの生徒は何か問題でも？
13,2,女子寮,学園内で何かあったらしい、先輩も行って見ましょう！
14,2,遅刻,学園内で何かあったらしい、先輩も行って見ましょう！
15,2,焼きそばパン,学園内で何かあったらしい、先輩も行って見ましょう！
16,2,友情！努力！勝利！,学園内で何かあったらしい、先輩も行って見ましょう！
17,2,でたらめな文学部,学園内で何かあったらしい、先輩も行って見ましょう！
18,2,茶道,学園内で何かあったらしい、先輩も行って見ましょう！
19,2,生徒会,学園内で何かあったらしい、先輩も行って見ましょう！
20,2,SHINING BAND,学園内で何かあったらしい、先輩も行って見ましょう！
21,2,異変,学園内で何かあったらしい、先輩も行って見ましょう！
22,2,ルシファー,学園内で何かあったらしい、先輩も行って見ましょう！
23,3,風紀委員会,学園内で何かあったらしい、先輩も行って見ましょう！
24,3,調査,学園内で何かあったらしい、先輩も行って見ましょう！
25,3,現場に戻る,学園内で何かあったらしい、先輩も行って見ましょう！
26,3,カオス症候群,学園内で何かあったらしい、先輩も行って見ましょう！
27,3,赤き月,学園内で何かあったらしい、先輩も行って見ましょう！
28,3,暗夜の王,学園内で何かあったらしい、先輩も行って見ましょう！
29,3,危険,学園内で何かあったらしい、先輩も行って見ましょう！
30,3,抵抗不可能,学園内で何かあったらしい、先輩も行って見ましょう！
31,3,堕落の翼,学園内で何かあったらしい、先輩も行って見ましょう！
32,3,カオスの深化,学園内で何かあったらしい、先輩も行って見ましょう！
33,4,幽夢,学園内で何かあったらしい、先輩も行って見ましょう！
34,4,花火少女,学園内で何かあったらしい、先輩も行って見ましょう！
35,4,小さな願い,学園内で何かあったらしい、先輩も行って見ましょう！
36,4,町大作戦,学園内で何かあったらしい、先輩も行って見ましょう！
37,4,Defender,学園内で何かあったらしい、先輩も行って見ましょう！
38,4,絢爛たる夜空,学園内で何かあったらしい、先輩も行って見ましょう！
39,4,卒業,学園内で何かあったらしい、先輩も行って見ましょう！
40,4,変な写真,学園内で何かあったらしい、先輩も行って見ましょう！
41,4,光と影,学園内で何かあったらしい、先輩も行って見ましょう！
42,4,DEF戦線,学園内で何かあったらしい、先輩も行って見ましょう！
43,5,異能練習,学園内で何かあったらしい、先輩も行って見ましょう！
44,5,逃げるは恥で役に立たない,学園内で何かあったらしい、先輩も行って見ましょう！
45,5,攪乱者,学園内で何かあったらしい、先輩も行って見ましょう！
46,5,異能考査初段階,学園内で何かあったらしい、先輩も行って見ましょう！
47,5,挑戦者,学園内で何かあったらしい、先輩も行って見ましょう！
48,5,異能考査中段階,学園内で何かあったらしい、先輩も行って見ましょう！
49,5,猫とねずみ,学園内で何かあったらしい、先輩も行って見ましょう！
50,5,怪力少女,学園内で何かあったらしい、先輩も行って見ましょう！
51,5,異能最終考査,学園内で何かあったらしい、先輩も行って見ましょう！
52,5,意外な真相,学園内で何かあったらしい、先輩も行って見ましょう！
53,6,発端,学園内で何かあったらしい、先輩も行って見ましょう！
54,6,中華料理,学園内で何かあったらしい、先輩も行って見ましょう！
55,6,綺麗な部屋,学園内で何かあったらしい、先輩も行って見ましょう！
56,6,二度目の占い,学園内で何かあったらしい、先輩も行って見ましょう！
57,6,黒い霧,学園内で何かあったらしい、先輩も行って見ましょう！
58,6,学園を包囲,学園内で何かあったらしい、先輩も行って見ましょう！
59,6,夜影急襲,学園内で何かあったらしい、先輩も行って見ましょう！
60,6,没落した風紀委員会,学園内で何かあったらしい、先輩も行って見ましょう！
61,6,織田信長,学園内で何かあったらしい、先輩も行って見ましょう！
62,6,黒夜に咲く花,学園内で何かあったらしい、先輩も行って見ましょう！
63,7,直接衝突,学園内で何かあったらしい、先輩も行って見ましょう！
64,7,黒石,学園内で何かあったらしい、先輩も行って見ましょう！
65,7,蝙蝠の笑い,学園内で何かあったらしい、先輩も行って見ましょう！
66,7,真実の裏,学園内で何かあったらしい、先輩も行って見ましょう！
67,7,暴走,学園内で何かあったらしい、先輩も行って見ましょう！
