id,name,remark,desc,is_guide,level
1,売店,市場,,,0
2,戦姫,戦姫,,,0
3,バッグ,バッグ,,,0
4,イベントクエスト,イベントクエスト,,,0
5,実績,実績,,,0
6,装備合成,鍛冶屋,,,0
7,購入,購入,,,0
8,転校,祭壇,,,0
9,進学,創造法陣,,,0
10,ガチャ,召喚法陣,,,0
11,販売機,販売機,販売機で豊富なボーナスがもらえるチャンス！,1,14
12,高級販売機,高級販売機,,,80
13,きらめき\n手帳,きらめき\n手帳,\nクエストクリアで豊富なボーナスゲット！,1,17
14,学園リーグ,学園リーグ,戦姫たちと共に、栄誉を勝ち取れ,1,18
15,最上階,最上階,最上階にはたくさんの宝があります。もちろん危険もたくさん潜んでいますよ。,1,24
16,生徒募集,生徒募集,生徒募集から希望する学部の戦姫を指定召喚することができます,1,25
17,バイト,バイト,戦姫をバイトに行かせると、豊富なボーナスを獲得できます。,1,28
18,精霊幻境,精霊幻境,精霊幻境を探索して、かつての戦場に挑め！,,40
19,風紀検査,風紀検査,カオス症候群を\n退治せよ,,72
20,メール,メール,,,0
21,フレンド,フレンド,,,0
22,サークル,サークル,サークルに参加したり作成したりして、仲間たちと一緒に遊びましょう！,1,21
23,3v3競技場,3v3競技場,総力を挙げ、王者の実力を示せ！,,50
24,衣装,衣装,ここで戦姫の新しい衣装を確認できます。,,29
25,競技場チーム戦,競技場チーム戦,信頼する仲間と共に\n最強チームを作れ,,60
26,漫画,漫画,戦姫たちの楽しい日々を覗いてみよう。,,30
27,戦姫ストーリー,戦姫ストーリー,,,0
28,使い魔,使い魔,使い魔を飼育して育成することで、自分のチームをより強くすることができますよ。,1,70
29,テスト,テスト,毎日の素材戦闘,,20
30,限定イベント,限定イベント,,,0
31,戦姫試練,戦姫試練,特別なステージに挑戦し、戦姫たちの物語を楽しもう！,,75
32,退治小隊,退治小隊,信頼する仲間と共に\nカオス軍団を迎撃,,90
33,背景変更,背景変更,,,0
34,インフィニティリーグ,インフィニティリーグ,無限の栄光は\n果たして誰の手に,,90
35,学部試験,学部試験,学部試験\n強者への道,,90
36,サークル,サークル,サークルに参加したり作成したりして、仲間たちと一緒に遊びましょう！,1,21
37,入学案内,,,,
38,命魂,,,,
39,旧校舎探索,旧校舎探索,探索プランを選んで、旧校舎を探索しよう,1,88
40,遠足会,遠足会,遠足会に参加して、新たな発見をしましょう！,1,78
41,チャット,チャット,チャットで楽しもう！,,999
45,アバター,アバター,更衣室でパーツを\n組み合わせ、\nイメチェンしよう！,1,0
47,時の回廊,時の回廊,記憶の欠片を整理し、回廊の中に秘められた情報を観測する。,1,0
48,ショー\nウィンドウ,ショー\nウィンドウ,アバターをショーウィンドウに飾って、後輩たちに評価してもらいましょう。,1,0
