id,name,enter_dialog,click_dialog1,click_dialog2,click_dialog3,click_dialog4,click_dialog5,click_dialog6,chosen_dialog1
1,分解商店1,お金を出すんなら、あなたの話、聞いてあげてもイイよ。,お金さえあれば、できないことなんてないんだから。,お客様、ご注文はどうなさいますか？え？客じゃない……じゃあ帰って頂戴。,お金さえあれば、できないことなんてないんだから。,お客様、ご注文はどうなさいますか？え？客じゃない……じゃあ帰って頂戴。,お給料のため！ガンバル！,,お給料のため！ガンバル！
2,販売機ショップ,何がいいかな？,きみきみ～ぃ、あたしと取引しない？君が思いもつかないようなモノ、なぁ～んでも売ってるよ～！,割引券？そんなもの、出した記憶ないよ！無効無効～,きみきみ～ぃ、あたしと取引しない？君が思いもつかないようなモノ、なぁ～んでも売ってるよ～！,割引券？そんなもの、出した記憶ないよ！無効無効～,きみきみ～ぃ、あたしと取引しない？君が思いもつかないようなモノ、なぁ～んでも売ってるよ～！,,利益がでるのであれば、あたしはどこにだっていくし、どこでだって売るよ～
3,普通販売機,運こそが\n最大の実力なんだから～\nあ～信じてないでしょ？,あんまり\nうさ耳触らないで！\nあっち行ってよバカッ！,運こそが\n最大の実力なんだから～\nあ～信じてないでしょ？,あんまり\nうさ耳触らないで！\nあっち行ってよバカッ！,It's show time！,運こそが\n最大の実力なんだから～\nあ～信じてないでしょ？,,It's show time！
4,高級販売機,"
心を込めて
準備しました。
ご主人様、プレゼント
差し上げます！","
寝る前に靴下の準備、
忘れちゃダメだよ！
こっそりと、プレゼント
入れておくからね。",悪い子にはプレゼント\nあげないよ！,"
心を込めて
準備しました。
ご主人様、プレゼント
差し上げます！","
寝る前に靴下の準備、
忘れちゃダメだよ！
こっそりと、プレゼント
入れておくからね。",悪い子にはプレゼント\nあげないよ！,,ほしいものはなぁ～に！
5,募集,私にとって、知識を超える宝物は無いわ！,静かに！授業中よ。\n私語は慎んで頂戴！,"
後でテスト結果を
見せてもらおうかしら。
成長していないようなら
補習よ？","
あなたが覚えるのに
苦労しているその知識は
先人たちが生涯を賭けて
積み上げた人生そのもの
なのよ。","
後でテスト結果を
見せてもらおうかしら。
成長していないようなら
補習よ？","
あなたが覚えるのに
苦労しているその知識は
先人たちが生涯を賭けて
積み上げた人生そのもの
なのよ。",,肝心な時は、\n自分の知識に頼るのが\n一番ね。
6,福利社,"
いらっしゃいませー！
何かお探しでしたら、
お気軽に
お声がけくださいませ。","
こちらがお客様の
お買い物リストで
ございます。
ご確認くださいませ。",お手伝いいたしますね！,"
こちらがお客様の
お買い物リストで
ございます。
ご確認くださいませ。",お手伝いいたしますね！,"
いらっしゃいませー！
何かお探しでしたら、
お気軽に
お声がけくださいませ。",,"
こちらがお客様の
お買い物リストで
ございます。
ご確認くださいませ。"
7,遠足商店,何がいいかな？,きみきみ～ぃ、あたしと取引しない？君が思いもつかないようなモノ、なぁ～んでも売ってるよ～！,割引券？そんなもの、出した記憶ないよ！無効無効～,きみきみ～ぃ、あたしと取引しない？君が思いもつかないようなモノ、なぁ～んでも売ってるよ～！,割引券？そんなもの、出した記憶ないよ！無効無効～,きみきみ～ぃ、あたしと取引しない？君が思いもつかないようなモノ、なぁ～んでも売ってるよ～！,,利益がでるのであれば、あたしはどこにだっていくし、どこでだって売るよ～
8,新遠足の窓口,今度はどんな場所\nなのでしょう～？,ウロボロス大図書館に\nこんな場所があるなんて\n知らなかったです！,今は精霊の1割ぐらいの能力が使えるのです～。,"
精霊の力が安定して
いないので、毎回使った
後は休まないと
いけないのです。","
精霊の力が安定して
いないので、毎回使った
後は休まないと
いけないのです。",今は精霊の1割ぐらいの能力が使えるのです～。,,ウロボロス大図書館に\nこんな場所があるなんて\n知らなかったです！
9,社團商店（袁術）,"
憂鬱ですわね。
私の財産、どうやったら
使い切れるかしら？
どなたか代わりに
使ってくれる人、
いないかしらね～。","
憂鬱ですわね。
私の財産、どうやったら
使い切れるかしら？
どなたか代わりに
使ってくれる人、
いないかしらね～。","
憂鬱ですわね。
私の財産、どうやったら
使い切れるかしら？
どなたか代わりに
使ってくれる人、
いないかしらね～。",お金タイフーン！,お金タイフーン！,お金タイフーン！,,お金タイフーン！
10,競技場商店（司馬昭）,"
いらっしゃいませー！
何かお探しでしたら、
お気軽に
お声がけくださいませ。","
こちらがお客様の
お買い物リストで
ございます。
ご確認くださいませ。",お手伝いいたしますね！,"
こちらがお客様の
お買い物リストで
ございます。
ご確認くださいませ。",お手伝いいたしますね！,お手伝いいたしますね！,,"
こちらがお客様の
お買い物リストで
ございます。
ご確認くださいませ。"
