id,weather_name,weather_desc
1,晴れ,特殊効果がありません
2,風塵,カオスリーダーのブロックが100%アップする
3,小雨,雲華、神威学部の戦姫の攻撃力が100%アップし、風見、隠匿学部の戦姫の攻撃力が50%ダウンする
4,雷雲,戦闘中の全てのキャラ（敵も含む）が受ける燃焼、流血、毒ダメージが200%アップ
5,雪,カオスリーダーの防御力が100%アップする。
6,暗月,修羅、隠匿学部の戦姫の攻撃力が100%アップし、辰星、雲華学部の戦姫の攻撃力が50%ダウンする
7,霧,辰星、風見学部の戦姫の攻撃力が100%アップし、修羅、神威学部の戦姫の攻撃力が50%ダウンする
8,雲,カオスリーダーのHPが50％以上の場合、カオスリーダーが受けるダメージが30％アップする。HPが50％未満の場合、防御力が100％アップする。
9,狂風,敵に与えるダメージが30％アップするが、味方戦姫が受ける治療効果が75％ダウン。
10,曇天,奇数ターンの時、敵が受けるダメージが50％アップし、偶数ターンの時、敵が受けるダメージが50％ダウンする。
11,吹雪,味方戦姫の通常攻撃とアクティブスキルが会心を発動していない場合、ダメージが30％ダウン。会心が発動した場合、ダメージが30％アップ。
