id,name,title,text
1,賈詡,秘密資料,"
[c][f55090]誕生日：[-][/c]5/6
[c][f55090]見た目年齢：：[-][/c]14
[c][f55090]嫌いなプレゼント：[-][/c]刀傘、天使の輪
[c][f55090]好きなプレゼント：[-][/c]邪悪エナジージュース、恐竜のブロック"
2,賈詡,偽装,賈詡はこの学園のどの陣営にも入っていない。\n可愛い外見と声を持つ彼女に、周りの人はつい気を許してしまう。先輩たちに愛され、しょっちゅうハグの標的にされる。\n風紀委員会やDEF陣営とも仲良くしているようだ。
3,賈詡,記憶,カオス症候群が蔓延してから、他人と付き合うのが好きな賈詡もすぐにその一員になったが、賢い彼女は異変を誰にも気付かれないまま、発症期間を過ごした。その後、彼女の脳内にはいくつかの記憶が増えた。どうしてそのような記憶が自分の脳内にあるのか、彼女もよくわからない。しかし、記憶の中の手段や策略に懐かしさを感じた。そして、初めて記憶の中にある策略を用いて、学園内で事件を起こそうと企み、それは見事に成功した
4,賈詡,警告！,味を占めた賈詡は、何度も記憶にある手段や策略を駆使し、おもちゃ候補者をたくさん手に入れた。\n可哀そうに、おもちゃとなってしまった者たちは、それまで守ろうとしていた可愛い後輩が、こんな風に他人を弄ぶような存在であることを知らなかった。賈詡は幽夢学園の謎ともいえる卒業については気にせず、この学園が彼女におもちゃを絶えず与えてくれるかどうかだけを気にしていた。だから、賈詡に出会った時はくれぐれも注意をした方がいいぞ！
5,黄忠,秘密資料,"
[c][f55090]誕生日：[-][/c]4/21
[c][f55090]見た目年齢：[-][/c]16
[c][f55090]嫌いなプレゼント：[-][/c]紅茶、駒
[c][f55090]好きなプレゼント：[-][/c]スリングショット、サボテン"
6,黄忠,性格,黄忠は弓道部の部員だ。彼女は毎日弓道部での練習に励み、それ以外のことに対しては興味がない。議論で問題解決するのを好まず、殆どの場合は簡単な警告をするだけだが、簡単に解決できない時は、武力行使をするだろう。
7,黄忠,陣営変更,当初、黄忠は曹操に付き従い、DEF陣営で活躍していたが、何らかの事件が起こり、彼女は曹操の本性を見破った。その後、DEF陣営から離れて間もなく、劉備の誘いを受け、彼女は風紀委員会に入った。
8,黄忠,仲間外れ？,黄忠は無口な性格のせいか、風紀委員会で他のメン\nバーたちに仲間外れにされている。毎回戦闘任務を命じられる時に、彼女は大したことない任務しか任せてもらえなかった。自分の実力を軽んじられたくない彼女は、以前より更に入念に弓術の腕を磨いている。\n劉備は、もし黄忠がより一層強くなれたのならば、風紀委員会の重役を与えてもいい、と考えている。
9,方天,秘密資料,"
[c][f55090]誕生日：[-][/c]未知
[c][f55090]見た目年齢：[-][/c]16
[c][f55090]嫌いなプレゼント：[-][/c]謎のポーション、刀傘
[c][f55090]好きなプレゼント：[-][/c]SFピストル、SFメガネ"
10,方天,正義？,方天は勇敢で正義感の強い少女である。彼女は、実験室に引きこもって科学研究をするのが好きだ。\n元々は風紀委員会の一員として、自分が信じる正義のために戦っていたが、とある戦闘で曹操に出会い、彼女の器量に感心した方天は、DEF陣営に寝返った。
11,方天,神器,噂によると、方天は幽夢学園で生まれたらしい。\n彼女の体内には、幽夢学園に残された強力な人物の精神力が宿っているようだ。どうやら何らかの謎の知識が与えられているが、それは僅かな欠片程度の記憶に過ぎない。\n方天はこの記憶の欠片を元に、自分の武器（イオン振動刀と電磁ガン）を作った。この武器は異次元の力を注入することができる。あまりに強すぎる武器は、方天の身体に何らかの副作用をもたらした。だが、学園の中で曹操にしか、その副作用の正体はわからない。
12,方天,答え,方天はカオス症候群患者との戦いで、自分が未来を予知する「高位予測」の能力を持っていることに気付いた。一秒後しか予測できないが、これだけでも彼女は学園内の特別な存在になった。\n彼女の記憶は段々と蘇ってきているが、依然として、現世についての記憶は一切ない。だんだんと方天は自分の過去を見つけたいと思うと同時に、自分の脳内に刻まれた正義を疑い始めた。一体それは自分の意志なのか、それとも他の誰かの手で調整された「設定」なのか……\n少なくとも、今はまだ答えを得ていない。
13,貂蝉,秘密資料,"
[c][f55090]誕生日：[-][/c]1/31
[c][f55090]見た目年齢：[-][/c]19
[c][f55090]嫌いなプレゼント：[-][/c]駒、マフラー
[c][f55090]好きなプレゼント：[-][/c]ラッキーブレスレット、雛菊のヘアピン"
14,貂蝉,教師,幽夢学園の学生なら、貂蝉のことを知らない者はいない。なぜなら彼女は、この学園で最もベテランの学生の一人だからだ。\n貂蝉自身も含め、なぜ彼女がまだ卒業していないのかを知る者はいない。とは言え、彼女自身は新入生の授業を楽しんでいる。
15,貂蝉,授業,貂蝉の授業は、彼女が絶対的ヒロインである。\n生徒たちが自分の美貌とスタイルに酔いしれる眼差しが、彼女の一番のお気に入りだ。当然、魅惑的な口振りで生徒に質問するのも大好きだ。\n一方、話を聞かない生徒を躾ける時の貂蝉は、かなり厳しい。スカートの中からどれだけ長いのか誰も知ら「歓欲の縛り」という謎のリボンを取り出し、生徒を躾ける。そのリボンから逃れられる生徒は、誰一人いなかった。ただ、彼女の意のままに暗闇に引きずり込まれ、言葉では説明することのできない「躾」を受けることになる……
16,貂蝉,情勢,貂蝉は、各勢力と良好な関係を保っている（一方的だが）。各勢力のトップの殆どが貂蝉の教え子だが、彼女のことを話す時、思わず嫌悪と恥ずかしさが入り混じった表情を浮かべる。\nカオス症候群が蔓延した後、貂蝉は生徒たちの保護と監視に努めている。しかし、彼女の努力はあまり効果がなく、授業に出席する生徒は、日々少なくなる一方だ。「授業に出る生徒が少なくて、私、寂しいわ」とカオス症候群患者と戦うため、前線に加わった。
17,許褚,秘密資料,"
[c][f55090]誕生日：[-][/c]7/17
[c][f55090]見た目年齢：[-][/c]12
[c][f55090]嫌いなプレゼント：[-][/c]量子バラ、修理道具
[c][f55090]好きなプレゼント：[-][/c]エコドーム、サボテン"
18,許褚,元気ガール,許褚は学園でも有名な元気ガールであり、可愛い外見とは裏腹に、とんでもない怪力を持つ女子である。\n彼女は園芸部のメンバーだが、園芸部の部長は最初、彼女の力に怯えていた。だが、許褚に世話された植物がみんな元気に育っているのを見て、心から彼女を認めている。
19,許褚,植物,植物の世話をする時、許褚は時々独り言を言う。それはどうしてか聞かれると、彼女はいつも「植物と話をしている」と答える。このせいで、頭がおかしい人だと誤解され、敬遠される。\nしかし、一人だけ例外がいた。それは「曹操」だ。曹操も植物には感情があると考えているため、許褚が植物と会話しているのを見て、きっと好人物だと思い、彼女と友達になった。
20,許褚,なかよし日記,"
幽夢学園を歩く時は、足元に気をつけてね！雑草だって、植物を踏むやつは大嫌いなんだから。

誰だって自分の失敗にちゃんと責任を持たなくちゃダメだよ！鈴蘭を植えるのを手伝ってくれないと許さないんだから。

あなたが園芸の才能を持ってるなんて、本当に意外。園芸の凄さは簡単には認められないけど、友達にならなってあげてもいいかなぁ。いや、ライバルかもね。

ねえ、あなたのことを親友だって思ってるから、教えるんだからね？私は植物と話せるの。あの子たちの話し声が聞こえるんだ。はい、このバラをあげる。あなたに伝えたい言葉はこの子が教えてくれるわ。"
21,呂蒙,秘密資料,"
[c][f55090]誕生日：[-][/c]8/21
[c][f55090]見た目年齢：[-][/c]16
[c][f55090]嫌いなプレゼント：[-][/c]吸血鬼の仮面、狐の仮面
[c][f55090]好きなプレゼント：[-][/c]珍しいお守り、桜の扇子"
22,呂蒙,天然ぼけ,呂蒙は天然だが、明るく前向きな少女。\n風紀委員会の一員で、いつも傘を持っているのが彼女だ。傘の形に特別なところはないが、彼女自身の話によれば、こういう傘は軽くて持ちやすいと言う。しかしあの傘は、どう使っても折れることはなさそうなので、殆どの人は、彼女がこっそり何かしらの手を加えているのだろうと思っている。
23,呂蒙,目標,最初、呂蒙は頑張って勉強すれば卒業できると信じていた。でも、彼女の能力には何らかの問題がありそうだ。どう頑張って勉強しても上達せず、ただただ天然な萌え少女キャラを維持している。\n現在、呂蒙は関羽に追い付き、彼女に認めてもらうために特訓を続けている。（彼女は特訓以外、他の趣味は必要がないようだ。）
24,呂蒙,特訓,カオス症候群患者に襲われた時、関羽は患者に囲まれた呂蒙をいとも簡単に救助した。その時から、呂蒙は関羽のことを、前世での大切な人だったと確信している。しかし、何日後かにまた関羽に会った時、関羽は天然萌え娘・呂蒙のことを覚えていなかった。\n最近、多くの人が忘れっぽくなっているようだが、単に関羽が彼女のことを見ていないだけかもしれない。とにかく、天然萌え少女の一方的な憧れは届かなかった。この問題を解決するために、彼女は図書館のどこかで調べた特殊訓練を始めた。
25,ガブリエル,秘密資料,"
[c][f55090]誕生日：[-][/c]7/19
[c][f55090]見た目年齢：：[-][/c]15
[c][f55090]嫌いなプレゼント：[-][/c]邪悪エナジージュース、万年筆
[c][f55090]好きなプレゼント：[-][/c]天使の輪、カメラ"
26,ガブリエル,新聞社,"
ガブリエルは幽夢学園に何年も在籍しているベテランの先輩だ。
彼女は新聞部を創立した。新聞部は一見、校内外の
様々な事柄を報道する従順な組織を装っているが、
実際は学園の夜回り当番として、彼女たちが夜な夜な学園の平和を守っている。"
27,ガブリエル,夜回り当番,"
ガブリエルの新聞部部員に対する要求は、
一に「戦闘力！」二に「戦闘力！」三、四がなくて
五に「戦闘力！」だ。高い戦闘力を持つ者のみが、
学園の夜回り当番として活躍している。戦闘力が特に高い部員は、ガブリエルから特別指導を受けることができ、彼女たちの戦闘力と偵察力をより向上させている。部員たちは、「草木もすべて敵兵に見える」と言う部長のことはイマイチ理解できないが、訓練はしっかりと受けている。"
28,ガブリエル,審判の日,カオス症候群が蔓延し混乱する学園に、ガブリエルは非常に焦っていた。それはガブリエルの記憶に、忘れられないある言葉が存在しているからだった――\n「審判の日」。全てが終わるその日。カオス症候群の蔓延こそが「審判の日」の前兆だと、彼女は信じている。そのため、ガブリエルは夜回り当番に対する要求をさらに厳しくした。新聞部が夜回り当番だと発覚した後、風紀委員会とDEF陣営、両方から声を掛けられるようになったが、ガブリエルは応じなかった。
29,周瑜,秘密資料,"
[c][f55090]誕生日：[-][/c]1/21
[c][f55090]見た目年齢：[-][/c]19
[c][f55090]嫌いなプレゼント：[-][/c]謎のポーション、珍しいお守り
[c][f55090]好きなプレゼント：[-][/c]狐耳のカチューシャ、狐の仮面"
30,周瑜,嘆き,周瑜は音楽部の部員である。彼女の琴の音は、抑揚があって美しく、風のように軽やかで、聞く者を心地良くさせる。多くの聴衆を集める周瑜だが、よく一人で何かを嘆いている。ある人は深夜に寂しい琴の音を耳にしたらしい。多分それは、静寂な夜に彼女が弾いていたものだろう。
31,周瑜,仲間,"
「私はどこから来た？どうして来た？
これからどこへ行く？」
狐耳の演奏者が問う声が、時々琴の音と一緒に広い部室に響き渡っている。
ある日、扇子を持つ一人の少女がこう答えた。
「それらの質問は良く分からないが、あなたの琴の音は分かる。今度夜道を歩く時、私も同行させてもらえないか。」
あれ以来、部室から聞こえてくる孤独だった音色は、ハーモニーを奏でるようになった。"
32,周瑜,救い,元々周瑜は音楽部に専念していたが、ある日、彼女は長らく受けている風紀委員会の誘いを承諾し、組織に入った。それから彼女は、一度も音楽室に入ることはなかった。風紀委員会は周瑜の参加によって、カオス症候群患者を効率よく排除できるようになった。周瑜の言い分では、彼女がしたいことは排除ではなく、救いだそうだ。
33,織田信長,秘密資料,"
[c][f55090]誕生日：[-][/c]6/23
[c][f55090]見た目年齢：[-][/c]18
[c][f55090]嫌いなプレゼント：[-][/c]プリン、コーヒー
[c][f55090]好きなプレゼント：[-][/c]刀傘、狐耳のカチューシャ"
