描述,title,name,dialog,select_text
1,新しい後輩,後輩達,新入生がもうすぐくるんだって！,
2,,後輩達,どんな人なんだろう、気になるね！,
3,,貂蝉,未来の事は、未来になれば分かるわ。\nい・ま・は～……,
4,,貂蝉,さっさと教室に戻りなさい！\nじゃないと、あなたたちは特別授業よ～。,
5,,後輩達,こ……怖い……,
6,,,廊下の喧騒が急に静まり返った。,
7,,貂蝉,ちょっと。,
8,,*,えっ？ぼ、僕？,
9,,貂蝉,何とぼけてんのよ。\n廊下に他の生徒なんていないわよ～。,
10,,*,ちょ、貂蝉先生、用件はなんでしょうか？,
11,,貂蝉,あらあら、怖がちゃって～。食べちゃおうかしら？,
12,,*,えっ！,
13,,貂蝉,新入生の事は、もちろん知っているわよね？,
14,,貂蝉,私ちょっと忙しすぎて、\nまだ彼女たちの備品を用意できていないの……,
15,,貂蝉,困ったわね～……お願いできないかしら？,
16,,*,そ、それだけですか？,
17,,貂蝉,ふ～ん？そんなに食べられたいのかしら？,
18,,貂蝉,期待しちゃうわよ～。,
19,,*,い、今すぐ備品の用意をしてきます！,
20,,貂蝉,あらあら、まだ話の途中なのに、このいけずぅ。,
21,,,商店街からまだ離れた場所から、騒がしい声が聞こえてくる。,
22,,,遠くから見ていると、小柄な黒い影が人だかりの中心にいることに気づいた。,
23,,店主,お嬢ちゃん、そのまま行く気か？\n買い物にはお金が必要だよ～。,
24,,ヤコブ,ご、ごめんなさい。そういうの、知らなくて……,
25,,店主,タダ飯はダメだよね～。\nお金がないなら、店でメイドでもしてもらおうか？,
26,,店主,翼も角もあることだし、小道具までいらなくていいね～。,
27,,店主,まぁ、翼は片方しかないから、もう片方着けてもらおうかな。,
28,,*,角に片翼……まさか、ヤコブ！？,
29,,*,すいません、通してください！,
30,,*,あのっ、この子の兄です。お代はいくらですか？,
31,,店主,チッ！どっから湧いて来たんだ、このモブが……,
32,,*,おいおい、立ち絵さえない店主がそれ言う！？\n僕は一応、主人公だぞ！？,
33,,店主,ふん、この商店街では、オレが主人公さ！,
34,,店主,一人で英雄ごっこをしているガキにはお仕置きが必要だな！おい、やっちまいな！,
35,,ヤコブ,一人じゃない！手伝うよ、「兄さん」！,
36,,店主,クッ、まさかこんなに強いとは……メイドとして……ぜひとも欲しかった……,
37,,*,おとなしく寝ていろ！このエロ親父！,
38,,*,やぁ、また会ったね。,
39,,店主,兄妹設定はもういいのか？,
40,,*,ゴホンッ！無事か、わ、我が妹、ヤコブよ。,
41,,ヤコブ,えっ？なんで私の名前を……？,
42,,ヤコブ,自分の事を兄さんとか言うし、この人もやっぱり変質者……,
43,,*,ストッーーープ！前にも会ったことあるよ！,
