id,name,brief,desc
1,ゴールド,通貨,ノーマル通貨
2,ダイヤ,通貨,一番価値があるレア通貨
3,EXP,プレイヤーEXP,プレイヤーのレベルUPに使う
4,サークルコイン,サークルコイン,サークルショップでアイテム購入に使う
5,サークルEXP,サークルEXP,サークルのレベルUPに使う
6,交換券,交換券,販売機ショップでアイテム購入に使う
7,校友録,戦姫購入用通貨,転校ショップで購入時に使う
8,VIP EXP,VIP EXP,
9,EXPドリンク,戦姫レベルUPEXP,戦姫画面で戦姫レベルUPに使う
10,お弁当,戦姫昇格EXP,戦姫画面で戦姫ランクUPに使う
11,ハート,友情ガチャ通貨,フレンドからもらったもの、ガチャで友情召喚するために使用する。
12,ガチャ保証エナジー,ガチャ保証エナジー,
13,通行パス,最上階参加券,最上階の戦闘に使う
14,彫刻刀,素材,戦姫画面で水晶レベルUPに使う
15,幻境の書,精霊幻境ショップの通貨,精霊幻境ショップでアイテムと交換できる
16,リーグメダル,リーグショップ貨幣,競技の学園リーグ及びトップリーグでの購入に使う
17,競技場宝箱,宝箱はメールで自動的に開く,ゴールド、戦姫EXP、戦姫昇格石、伝説装備、戦姫の欠片などのレアアイテムがランダムで獲得できます
18,魔法のパン,体力アイテム,サークルの製粉所略奪に使う
19,人事ファイル,戦姫交換素材,職員室の生徒募集所で戦姫交換に使う
20,刻印,生徒募集アイテム,生徒募集所で星4以上の戦姫または戦姫の欠片を召喚できる
22,赤星1魂器宝箱,魂器宝箱,購入後、赤の星1魂器1個がランダムでもらえる
23,緑星1魂器宝箱,魂器宝箱,購入後、緑の星1魂器1個がランダムでもらえる
24,普通バイト依頼書,バイト依頼書,バイトで使うと、ランダムでミッションを1個追加（星1～4）。このミッションが完了されなかった場合も、バイトミッションリセット後に消える。
25,高級バイト依頼書,バイト依頼書,バイトで使うと、ランダムでミッションを1個追加（星4～7）。このミッションが完了されなかった場合も、バイトミッションリセット後に消える。
26,使い魔ビスケット,使い魔素材カスタムパック,使い魔の飼育、レベルUP、進化に使う
27,エッセンスビスケット,使い魔素材,使い魔オーラのレベルUPに使う
28,活動マップ,課外活動参加アイテム,課外活動に参加する際に使う
29,高級販売機使用券,高級販売機使用券,1回高級販売機を使用すると、高級販売機使用券を1枚消費する
30,頭像（無用）,特別アイコン,填充
31,建築素材,建築素材,建築に必要な素材
32,戰姬置換材料（無用）,戦姫取替素材,星10戦姫取替に使う
33,ノーマルガチャコイン,ノーマルガチャ通貨,ノーマルガチャで戦姫取得に使う
34,競技場入場券,競技場参戦券,競技場の戦闘に参加する時に入場券を消費する
35,販売機使用券,販売機の使用券,1回販売機を使用すると、販売機使用券を1枚消費する
36,プレミアムガチャコイン,プレミアムガチャ通貨,プレミアムガチャで戦姫取得に使う
37,ハートクッキー,交換素材,特殊アイテム、アイテム交換に使う
38,中秋節の月餅,交換素材,特殊アイテム、アイテム交換に使う
39,手作り電池,イベントアイテム,戦姫たちが図工の授業で作った電池。あまり精巧ではない。使用するとボスに大ダメージを与えられる。
40,移動エネルギー,イベントアイテム,パズル集イベントでパズルの移動に使う
41,雪だるまちゃん,イベントアイテム,祝日にプレゼントと交換できる専用アイテム。イベントが終了すると使用できなくなるので、イベント期間内にご使用ください！
42,クリスマスの靴下,イベントアイテム,祝日にプレゼントと交換できる専用アイテム。イベントが終了すると使用できなくなるので、イベント期間内にご使用ください！
43,プレゼントボックス,プレゼントの宝箱,謎のボックス。開けるとランダムでプレゼント1個とプレゼントの欠片が少し獲得できる。
44,プレゼントの欠片,プレゼントの素材,謎の結晶の欠片。プレゼントボックスから入手する。各種類のプレゼント合成に使う。
45,誓約の指輪,誓約アイテム,デートで使用すると、好感度が100の戦姫と誓約を結べる。
46,春節の爆竹,イベントアイテム,特殊アイテム、アイテム交換に使う
47,卒業証書,特殊アイテム,星10戦姫の交換と再入学に使用する
48,ハートのバルーン,交換素材,特殊アイテム、アイテム交換に使う
49,骨形のビスケット,イベントアイテム,不思議なケモノに使うことができ、親密度が増加する
50,イースターウサギ,イベントアイテム,特殊アイテム、アイテム交換に使う
