id,title_1,unknown_3,contents_1,contents_4,contents_5,contents_2
1,“Limit Event”Unlock!,"Senpai, new events are begun, hurry up to finish them!","Senpai, new events are begun, hurry up to finish them!",先輩、新しいイベントが始まりました、さっそく参加しましょう！,先輩、新しいイベントが始まりました、さっそく参加しましょう！,"Senpai, des nouveaux événements ont commencés, dépêche-toi de les finir !"
2,You have unfinished daily quizzes!,"Senpai, don’t miss your daily mission~","Senpai, don’t miss your daily mission~",日常テストはまだクリアしてませんよ、クリアを忘れずに！,日常テストはまだクリアしてませんよ、クリアを忘れずに！,Senpai! N'oublie pas tes missions quotidiennes~
3,This world needs you!,"Senpai, come to see new change in campus!","Senpai, come to see new change in campus!",先輩、学園にいろんな変化が起こりましたよ！早速確認しましょう！,先輩、学園にいろんな変化が起こりましたよ！早速確認しましょう！,"Senpai, viens voir les changements sur le campus !"
4,This world needs you!,"Senpai, your girls are miss you badly, hurry back!","Senpai, your girls are miss you badly, hurry back!",先輩、戦姫が待っていますよ！早く戻ってきてくださいね！,先輩、戦姫が待っていますよ！早く戻ってきてくださいね！,"Senpai! Tu manques terriblement à tes Filles, reviens vite !"
5,This world needs you!,"Senpai, your girls cannot fight without you, hurry back~","Senpai, your girls cannot fight without you, hurry back~",先輩がいなければ、戦姫たちの戦闘力が大幅に下がってしまいます。早く戻って共に戦いましょう！,先輩がいなければ、戦姫たちの戦闘力が大幅に下がってしまいます。早く戻って共に戦いましょう！,"Senpai, vos Filles ne peuvent pas se battre sans toi, reviens~"
6,This world needs you!,"Senpai, campus will be full of devils if you don’t come back!","Senpai, campus will be full of devils if you don’t come back!",先輩、早く戻らないと、学園は悪魔に占領されてしまいますよ！,先輩、早く戻らないと、学園は悪魔に占領されてしまいますよ！,"Senpai, le campus va être rempli de démon si tu ne reviens pas !"
7,This world needs you!,"Senpai, you truly want to abandon your battle girls?","Senpai, you truly want to abandon your battle girls?",先輩は戻ってこないのですか？戦姫たちはいつでも先輩を待っています。,先輩は戻ってこないのですか？戦姫たちはいつでも先輩を待っています。,"Senpai, veux-tu vraiment abandonner tes Filles?"
8,You have unfinished internship!,"Senpai, you have uninitiated internship task, hurry to finish!","Senpai, you have uninitiated internship task, hurry to finish!",先輩、開始していないバイトミッションがありますよ！早く戦姫たちを派遣しましょう！,先輩、開始していないバイトミッションがありますよ、早く戦姫たちを派遣しましょう！,"Senpai, tu n'as pas commencé de tâche de stage, dépêche toi d'y aller"
9,Arena Rank Decline,Senpai! Your team was defeated in campus league! Revenge now!,"Senpai, your rank in Campus League is declined, time to check out!",先輩、学園リーグのチームが敗北しました。早くリベンジしましょう！,先輩、学園リーグのチームが敗北しました、早くリベンジしましょう！,Senpai ! Your team was defeated in campus league! Revenge now!
10,Guild Notice Revise,Guild Notice changed: {1},Guild Notice changed: {1},サークルお知らせは次のように変更されました：{1},サークルお知らせは次のように変更されました：{1},Guild Notice changed: {1}
11,A message to guild leader,Leader! We need your help of building guild! Come back!,Leader! We need your help of building guild! Come back!,部長、サークルにちょっと問題があったようです。早く戻って解決しましょう！,部長、サークルにちょっと問題があったようです、早く戻って解決しましょう！,Leader! We need your help of building guild! Reviens !
12,A message to guild leader,Leader! Our guild can't move on without you! Please come back!,Leader! Our guild can't move on without you! Please come back!,部長、サークルには部長の指導が必要です！早く戻ってください！,部長、サークルには部長の指導が必要です！早く戻ってください！,Leader! Our guild can't move on without you! Please come back!
13,A message to guild leader,Leader! Where are you? We have something serous happened in guild!,Leader! Where are you? We have something serous happened in guild!,部長がいない間、サークルの発展は上手くできていません。早く戻ってください！,部長がいない間、サークルの発展は上手くできませんでした。早く戻ってください！,Leader! Where are you? We have something serous happened in guild!
14,A message to guild leader,Leader! Do you really want to leave your guild? Please come back!,Leader! Do you really want to leave your guild? Please come back!,部長、サークルの皆とクラスメイト達があなたを待っていますよ。,部長、サークルの皆とクラスメイト達があなたを待っていますよ。,Leader! Do you really want to leave your guild? Please come back!
15,Regarding to battle girls!,Senpai! How was your first day in campus? Was it great?,Senpai! How was your first day in campus? Was it great?,先輩、学園生活はどうですか？のんびりしているでしょう！,先輩、学園生活はどうですか？のんびりしているでしょう！,Senpai! How was your first day in campus? Was it great?
16,Regarding to battle girls!,Senpai! Girls were all talking about you these days!,Senpai! Girls were all talking about you these days!,先輩、この二日間の交流で、戦姫にいい先輩だと褒められました！,先輩、この二日間の付き合いで、戦姫にいい先輩だと褒められました！,Senpai! Girls were all talking about you these days!
17,Regarding to battle girls!,Senpai! You and your girls are working better and better! Fight!,Senpai! You and your girls are working better and better! Fight!,先輩、戦姫達との相性がよくなりましたね！引き続き頑張りましょう！,先輩、戦姫達との相性がよくなりましたね！引き続き頑張りましょう！,Senpai! You and your girls are working better and better! Fight!
18,Regarding to battle girls!,Senpai! You are the chosen one to help us defeat demons!,Senpai! You are the chosen one to help us defeat demons!,先輩のお陰で、悪魔学園を倒すことができました。さすが選ばれた人は違いますね！,先輩のお陰で、悪魔学園を倒すことができました。さすが選ばれた人は違いますね！,Senpai! You are the chosen one to help us defeat demons!
19,Regarding to battle girls!,Senpai! Many girls are sending your letters! Come and see!,Senpai! Many girls are sending your letters! Come and see!,先輩、あなたのことが好きな戦姫がたくさんいますよ！仲良くしましょう！,先輩、あなたのことが好きな戦姫がたくさんいますよ！仲良くしましょう！,Senpai! Many girls are sending your letters! Come and see!
20,Available Canteen Order!,Senpai! Please select your orders in Canteen!,Senpai! Please select your orders in Canteen!,先輩、今日の食堂の注文を忘れたようですね。早く作りましょう！,先輩、今日の食堂の注文を忘れたようですね。早く作りましょう！,Senpai! Please select your orders in Canteen!
21,Go to challenge Guild Boss!,Senpai! You still have boss fight in guild! Come join the fight!,Senpai! You still have boss fight in guild! Come join the fight!,先輩、今日はまだサークルクエストに挑戦していないようですね。早く参戦しましょう！,先輩、今日はまだサークルクエストに挑戦していないようですね。早く参戦しましょう！,Senpai! You still have boss fight in guild! Come join the fight!
