id,map_id,cell_type,name,desc,num
1,5,0,,,
2,5,0,,,
3,5,0,,,
4,5,0,,,
5,5,4,屋敷01,イベントが発生！イベントの内容と選択肢の結果により、ボーナスを獲得します。,01
6,5,5,屋敷02,立派な屋敷のボスチャレンジ！全力で敵を倒して、物語から抜け出そう！\nメインチャレンジ：当マスのチャレンジではボーナスが増加します。,02
7,5,0,,,
8,5,0,,,
9,5,0,,,
10,5,0,,,
11,5,0,,,
12,5,0,,,
13,5,0,,,
14,5,0,,,
15,5,3,屋敷03,支援チャレンジに参加する戦姫を選択して、ボーナスを獲得！「ケモミミの戦姫」を選択すると、ボーナスが更に増加するよ！\nメインチャレンジ：当マスのチャレンジではボーナスが増加します。,03
16,5,2,屋敷04,自身の戦姫、または協力NPCで敵と戦って、ボーナスを獲得しよう！ダメージが高い程、ボーナスがアップするよ！\n特殊チャレンジ：味方が与える継続ダメージが80％減少。\nメインチャレンジ：当マスのチャレンジではボーナスが増加します。,04
17,5,4,屋敷05,イベントが発生！イベントの内容と選択肢の結果により、ボーナスを獲得します。,05
18,5,0,,,
19,5,0,,,
20,5,0,,,
21,5,0,,,
22,5,4,屋敷06,イベントが発生！イベントの内容と選択肢の結果により、ボーナスを獲得します。,06
23,5,2,屋敷07,自身の戦姫、または協力NPCで敵と戦って、ボーナスを獲得しよう！ダメージが高い程、ボーナスがアップするよ！\n特殊チャレンジ：味方が与える会心ダメージが80％減少。,07
24,5,2,屋敷08,自身の戦姫、または協力NPCで敵と戦って、ボーナスを獲得しよう！ダメージが高い程、ボーナスがアップするよ！\n特殊チャレンジ：無\nメインチャレンジ：当マスのチャレンジではボーナスが増加します。,08
25,5,0,,,
26,5,0,,,
27,5,2,屋敷09,自身の戦姫、または協力NPCで敵と戦って、ボーナスを獲得しよう！ダメージが高い程、ボーナスがアップするよ！\n特殊チャレンジ：敵が拘束効果（石化、気絶、凍結）を受ける度、ランダムで2体の味方戦姫が自身の最大HP10％のダメージを受ける。,09
28,5,3,屋敷10,支援チャレンジに参加する戦姫を選択して、ボーナスを獲得！「量子バラまたは桜の扇子が好きな戦姫」を選択すると、ボーナスが更に増加するよ！,10
29,5,2,屋敷11,自身の戦姫、または協力NPCで敵と戦って、ボーナスを獲得しよう！ダメージが高い程、ボーナスがアップするよ！\n特殊チャレンジ：敵は4回ダメージを受ける度、次のダメージを無効化する。,11
30,5,0,,,
31,5,0,,,
