id,desc,mask_icon,icon_offset,mask_icon_h5,icon_offset_h5
1,先輩、[c][d76500]幽夢学園[-][/c]にお帰りなさい！\n\n今日は入学初日ですよ。私が学園をご案内しますので、一緒に見に行きましょう！,,,,
2,では早速、学園を案内しますね。少しずつ慣れていきましょう！,,,,
3,先輩、ここでは[c][d76500]ガチャ[-][/c]ができますよ！,buttoncrop_1,0|0,,
4,[c][d76500]ノーマルガチャ[-][/c]では多くの戦姫が獲得できます！（星1-5）\nただし、[c][d76500]ノーマルガチャコイン[-][/c]が必要です！,,,,
5,今なら無料ですよ！\n試してみましょう！,buttoncrop_4,0|0,,
6,,,,,
7,[c][d76500]プレミアムガチャ[-][/c]では、さらに[c][d76500]レア[-][/c]な戦姫が獲得できますよ！（星3-5）\nただし、[c][d76500]ダイヤ[-][/c]または[c][d76500]プレミアムガチャコイン[-][/c]が必要で～す。,,,,
8,あら？今回はプレミアムガチャも無料ですね！,buttoncrop_6,0|0,,
9,,,,,
10,,buttoncrop_1,0|0,,
11,よしっ、先輩は戦姫の獲得方法も分かってきたようですね。次は[c][d76500]戦闘[-][/c]を見てみましょう。,,,,
12,こっち、こっち～！\n先輩、[c][d76500]メインクエスト[-][/c]は\nこちらですよ～！,buttoncrop_2,0|0,buttoncrop_2_h5,0|-4
13,きゃあ！[c][d76500]戦闘[-][/c]が発生しているみたい！\n先輩、見に行きましょう！,buttoncrop_17,0|0,,
14,まずは、出陣する戦姫を選んでくださいね！,buttoncrop_3,0|0,,
15,,buttoncrop_3,0|0,,
16,準備OK！\nでは、始めましょう！,buttoncrop_5,0|0,,
17,戦姫たちはそれぞれ[c][d76500]学部に所属[-][/c]しています。\n各学部間には、[c][d76500]相性[-][/c]があります。\n詳しい情報は左下のボタンをタップして確認してくださ～い！,,,,
18,,buttoncrop_18,0|0,,
19,,,,,
20,,,,,
21,おっ、戦姫の欠片をゲットしたようですね～！\nバッグを開けて戦姫を\n[c][d76500]合成[-][/c]してみましょう！,buttoncrop_1,0|0,,
22,先輩、ここで[c][d76500]欠片の合成[-][/c]ができますよ！,buttoncrop_11,0|2,,
23,一定数の欠片を集めたら、戦姫を召喚できますよ！\n戦姫アイコンをタップしてみてくださいね。,,,,
24,,,,,
25,,,,,
26,,,,,
27,あっ、戦姫たちをもっと強くしないと！,buttoncrop_1,0|0,,
28,は～い、この[c][d76500]学園[-][/c]ボタンをタップしてください。,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
29,先輩、[c][d76500]転校[-][/c]機能も確認しましょう！,buttoncrop_9,0|-1,,
30,戦姫を転校させると、[c][d76500]EXPドリンク[-][/c]がもらえます。これは戦姫をレベルアップさせる大事な素材なんですよ。,,,,
31,転校させたい戦姫を選択してみてください。,buttoncrop_3,0|0,,
32,,buttoncrop_19,0|0,,
33,,,,,
34,よ～し、\n早速戦姫を[c][d76500]レベルアップ[-][/c]してみましょう！,buttoncrop_1,0|0,,
35,,buttoncrop_10,0|0,,
36,EXPドリンクが溜まったら、ここをタップして戦姫をレベルアップしてくださいね。,,,,
37,わあ、もう1回レベルアップしてみて！,,,,
38,さっすが先輩！\nもう1回やってみましょう！,,,,
39,レベルアップして戦姫が強くなったみたいですね！はい、最後にもう1回！,,,,
40,それでは、戦姫に[c][d76500]装備[-][/c]を装着させてみましょう。,buttoncrop_11,0|0,,
41,武器ボタンをタップして、武器を一つ選んでください。,buttoncrop_12,0|0,,
42,,,,,
43,,,,,
44,わあ～、すっご～い！\n戦姫がまた強くなったみたいですね！,,,,
45,,buttoncrop_13,0|0,,
46,,buttoncrop_1,0|0,,
47,さぁ、先輩、\n冒険を続けましょう！,buttoncrop_2,0|0,buttoncrop_2_h5,0|-4
48,先輩、ここをタップすれば、次の冒険エリアに行けますよ～。,buttoncrop_20,-16|0,,
49,,,,,
50,ここでオートモードの戦利品を受け取れます！,buttoncrop_21,0|2,,
51,では、新しい戦闘を始めましょう。,buttoncrop_17,0|0,,
52,好きな戦姫のアイコンをタップして、戦姫を出陣させてみましょう！,buttoncrop_3,0|0,,
53,アイコンを[c][d76500]ドラッグ[-][/c]すれば、位置を交換できますよ～。,buttoncrop_22,0|-62,,
54,,buttoncrop_5,0|0,,
55,,,,,
56,わーい！新しい戦利品があるみたい！,buttoncrop_21,0|2,,
57,やった～！\nまた新しいエリアが開放されましたよ～！,buttoncrop_20,-16|0,,
58,,,,,
59,うわ～、先輩すごい！あっ、オートモードの戦利品は忘れずに受け取ってくださいね。\nオートモードでは[c][d76500]10時間[-][/c]以上経過すると新しい戦利品がドロップしなくなりますよ！,,,,
60,[c][d76500]マイページ[-][/c]で何かあったみたいです。先輩、一緒に見に行きましょう！,buttoncrop_1,0|0,,
61,[c][d76500]入学イベント[-][/c]をタップし、[c][d76500]オンラインボーナス[-][/c]を受け取りましょう～！,buttoncrop_15,0|0,buttoncrop_14_h5,0|0
62,ここで[c][d76500]オンラインボーナス[-][/c]が受け取れますよ～。,buttoncrop_35,0|0,,
63,,buttoncrop_1,0|0,,
64,[c][d76500]限定イベント[-][/c]をタップして、毎日の[c][d76500]ログイン[-][/c]ボーナスを受け取りましょう！,buttoncrop_15,0|0,buttoncrop_15_h5,4|2
65,,buttoncrop_36,1|1,,
66,[c][d76500]マイページ[-][/c]には、\nまだまだ色々ありますよ～。,buttoncrop_1,0|0,,
67,[c][d76500]売店[-][/c]に[c][d76500]何が[-][/c]あるか見てみましょう！,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
68,学園で最も賑わっている[c][d76500]商店街[-][/c]に行ってみましょう！,buttoncrop_16,0|1,,
69,商店街の[c][d76500]売店[-][/c]にはいいものがいっぱいありますよ～！,buttoncrop_30,-14|-1,,
70,わ～！[c][d76500]プレミアムガチャコイン[-][/c]が売ってます！\nラッキ～！早く購入しましょう！,buttoncrop_24,0|60,,
71,,,,,
72,,,,,
73,早速[c][d76500]コイン[-][/c]を使って\nガチャしましょう！,buttoncrop_1,0|0,,
74,[c][d76500]プレミアムガチャコイン[-][/c]でプレミアムガチャが1回できます。やってみましょう！,buttoncrop_6,0|1,,
75,,,,,
76,うわー、大変だ～！\n間に合わないー！,buttoncrop_1,0|0,,
77,早く入学式に行きましょう。遅れたら先輩たちに怒られますよ！,buttoncrop_2,0|0,buttoncrop_2_h5,0|-4
78,,buttoncrop_17,0|0,,
79,,buttoncrop_3,0|0,,
80,,,,,
81,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
82,,,,,
83,,,,,
84,,buttoncrop_26,0|0,buttoncrop_26_h5,0|0
85,,,,,
86,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
87,,,,,
88,,,,,
89,それでは[c][d76500]サークル[-][/c]ボタンをタップして、サークルに参加してみましょう。もちろん自分で作ることもできちゃいますよ！,,,,
90,,,,,
91,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
92,,,,,
93,,,,,
94,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
95,,,,,
96,,,,,
97,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
98,,,,,
99,,,,,
100,,buttoncrop_26,0|0,buttoncrop_26_h5,0|0
101,,,,,
102,,buttoncrop_27,-1|-1,buttoncrop_27_h5,0|0
103,,,,,
104,,,,,
105,,,,,
106,,buttoncrop_27,-1|-1,buttoncrop_27_h5,0|0
107,,,,,
108,,,,,
109,それでは[c][d76500]サークル[-][/c]ボタンをタップして、サークルに参加してみましょう。もちろん自分で作ることもできちゃいますよ！,,,,
110,おぉ！先輩から不思議なオーラを感じます！先輩はきっと伝説の「選ばれし者」ですね！,buttoncrop_26,0|0,,
111,でしたら、これを機に「選ばれし者」として、サークルを設立してみませんか？初回は無料ですよ！,,,,
112,おっ、戦姫の欠片をゲットしたようですね～！\nバッグを開けて戦姫に\n[c][d76500]合成[-][/c]してみましょう！,buttoncrop_27,-1|-1,buttoncrop_27_h5,0|0
113,先輩、ここで[c][d76500]欠片の合成[-][/c]ができますよ！,buttoncrop_11,0|6,,
114,,,,,
115,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
116,,,,,
117,,old_school_guide_mask,0|0,,
119,先輩、ここから[c][d76500]遠足会[-][/c]に行けますよ！,buttoncrop_26,0|0,buttoncrop_26_h5,0|0
120,まずメインセンターに\n行ってみましょう！,travel_guide_1,18|32,travel_guide_1,18|32
121,キャラスロットをタップ！,,,,
122,戦姫を設定すると、該当のステータスバフを獲得します！,,,,
123,メインセンターをレベルアップして、スロットを解禁しましょう！,,,,
125,パン屋に行ってみましょう！,travel_guide_2,-3|-8,travel_guide_2,-3|-8
126,生産系の建物に戦姫を配置すると、収益が上がります！,travel_guide_3,0|0,travel_guide_3,0|0
128,パン屋をレベルアップして、\nスロットを解禁しましょう！,,,,
130,各建物は異なる素材を生産します。[c][d76500]一括受取[-][/c]をタップしましょう！,,,,
131,ここから探検に出発して、\nボーナスを手に入れましょう！,travel_guide_4,0|5,travel_guide_4,0|5
133,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
134,,,,,
135,ここはアバターの設定画面です！\n先輩はここでアバターを確認、\n変更できますよ～！,,,,
