id,name,desc,skill_desc1,skill_desc2,skill_desc3,skill_desc4
851001,周瑜,1、隠匿学部に所属する一風変わったプリースト戦姫。ダメージが高く、特にHPが半分未満の敵に対して、ダメージが2倍になる。\n2、速度が遅いため、拘束スキルは後発になりやすい。\n3、ゲーム序盤、中盤では使えるが、終盤は少し力不足を感じる。最上階とPVPで、拘束スキルが少ないチームに対して、有利に立ち回れる。,アクティブスキルは後列にダメージと石化効果を与える。\n自身の基礎攻撃力が高いため、先手で出すことができれば、効果は抜群。,強化スキル。通常攻撃は前列を攻撃する。関羽、趙雲、織田信長などブロックが高い戦姫に対して、効果がある。,強化スキル。ブレイクと攻撃力がアップする。,強化スキル。HPが低い時、自身のダメージ能力を3ターン大幅にアップする。
851002,張郃,1.隠匿学部に所属する、ある程度ダメージ能力を持つアサシン戦姫。一定の回復能力を持ち、流血状態の敵に対して、ダメージが増加する。\n2.ゲーム序盤ではPVEにおいて高いダメージ力で貢献できる。\n3.HPが低く、拘束スキルに弱いため、拘束耐性とHPのステータス強化がお勧め。,アクティブスキルはランダムで2体の敵にダメージを与え、さらに追加ダメージを与える。相手がレンジャーの場合、さらにダメージが大幅アップする。\n星6以降、ターゲット数が2体から3体に増加する。\n星10以降、回復効果が追加される。,強化スキル。攻撃するたび（通常攻撃含む）、突破力がアップして、敵に継続ダメージを与える。,強化スキル。ブレイクと攻撃力がアップする。,回復スキル。攻撃力が高い程、回復量が増加する。
851003,とうたく,1、隠匿学部に所属するウォーリア戦姫。前列1番の位置を担当することが多い。\n2、星10以前は生存能力も基礎攻撃力も低めだが、星10になると能力が大幅に変化して、一定の拘束能力を獲得する。,アクティブスキルは敵の後列にダメージを与え、回復効果がある。\n星10以降は凍結効果が追加される。\n回復効果は攻撃力と関係がある。董基礎攻撃力は不足しているが、当スキルは星10以降に大幅に強化される。,強化スキル。ブレイクと生存能力をアップ。,回復スキル。ブロックが発動すると、一定HPを回復する。,回復スキル。星10でスキル効果が大幅に変化して、優れた回復能力を持つ。
851004,ドラキュラ,"
1、隠匿学部に所属するダメージ型戦姫。
2、ソーサラーキラー。最上階に行く時、ソーサラーチームに対して強い。
3、HPが最も低い敵を優先攻撃するため、確実に敵を落とすことができる。
4、回復スキルを有するため、星6以降は前列1番の位置を担当することが多い。",アクティブスキルはランダムで3体の敵戦姫にダメージを与える。敵がソーサラーの場合、気絶と追加ダメージを与える。\n星6になれば、ターゲットの数は3体から4体になる。,強化スキル。ダメージ能力と生存能力をアップ。,キラースキル。通常攻撃を強化して、HPが最も低い敵をターゲットする。,強化スキル。HPが80%未満になると、ダメージが増加して、HPを継続回復する。
851005,孫悟空,1、隠匿学部に所属するダメージ型戦姫。\n2、アサシン戦姫を気絶させて、気絶した相手に対してダメージが増加するため、最上階に行く時、アサシンチームに対して強い。\n3、速度が遅く、後手に回りやすいため、速度増加のステータスがお勧め。,"
アクティブスキルはランダムで3体の敵にダメージを与え、アサシンタイプの戦姫に気絶と追加ダメージを与える。
星6以降、ターゲットする敵が3体から4体に増加。
星10以降、アサシンタイプの戦姫に対して、さらに毒効果を与える。
当スキルはダメージが高く、アサシンタイプに対して非常に強力。",拘束スキル。確率で攻撃した敵を気絶させる。,強化スキル。気絶している相手に対して追加ダメージを与える。パッシブ1と他の気絶タイプの戦姫と合わせて使用することをお勧めする。,強化スキル。敵の防御力を減少させて、ダメージ能力を上昇させる。
851006,鄧艾,"
1、隠匿学部に所属する強力な凍結能力を持つウォーリア戦姫。
2、アクティブスキルは前列の戦姫にダメージを与え、高確率で凍結効果を与える。前列の敵への制限が強い。
3、攻撃を受けた時、確率で相手を凍結させると同時に、HPを回復して防御力を増加できるため、強い持続力と生存能力を持つ。
4、星数を問わず、育成しておくべき戦姫。",アクティブスキルは前列の戦姫にダメージを与え、高確率で凍結効果を与える。同時に自身のHPを回復して、生存能力を増加する。,拘束スキル。攻撃を受けた時、確率で相手を凍結させる。相手がウォーリアの場合、確率が増加する。,強化スキル。攻撃力と生存能力を増加して、凍結効果を無効化する。,回復スキル。HPが低い時、自身のHPを大幅回復する。
851007,孟獲,1、隠匿学部に所属するダメージ型戦姫。\n2、星10以前はスキルの攻撃効果は良くないが、星10になると敵に大ダメージを与えると同時に、30%の攻撃力を減少させられる。,アクティブスキルはHPが最も低い敵を攻撃し、相手の攻撃力をダウンさせる。\n星10以降は効果が発動した時、高めの追加ダメージを与える。,強化スキル。攻撃力と生存能力を増加する。,強化スキル。攻撃するたび（通常攻撃を含む）、ダメージ能力が増加する。,強化スキル。HPが低い時、ダメージ能力が大幅に強化する。
851008,千本桜,"
1、隠匿学部に所属する拘束タイプの戦姫。敵を石化させ、石化状態の敵へのダメージがアップ。
2、持続力と拘束能力が高く、PVPでは拘束の主力として活躍できる。
3、高いダメージ軽減があり、石化無効のため、生存能力が高い。
4、拘束タイプの戦姫がほしい場合は育成をお勧めする。",アクティブスキルは敵後列の戦姫にダメージを与え、一定の確率で石化させる。同時に相手の防御力を低下させる。,強化スキル。攻撃力と生存能力を増加して、石化効果を無効化する。,強化スキル。通常攻撃は後列を攻撃し、石化効果を与える。同時に、石化したターゲットに対して、追加ダメージを与える。,強化スキル。HPが低い時、ダメージ軽減率を増加して、生存能力を強化する。
851009,甘夫人,1、隠匿学部に所属するダメージ型戦姫。\n2、通常時のダメージは普通だが、倒された後、相手に大ダメージを与えることができる。\n3、戦姫が倒されることにより能力が強化される、曹操やイサウ＆ヤコブなどとの相性が良い。,アクティブスキルは敵全体にダメージを与え、ウォーリア戦姫に沈黙効果を与える。\n星10以降は、攻撃力を継続的に増加させ、ダメージ能力を強化する。,強化スキル。味方の戦姫が倒された場合、会心率と攻撃力を増加して、ダメージ能力を大幅に強化する。,強化スキル。生存能力とダメージ能力を強化する。,コアスキル。自身が倒された後、敵全体に多大なダメージを与える。
851010,司馬懿,"
1.隠匿学部に所属する集中ダメージ能力が特徴のアサシン型戦姫。
2.通常攻撃は、ランダムで後列の敵1体にダメージを与える。
3.高めの攻撃力、速度に加え、毒ダメージアップや気絶効果もあるため、優秀な火力役の戦姫である。
4.「束縛の一撃」がレベル3になると、通常攻撃で敵を100%気絶させられるようになり、特に1対1で真価を発揮する。さらに、アクティブスキルにはダメージ軽減効果もあるため、弱点の防御面もカバーできる。","
アクティブスキルはランダムで敵後列の戦姫1体にダメージを与え、追加で毒効果を与える。さらに一定確率で敵を気絶させる。
星6以降、ターゲットが2体に増加する。
星10以降はさらにダメージ軽減率が追加され、生存能力を強化する。
毒効果があるため、他の毒攻撃戦姫と組み合わせることをお勧めする。",強化スキル。ダメージと生存能力をアップ。毒状態の敵に与えるダメージが増加。,強化スキル。攻撃するたび（通常攻撃を含む）、確率で気絶効果を与える。,強化スキル。HPが低い時、ランダムで後列の敵2体に追加の毒ダメージを与える。\n星10以降は、ターゲットは敵後列全体になる。
