id,contents,title
1,"Senpai, Your rewards in Auto-Battle is filled up! Come collect your Loot!",Collect Loot
2,"Free Adv. Capsule, Senpai! Come try your luck!",Free Capsule!
3,"Senpai, Alchemy is available! Let's collect your Coins!",Alchemy is available!
4,"Senpai, you still haven't collected your daily rewards!",Daily Reward
5,"Patrol is available, Senpai! Let's bring justice to the Academy~",Patrol is now available!
6,Senpai! You have a new message in Mail!,New Mail
7,Senpai! You have received a reply from GM!,Reply from GM
8,"Senpai, It's time to collect your rewards!",Collect rewards!
9,"Senpai, Hiking is now available! Let's take your girls exploring!",Hiking is now available!
10,Senpai! A New Girl is available in Progression! Take a look!,
21,"Dear Senpai, reward production in School Excursion has reached its limit, it's time to claim your rewards!",Excursion Reward
22,"Senpai, the Chests in School Excursion have been unlocked!",Chest Rewards
23,Congratulations! You've advanced to the next phase in Ultimate Arena! Come and set up your team ~,Ultimate League
24,"Senpai, the Points Race phase of Ultimate League will end soon. Come and join the battle!",Ultimate League
