id,name,title,text
1,Toy Girl,Secret,"
[c][f55090]Birth:[-][/c] May 6th
[c][f55090]Age(In appearance):[-][/c] 14
[c][f55090]Dislikes:[-][/c] Umbrella & Angel Halo
[c][f55090]Likes:[-][/c] Evil Fruit & Dinosaur Blocks"
2,Toy Girl,Disguise,"Toy Girl is pretty unassuming on campus. With her cute appearance and lovely voice, people around her let usually feel at ease. She is popular with seniors and is usually treated as a cuddle buddy. Overall, Toy Girl gets people, no matter from who, Discipline Committee or D. E. F."
3,Toy Girl,Memories,"Since the first CHAOS FIGURE outbreak, Toy Girl became one of the infected due to her fondness for all kinds of people. However, she's wise enough to hide her mutation from others. After suffering from the first stage of the disease, new memories kept coming out. Though she had no idea where the memories come from, she became familiar with all the tactics and strategies that appear from her memories. The first time she tried to pick a fight and use those same tactics, success was guaranteed."
4,Toy Girl,Warning!,"After realizing the benefits of this power, Toy Girl couldn't stop applying the tactics and strategies that appeared in her memories to aquire a large amount of candidates as toys to play with. Those pathetic toys never knew the nature of the cute little sister they loved and tried to protect. She never tries to graduate from Yume Academy because control is her true motivation."
5,Amazon,Secret,"
[c][f55090]Birth:[-][/c] Apr. 21st
[c][f55090]Age(In appearance):[-][/c] 16
[c][f55090]Dislikes:[-][/c] Black Tea & Chess Piece
[c][f55090]Likes:[-][/c] Slingshot & Cactus"
6,Amazon,Character,"Amazon, a member of Kyodo Club, obsessively practices archery each day without any interest in other things. Instead of solving problems by talking it out with others, she normally gives opponents a brief warning. If her warnings don't work, she gets rough."
7,Amazon,Changing Factions,"In the beginning, Amazon followed Saint in the D. E. F., but a report showed an incident where she saw Saint's true nature. She quit serving D. E. F. afterwards, and soon after leaving D. E. F, she got an invitation from Joan and joined the Discipline Committee."
8,Amazon,Pushed Aside?,"Amazon, an introvert of few words, became less popular and was taken less seriously in the Discipline Committee. In every combat mission, Amazon was only assigned to tasks that make no impact. Not wanting to be underestimated, Amazon practiced archery harder and harder. According to Joan, Amazon would've been given more important duties by the committee if she was stronger."
9,Hexa,Secret,"
[c][f55090]Birth:[-][/c] Unknown
[c][f55090] Age(In appearance):[-][/c]16
[c][f55090] Dislikes:[-][/c] Mystery Potion & Umbrella
[c][f55090] Likes:[-][/c]SF Pistol & SF Glasses"
10,Hexa,Justice?,"Hexa is a courageous girl with a strong sense of justice. She likes to conduct scientific research in the research room. A former Discipline Member, she currently fights for her own moral code and justice. When she fought Saint, it was said that Hexa was moved and inspired by Saint's presence and charisma. Afterwards, she joined D. E. F."
