id,name,desc
1,Sign In,Daily Login
2,Regular Capsule,Draw {1} Regular Capsule(s)
3,Internship,Complete {1} Internship Quest(s)
4,Daily Quiz,Clear {1} Quizz(es) in Daily Quiz
5,Friend Boss,Defeat {1} Friend Boss(es)
6,Send Hearts,Send {1} Heart(s)
7,Loot,Claim Loot {1} time(s)
8,Adv. Capsule,Draw {1} Adv. Capsule(s)\n(≠ Wish Capsule)
9,Slot Machine,Use Normal Slot Machine {1} time(s)
10,Forge,Craft {1} Gear(s) in Forge.
11,Alchemy,Use Alchemy {1} time(s) to get Coins
12,Consume Gems,Consume {1} Gems
13,Market,Purchase {1} Merchandise(s) in Market
14,Girl Transfer,Transfer {1} Girl(s)
15,Junior Varsity,Finish {1} Junior Varsity battle(s)
16,Enroll,Complete {1} Enroll(s)
17,BFF Capsule,Draw {1} BFF Capsule(s)
18,Upgrade,Upgrade your Girl(s) {1} time(s)
19,,Acquire {1} VIP Exp
20,,Complete {1} Study Program tasks above
