name,desc,desc1
atk,Attack,Attack
hp,HP,生命上限百分比燃烧伤害
arm,Armor,Armor
spd,Speed,Speed
sklP,Skill Damage,Skill Damage
hit,Precision,Precision
miss,Block,Dodge
crit,Crit,Crit
critTime,Crit Damage,Crit Damage
brk,Armor Break,Armor Break
free,CC Immune,CC Immune
trueAtk,Holy Damage,Holy Damage
energy,Energy,Energy
decDmg,DMG Reduction,DMG Reduction
stun,Stun,Stun
ice,Freeze,Freeze
stone,Petrify,Petrify
forbid,Silence,Silence
hurt,Direct Damage,Direct Damage
dot,Damage over time,Damage over time (marks and bleeding)
heal,Direct Heal,Direct Heal
hot,Heal over time,Sustained Heal
healP,恢復%生命,恢复%生命
trueHurt,Holy Damage,Holy Damage
dotPoison,Poison,Poison
dotBlood,Bleeding,Bleeding
dotFire,Burning,Burning
atkP,Attack,Attack
hpP,HP,生命（按%加生命）
armP,Armor,Armor
addhurt,Add Attack,Add Attack
revive,revive,revive
siphonAtk,Percentage Attack Siphoned,Percentage Attack Stolened
siphonHp,Percentage HP Stolen,Percentage HP Stolen
siphonArm,Percentage Armor Stolen,Percentage Armor Stolen
shield,抵挡护盾,抵挡护盾
brier,reduce x% of damage,reduce x% of damage
rImpress,Round Mark,Round Mark
cImpress,Crit Mark,Crit Mark
rImpressB,Explosive Round Mark,Explosive Round Mark
cImpressB,Explosive Crit Mark,Explosive Crit Mark
fImpress,Shock Streak,Shock Streak
oImpress,Mark of the Observer,Mark of the Observer
weak,Weaken,Weaken
atkPos,position increases attack,position increases attack
hpPos,位置增加生命率,位置增加生命率
armPos,armPos,armPos
spdPos,position increases speed,position increases speed
hitPos,位置增加精準,位置增加精準
missPos,dodge increase,dodge increase
critPos,Crit Increase,Crit Increase
critTimePos,increases crit multiplier,increases crit multiplier
stunB,increase damage when stunned,increase damage when stunned
iceB,increase damage when frozen,increase damage when frozen
stoneB,increase damage when petrified,increase damage when petrified
dotFireB,increase damage when burned,increase damage when burned
dotPoisonB,increase damage when poisoned,increase damage when poisoned
dotBloodB,Increase Bleed,Increase Bleed
zs,Extra Damage to Warrior,Extra Damage to Warrior
fs,Extra Damage to Mage,Extra Damage to Mage
ms,Extra Damage to Priest,Extra Damage to Priest
ck,Extra Damage to Assassin,Extra Damage to Assassin
yx,Extra Damage to Ranger,Extra Damage to Ranger
changeCombat,Change Normal Attack,Change Normal Attack
fsStun,Stun against Mages,Stun against Mages
fsDotBlood,Bleeds Mages,Bleeds Mages
zsIce,Freezes Warriors,Freezes Warriors
zsStun,Stun Warriors,Stun Warriors
zsForbid,Silence Warriors,Silence Warriors
zsHurt,Extra damage to Warriors,Extra damage to Warriors
zsArmP,Reduces Armor to Warriors,Reduces Armor to Warriors
ckStone,Petrifies Assassins,Petrifies Assassins
ckForbid,Silence Assassins,Silence Assassins
ckHurt,Extra damage to Assassin,Extra damage to Assassin
msForbid,Silence Priests,Silence Priests
yxHurt,Extra Damage to Rangers,Extra Damage to Rangers
