id,name,dialog,click_dialog1,click_dialog2,click_dialog3,click_dialog4,click_dialog5,battle_dialog,skill_dialog,cv_name,love_gift_dialog1,love_gift_dialog2,love_gift_dialog3,vow_dialog,login_dialog,lvlup_dialog,gradeup_dialog,shengxue_dialog,awake_dialog,equip_dialog1,equip_dialog2,hangteam_dialog,house_set_dialog,house_dialog,idle_dialog,dagong_dialog,daily_mission_dialog,new_stage_dialog,victory_dialog,failed_dialog,love_point_dialog1,love_point_dialog2,love_point_dialog3,love_point_dialog4
11001,Skarivine,Skiing forward. Turn! Accelerate... Brake! There's nothing I can't do it with my skiing skills! Let's go skiing!,How exciting skiing is! Life without skiing is incomplete.,YA~! I ski faster than the wind~,"Faster, faster! Avalanche ~Let's race along with the avalanche!",I'll be up ahead waiting for you~ You have to catch up~,What a nice winter~! That's when everyone can enjoy skiing!,Show me something exciting~,Snow Protection!,Arisa Aihara,"Who would ever like this, dummy~",Ooh a gift for me? Thank you~ Leave it here and come ski with me~,I saw you holding it when I was skiing. Is it for me? Thanks~ I like it~,"By the mountain, our fates are bounded!","Welcome back, Senpai!","Thank you, Senpai!",I can count on my skis in all kinds of situations!,填充,填充,"Maybe next time, I can try a snowboard?",Skiing in this suit? It's worth a shot!,"Do you want to take a ski-lesson? Trust me, you won't regret taking it!",Living a life without skiing is just like committing chronic suicide!,YO~HO! Come and check out my new skis!,It's necessary to take a good rest after training~,Can you help me with the internship? I need more coins to get a new ski-set!,Remember to collect your reward!,Don't forget to check the school news when you enjoy the skiing!,Relax! Everything's working just fine!,Ugh... If I didn't trip and fall…,填充,填充,填充,填充
11002,Cayla,"Can I sleep on your lap? I am so sleepy～ I have no bed… Uh, sleeping here is so comfortable～ Master, can I just lie here on your lap forever?",So sleepy~ Is it morning? Oh? It's already noon?,Go to sleep~ Go to sleep~ Go to sleep~,Wake me up at lunchtime!,"Beds, blankets, and pillows~ I can't live without them~",A mouse? I heard it somewhere... Oh~ Back to sleep.,Can't open my eyes...,So sleepy...!,Kana Hanazawa,Don't… Don't disturb my sleep...,Gift... Thanks... Leave it there~,Thanks for the gift~ It will help me fall asleep better~ You can lie down with me. Sleeping alone is no fun.,"I dreamt that we walked down the aisle together...wait, that was real?",Welcome back~,Stop... I cannot take anymore... ZZZ,I feel more sleepy…,填充,填充,This can never become a nice pillow…,"This one is soft… Sorry, I made it my pillow~",Hope I can have a snap out there…,Bed…,ZZZ… ZZZ… Make yourself at home…,I should join you sleeping…,I will wake up when you return from work…,Go and get the rewards… I need another snap now…,So noisy out there… Maybe something's happening…,Now it is bed time~,No… Not a nightmare again…,填充,填充,填充,填充
11003,Vanees,Want to be like this forever. Forever watching you.,I'll get rid of all who stand in my way! ALL! OF! THEM!,You are the only one in this world to me! Everything else must be destroyed.,That girl is dead meat. She approached you.,Ah~ Together forever!!,"It's okay, Master~ As long as I am here, you won't get hurt ever again!",I won't let you suffer.,Destroy!,Mai Nishikawa,I don't need it~,A gift? I hope I'm the only person you give it to~,For me? Is that also mine? Then you're also mine!,The ones that dared to stand between us are all gone...and will never return!,You're finally back! You got me worried~,I need more! MOREEEEE!,Now I can wield a bigger sword~,填充,填充,Is this exclusive? Please tell me this is exclusive!,"With this, no one will question our relationship alive!",It's time to declare my sovereignty to Senpai~,I‘ll be waiting for you~,You've finally returned! Senpai!,Oh! Master leans on me when sleeping! Hope this moment could last forever!,"Don't talk with any female during the work, Senpai~",Senpai's rewards cannot be taken by others!,Nothing can interrupt me and Senpai! Even it's an emergency!,"Master, I want a reward for this~","No, it's not supposed to end this way…",填充,填充,填充,填充
12001,Maidam,"Master, here are clothes for today's trip. Breakfast is also ready. Here are the toothbrush and toothpaste. Is there anything else you need?",Master! No... There is no special service for that kind of thing.,The meaning of my existence is to serve my master to the fullest.,"Master, how should I handle this person? Should I make it so she can't use her hands? Or make her never see anything ever again?","As long as it's what Master wishes, I'll definitely make it come true!","I am not without my own will, but Master is the first priority.",This is my master's order.,Come here!,Inori Minase,Master...do you really hate me?,"Master, you forgot something~ Gift for me?",Such a nice gift~ Is it for me?,"Master...if this is your wish, I will stay with you forever.",Welcome back!,I suggest you give this to the ones who are more in need~,Hope I can do more things for my master~,填充,填充,Maid dress is already enough for me. But I will try this on if it's your will~,What costume you would want me to dress on today?,"Master, please allow me to serve by you during your walk.","Master, I'll clean up this room for you in no time!","Master, I have cleaned up the room as you ordered.","Master, I've made your bed. If you feel tired, I can take you to bedroom~","Master, it's time for the internship~ I wish I could complete that for you, but it seems you're the only one who can do the job~","Master, please collect your rewards~","Master, something's happening on campus, I can lead the way if you want to take a look.",This victory is at hand as long as we're under your command!,"You go first, I will hold the enemies off!",填充,填充,填充,填充
12002,Aegis,I'm your strongest shield and I'll defend you against all attacks. But if it's an attack on your soul... I... can't do anything about that...,Oh? Want to see if you can break through this shield? Go ahead and try it...,"The human mind can be as fragile as glass, yet as hard as steel. Incredible.",Defensive attributes changes along with offensive attributes. This is a part of the crystal of science and technology.,My shield can protect me. But what protects my soul?,I always protect others. But when can someone protect me?,Shield... Deploy!,Fight to protect!,Yuki Kouyama,Not interested~,A gift? Thank you~,"Oh~no. You captured my heart, master...","I will stand in front of you, protecting you from all attempts to your life, and I trust you to watch my back.",I'm glad to see you safe and sound~,…Shield up~,My shield needs to be better forged for the upcoming battles!,填充,填充,This surely cannot protect my body~,Please equip me with the best armor you have~,Get behind me~ It's my duty to protect my teammates!,Aegis standing by!,"Master, when can I see some real action?","It still feels good to stay by your side, master.","Master, it's time for you to complete the internship.",Your rewards are left out there.,"The Academy needs you to solve the crisis, and I'll cover you when you're there.",You cannot defeat me!,"The shield has been broken, I'll cover the retreat with my body instead!",填充,填充,填充,填充
12003,Handana,Does Master lack enough vitamins? I can help you with that! The lychee this season is tasty! Want some?,"The most delicious fruit doesn't have to grow in the highest places. Neither do people, right?","Blueberries are really elegant. Would you like a taste? I love to make yogurt using them. What do you think, Master?","Apples are the sweetest in winter. Maybe it's a matter of frame of mind, but you'll be really happy when you see glowing red.",This isn't ripe yet. Absolutely don't take it! It will be a shame not tasting it when it's most delicious.,There is something especially delicious about the fruits that you picked for yourself~,Go pick a fruit~,Want some durians?,Azusa Satō,"I'm sorry, but I prefer fresh-picked fruits...",Thank you~,"Such a wonderful gift~ I like it~ Thank you, Master~","I like fruits, and I like you too, so enjoying fruits together with you makes me extremely happy~",Welcome back! Do you want an apple?,Please take these fruits in return~,"After becoming stronger, I'm finally able to get all the fruits I want easier!",填充,填充,"This dress is so nice, thank you!",Thank you for always preparing new dresses for me! Please take this basket of fruits as my gift! They are all picked by myself~,Will you allow me to show you my orchard?,"Your room is so big, Senpai~","I prepared an apple for you on the table, please help yourself~","Please have a good rest, let me fetch you a fruit~","Time to go to work, Senpai~",Claiming your rewards is also a part of the mission~,"A riot is happening? I think I will have to check the status of my orchard then… Please stop the riot as soon as possible, Senpai!",Taste the wrath of fruits!,Oh no… They ruined my fruits…,填充,填充,填充,填充
13001,Lin AI,Jump successful! Space-Time Travel robot code C204 from the year 2036. Please enter your instructions.,"Massage? Sorry, I do not understand this order.","Crossing Time and Space? Sorry, you don't have the permission.","Almost out of batteries, Master. Pleases recharge.","""Error!"" ""Error""! An error occurred during execution. Please re-enter the instructions.","I do not have the procedure for ""feeling."" Operation failed.",Starting attack program.,Execution procedures,Minori Chihara,[Error]! [Gift] Unacceptable!,"[Gift], thank you~","[Error]! Core temperature overheat! Master, your [Gift] brings me some unexpected experience...","I recorded every moment with you in my core, so they will stay with me forever...Until I break down, please take good care of me, okay?","Welcome back, Master!",System upgraded.,RAM promoted.,填充,填充,New software installed.,"""Error""! Interface mismatch.","Order confirmed, moving out.","Target location reached, engaging ""Idle"" protocol.","Hello, Master.","All mission accomplished, requesting new orders.","Beep, system hint: Intern.","Beep, system hint: Claim quest rewards.","Energy reading instable in Playground, requesting to activate the defense protocol.",Target eliminated.,"Critical damage detected, retreat.",填充,填充,填充,填充
13002,Witch,"Hey hey hey! Trick or treat! Master, if you don't give me candy, I'm going to make trouble!","Frankenstein, Dracula, witch, werewolf, the zombie, and skeleton... Ah! Halloween is tomorrow! Don't run away! Come back!",Look at my hat. What do you want to come out of there? Anything can come out!,"If you're afraid, let's hide under the bed together.","Master! I forgot to bring a gift. So, I am a gift myself!",Would you like to try a magic broom? Isn't it a little hard to keep balance?,Come on! Let's play.,I'll make trouble~!,Chie Matsuura,"Just this, and no candies on Halloween?",Thank you for your gift~,"Happy Halloween~You're the best,master~","My wish? I have many of them, but if I really had to choose between celebrating Halloween every day or being with you, I'd choose the latter~",Trick or treat!,I want more candy~,"I was always trying to improve myself, even if everyone ignores me!",填充,填充,I don't think I would ever use this.,I hope that I can get a new wand…,"I know it's not important, but do our enemies have Halloween?",I'll hide my candies under the bed right now~,You've finally arrived~ Have you brought me any candy today?,"Have a sweet dream, even in this strange sleeping position~","I cannot do everything for you, so you'd better go and complete your internship by yourself!","The rewards today are--- Candies!!! Haha, just kidding!",Don't forget to check out the weird classroom I mentioned yesterday~ It's rightly inside the abandoned school building!,You're in my turf now!,So… It's not Halloween today?…,填充,填充,填充,填充
13003,Stella,Show me your resentment. Such a strong corrupt soul... Pretty interesting~ Come here. Who do you want to curse?,What I inherited... The power and curse of the witch... I'll forever hate the curse of mankind...,Ever since birth... I could never feel this... Warmth...,"After leaving everyone, I found everything to be free and relaxed.","I don't understand... Why would anyone want to be with someone else? The weak gather together, right?",The desert~ Is my second home.,Do you feel resentment? The power of this deep grievance.,Curse you.,Ayano Hamaguchi,I can feel my powers dwindling...take it away immediately!,Is this...for me?,"I feel my powers augmented when I have this, thank you~","Even if I lost my powers forever, I am not afraid as long as I have you by my side.","Welcome back, Senpai~","With my hatred grows, the power rises!",I will continue my life alone!,填充,填充,As you wish.,Just stay there and watch how I fight!,"So, they're your targets?","Close the door and window, I don't want my sand sculpture got ruined by wind.",What else do you want to say?,"Where's Senpai? I've not seen him for almost an entire day... Whatever, I can use the rest.",Get back to work!,"Maybe, I can just quit reminding you to claim your rewards?","It's been a long time since I last sensed such hatred on campus, something big must be happening!","The enemies have spilled their blood, and very soon, their remorse with it!","So, it is my turn to get defeated…",填充,填充,填充,填充
14001,Elloi,"Senpai, I'm Elloi. If you encounter any problems, please don't hesitate to see me outside.",Lucky you. Great~ This year will be smooth sailing.,"If you can, please go to the temple to visit me.","Excuse me, are you looking for love? Wealth? Health? You can find it right here~","If you are sincere, come~ Express your wishes~","Now, what is she up to...? Being alone in that shrine, I miss her a little.","Come, let's see what you can do!",Let's look at your future!,Haruka Murata,You... How could you...,Is this your gift for me? Thank you.,Thanks for the gift~ Would you like some divination paper? They're very effective~,"Divination shows one possibility, not your destiny. However, the future we built together...will be destiny.",Welcome back~ Are you feeling lucky today?,It will still be your lucky day tomorrow~,I can understand this~,填充,填充,It turns out that the costume suits me very well~,Don't forget to take this amulet with you~,"Don't turn emotional easily, even during your lucky hour~",It will be even better if there's a tea set inside this room…,Why in such a hurry? Do you need my help?,"It's very important to learn how to calm down yourself! Oh, I didn't realize that you're asleep.","If my memory is not failing me, you've got an internship to finish today, why are you still here talking with me?","Divination sticks can only show you possibilities, but you're the person to decide if you will stop pretending to sleep.","It is very noisy outside, is Priestess back? Let's go and see~",This is also a part of the plan~,We should run and live to fight another day!,填充,填充,填充,填充
14002,Veila,The fairies want to be your friends. This is Ashu and that is Mira... Eh? Can't you see them? What a shame.,Careful! That child is a little frightened... Who do you think that child is? Isn't she right over there? She's my friend!,"The fairies seem to be worried lately. I want to be friends with humans, but I don't want to scare them. Do you have any good advice?",You called? Sorry... It's been so long since I spoke with a human being.,"Master, if you have something to say, say it before you regret it~ I may not know what that means, but the fairies do!","Master, you can't win if you don't keep working hard. That's what the fairies said.","Everyone, it's time to shine!",Fairies... Lend me your strength!,Yōko Hikasa,"Master, you should know I don't like it...",Thank you for your gift~,"Haha~ Fairies also like this gift, you're so sweet~","I like my fairies a lot, and they like you a lot, so it's perfectly normal that I like you a lot, isn't it?","Welcome back, Master!",The elves are laughing~,"I found a new elf, maybe she's lost?",填充,填充,The elves told me that this would help~,"Well, this should be enough.",My elves cannot wait to prove themselves~,"I like this room very much, even my elves seem very happy~",My elves are greeting you~,"Milly! Don't play tricks on anyone when he's asleep! Senpai must have had a tough day, just leave him alone.","I can understand that you need to complete your internship every day, but please don't get yourself too tired.",Take the rewards for granted since you've worked hard to get them.,"The elves tell me that evil is spreading, please watch out back there!",All thanks to the support of others.,"Sorry, I've failed you all.",填充,填充,填充,填充
14003,Yuri,"Oh, I was picking mushrooms and got lost. Ah, excuse me, can you take me home? Who am I? I am a mushrooms fairy.","Pick mushrooms! Pick mushrooms! 1,2,3,4,5!... Ah, this mushroom can't be pulled out.","Our field always provides a good harvest! Because I'm ""Yuri""!",Don't move~ I want them to bask in the sun like that so they can grow up properly~,Mushrooms are the most delicious food in the world!,Didn't Mom tell you? Beautiful mushrooms can't be eaten. So can a lovely girl like me be eaten?,Go to work!,Grow up~!,Mai Kanno,I... Really don't need it...,"Are you seriously to send such a perfunctory gift to me,",Hehe~ I know you will give me my favorite gift~,"If you made a vow, you need to keep it! I'll always be here to make sure that you do!",Welcome back~ I found some interesting mushrooms~,I will keep growing~,I won't be stopped by such a tiny problem!,填充,填充,Are you planning to give me some mushroom?,"Don't worry too much about my gears, the mushroom umbrella is already enough for me~","Okay, let me just finish collecting the mushroom in this area~",The handle of this door is too high for me…,"Do you need a bunch of roasted mushrooms, Senpai?","Wake up, Senpai! You will be vaporized if you stay too long under sunlight…","Can I learn how to work during your internship, Senpai?","Is the reward over there yours, Senpai?","I don't know what's going on in the Academy, but might not be that serious as long as the forest is not affected~",Don't you dare underestimate my mushrooms!,Uh… I cannot defeat them…,填充,填充,填充,填充
21001,Talia,Want to explore a new world with me? What we know now is just a tiny part of it.,"Expanding one's horizons, exploring uncharted lands makes life worth living.","My life is an adventure. I don't know what's in store for me, but if nobody takes that first step, there will be no way to start.","Goggles, jeans, and a jacket. The basic equipment for an adventurer.",There are many new people and things waiting on land yet to be explored. Is there any reason not to go?,Can't move forward if you're just running away?,Adventure begins!,Ready to blow it up!,Yumi Hino,Boring...,Thank you for your gift.,"Oh, interesting stuff, Senpai where did you get this? Thank you!","I promise to be your guide on all your travels, and show you all the beautiful things in the world...and all you need to do is to hold my hand.",Do you want to go on an adventure with me?,Time to resupply some energy!,"Energy! Stamina! Power! As an adventurer, I need them all!",填充,填充,"My gears are expired because of my last adventure, I need a new set~",This surely gives me the confidence to challenge myself to the locations that were once too dangerous for me!,"Would you join me in an adventure to farther places, it will definitely be more interesting than staying in the Academy~","Don't be too surprised if you fail to find me when you return, a true adventurer will never stay in one place too long.","I've brought you some souvenirs, including an engraved slake and some rocks with magic power, be thankful!","Alright, I give up, just lean by my shoulder… It must be a tough day, Senpai~","It's almost the time for your internship, Senpai!",Don't forget to collect your rewards after completing the missions!,"I think something's happening on campus, I believe the Academy looked differently since the last time I return~",That's what a qualified explorer should do.,"It's too dangerous out there, we should leave now!",填充,填充,填充,填充
21002,Nasha,Ah~ How boring. There is no place for me to fight as much as I want. Have you found any?,"A tooth! Nice~ Ah, these bones are strong! I'm not sure whether they are animal bones or human bones~","If you want to practice, then just practice with me. There are no better ways to practice than actual fighting!",You're too weak~ Did you eat well?,Your fragile body will break from my hammer~ Let me train you.,"There is nothing that can't be solved with a punch. If not, punching it again will do the job.",Come! Time to fight!,Look out!,Risa Kubota,"If you're looking for a fight, I'll be glad to beat you up right now!",Thanks. So... Are we going to fight?,"You're the best, Senpai. I will keep it as a charm and store it well!","I finally slew the evil dragon yesterday! Here, take this as a token of our love: it's the claws on its wings!","Hey, let's go on a hunt together!",Oh! It must be the drink that can boost our power!,Come and check what I've learned!,填充,填充,"With this armor on me, I can do everything!",This must be the best gear!,Are you planning to hunt with me?,Can I place my trophies here?,"Hey, welcome!",Maybe you want to meet my secret base? I've got a nice hammock there~,Don't forget to complete your internship! It's impolite to be late!,Don't forget to collect what you deserve!,A riot is happening? Maybe some new creatures are spawned!,No one can stop my hammer strike!,They blocked my hit… But how?,填充,填充,填充,填充
